,0,1
0,1,2
1,1,3
2,1,4
3,1,8
4,1,11
5,1,12
6,1,14
7,1,17
8,1,18
9,1,22
10,1,24
11,1,25
12,1,27
13,2,3
14,2,7
15,2,8
16,2,9
17,2,10
18,2,11
19,2,12
20,2,13
21,2,14
22,2,15
23,2,16
24,2,17
25,2,18
26,2,19
27,2,21
28,2,23
29,2,24
30,2,27
31,3,4
32,3,5
33,3,7
34,3,9
35,3,12
36,3,15
37,3,17
38,3,18
39,3,20
40,3,21
41,3,23
42,3,24
43,3,25
44,3,27
45,4,2
46,4,5
47,4,7
48,4,8
49,4,9
50,4,10
51,4,14
52,4,15
53,4,17
54,4,18
55,4,20
56,4,21
57,4,22
58,4,23
59,4,25
60,4,26
61,4,27
62,5,6
63,5,7
64,5,8
65,5,9
66,5,10
67,5,11
68,5,12
69,5,13
70,5,15
71,5,16
72,5,17
73,5,18
74,5,20
75,5,21
76,5,22
77,5,25
78,5,26
79,7,8
80,7,9
81,7,10
82,7,11
83,7,12
84,7,13
85,7,16
86,7,17
87,7,18
88,7,19
89,7,20
90,7,21
91,7,22
92,7,25
93,7,26
94,7,27
95,8,9
96,8,11
97,8,12
98,8,15
99,8,17
100,8,21
101,8,23
102,8,24
103,8,27
104,9,10
105,9,11
106,9,12
107,9,14
108,9,16
109,9,17
110,9,22
111,9,23
112,9,26
113,9,27
114,10,5
115,10,11
116,10,12
117,10,14
118,10,15
119,10,17
120,10,18
121,10,20
122,10,21
123,10,22
124,10,23
125,10,25
126,10,26
127,12,14
128,12,15
129,12,17
130,12,18
131,12,19
132,12,20
133,12,21
134,12,24
135,12,25
136,12,27
137,13,7
138,13,14
139,13,16
140,13,17
141,13,18
142,13,19
143,13,21
144,13,22
145,13,23
146,13,24
147,13,25
148,13,26
149,14,15
150,14,16
151,14,17
152,14,21
153,14,22
154,14,23
155,14,25
156,15,8
157,15,20
158,15,26
159,16,18
160,17,18
161,17,20
162,17,22
163,17,24
164,17,25
165,17,26
166,17,27
167,18,13
168,18,20
169,18,21
170,18,23
171,18,25
172,18,26
173,20,10
174,20,15
175,20,21
176,20,26
177,21,9
178,21,17
179,21,22
180,21,23
181,21,24
182,21,25
183,21,26
184,21,27
185,22,10
186,22,17
187,22,23
188,22,25
189,22,26
190,22,27
191,23,16
192,23,17
193,23,18
194,23,24
195,24,9
196,24,25
197,24,27
198,25,17
199,25,26
200,25,27
201,26,25
202,26,27
203,27,25
