Source,Target,Type,Id
2,1203,Directed,0
2,1094,Directed,1
4,164,Directed,2
6,773,Directed,3
6,477,Directed,4
6,485,Directed,5
6,730,Directed,6
6,258,Directed,7
9,792,Directed,8
9,1081,Directed,9
9,565,Directed,10
9,1084,Directed,11
9,1082,Directed,12
9,1092,Directed,13
9,1080,Directed,14
9,713,Directed,15
9,1730,Directed,16
9,1430,Directed,17
9,215,Directed,18
9,503,Directed,19
9,438,Directed,20
9,1321,Directed,21
9,291,Directed,22
9,1158,Directed,23
9,556,Directed,24
9,1048,Directed,25
9,411,Directed,26
9,1611,Directed,27
9,294,Directed,28
11,721,Directed,29
11,996,Directed,30
11,747,Directed,31
11,485,Directed,32
11,256,Directed,33
11,80,Directed,34
11,1314,Directed,35
11,1089,Directed,36
11,497,Directed,37
11,456,Directed,38
11,1293,Directed,39
11,428,Directed,40
11,693,Directed,41
11,442,Directed,42
11,1720,Directed,43
11,643,Directed,44
11,450,Directed,45
11,460,Directed,46
11,673,Directed,47
16,364,Directed,48
16,79,Directed,49
16,1202,Directed,50
17,52,Directed,51
17,1065,Directed,52
17,386,Directed,53
17,1181,Directed,54
17,1602,Directed,55
17,1089,Directed,56
17,1607,Directed,57
17,1603,Directed,58
17,232,Directed,59
18,1232,Directed,60
18,122,Directed,61
19,20,Directed,62
20,19,Directed,63
22,164,Directed,64
22,460,Directed,65
24,514,Directed,66
24,460,Directed,67
24,1381,Directed,68
24,1118,Directed,69
26,1495,Directed,70
26,585,Directed,71
26,1087,Directed,72
26,628,Directed,73
27,1588,Directed,74
29,639,Directed,75
31,1631,Directed,76
31,242,Directed,77
31,55,Directed,78
31,1114,Directed,79
31,1559,Directed,80
31,1617,Directed,81
32,1427,Directed,82
33,353,Directed,83
38,409,Directed,84
38,401,Directed,85
38,693,Directed,86
40,156,Directed,87
40,1580,Directed,88
40,931,Directed,89
40,1259,Directed,90
40,1602,Directed,91
40,1607,Directed,92
40,52,Directed,93
40,568,Directed,94
40,1354,Directed,95
40,1603,Directed,96
40,598,Directed,97
40,222,Directed,98
40,667,Directed,99
40,1304,Directed,100
40,1292,Directed,101
40,1319,Directed,102
42,1655,Directed,103
45,164,Directed,104
45,773,Directed,105
45,485,Directed,106
45,1720,Directed,107
46,733,Directed,108
46,741,Directed,109
46,743,Directed,110
46,746,Directed,111
46,1603,Directed,112
46,1607,Directed,113
46,1602,Directed,114
48,242,Directed,115
48,1727,Directed,116
50,1645,Directed,117
50,936,Directed,118
52,1259,Directed,119
52,1354,Directed,120
52,897,Directed,121
52,1602,Directed,122
52,1065,Directed,123
52,1607,Directed,124
52,1603,Directed,125
52,1580,Directed,126
52,1159,Directed,127
52,861,Directed,128
52,947,Directed,129
52,746,Directed,130
52,499,Directed,131
52,1181,Directed,132
52,743,Directed,133
