Source,Target
0,1
0,108
0,129
0,26
0,339
0,331
0,249
0,338
0,305
0,348
0,448
0,297
0,455
0,451
0,196
0,80
0,188
0,270
0,255
0,136
0,235
0,303
0,68
0,456
0,330
0,79
0,539
0,545
0,554
0,562
0,564
0,591
0,635
0,642
0,651
0,658
0,667
0,677
0,685
0,690
0,692
0,693
0,711
0,720
0,731
0,749
0,751
0,755
0,772
0,779
0,784
0,786
0,798
1,80
1,19
1,193
1,315
1,249
1,151
1,75
1,336
1,26
1,268
1,51
1,330
1,454
1,333
1,448
1,241
1,207
1,97
1,190
1,346
1,305
1,79
1,108
1,50
1,129
1,18
1,135
1,88
1,464
1,296
1,442
1,349
1,136
1,540
1,558
1,581
1,594
1,608
1,632
1,634
1,643
1,656
1,664
1,672
1,674
1,683
1,701
1,705
1,709
1,713
1,718
1,725
1,736
1,739
1,751
1,760
1,767
1,773
1,783
1,791
1,798
1,800
2,3
2,253
2,319
2,225
2,244
2,408
2,427
2,347
2,446
2,467
2,373
2,226
2,326
2,477
3,462
3,225
3,347
3,244
3,263
3,500
4,5
4,87
4,337
4,167
4,85
4,63
4,163
4,364
4,105
4,127
4,395
4,70
4,24
4,164
4,25
4,312
4,351
4,187
4,30
4,165
4,247
4,215
4,12
4,16
4,184
4,272
4,432
4,15
5,31
5,12
5,132
5,52
5,13
5,178
5,150
5,59
5,64
5,9
5,342
5,289
5,160
5,55
5,127
5,25
5,431
5,445
5,265
5,187
5,312
5,46
5,53
5,17
5,222
5,390
5,364
5,94
5,410
5,58
5,491
5,165
5,221
5,272
5,324
5,154
5,198
5,185
5,258
5,47
5,164
5,103
5,76
5,273
5,139
5,266
5,177
5,200
5,22
5,70
5,169
5,299
5,155
5,220
5,8
5,99
5,215
5,184
5,30
5,211
5,156
5,149
5,104
5,140
5,21
5,247
5,106
5,32
5,430
5,286
5,126
5,212
5,20
5,63
5,533
5,65
5,128
5,199
5,287
5,92
5,85
5,291
5,478
5,161
6,7
6,311
6,325
6,172
6,123
6,162
6,101
6,310
6,283
6,377
6,102
6,350
6,37
6,195
6,237
6,380
6,228
6,38
6,397
6,327
6,379
6,243
6,254
6,374
6,257
7,228
7,311
7,110
7,379
7,423
7,257
7,310
7,243
7,102
7,397
7,374
7,380
7,325
7,123
7,254
7,393
7,101
7,37
7,172
7,283
7,38
7,109
7,237
7,327
8,9
8,59
8,128
8,394
8,55
8,106
8,53
8,94
8,160
8,30
8,63
8,98
8,215
8,46
8,410
8,165
8,93
8,13
8,390
8,200
8,47
8,125
8,222
8,265
8,198
8,287
8,52
8,184
8,431
8,99
8,126
8,114
8,32
8,21
8,103
8,20
8,212
8,12
8,291
8,58
8,139
8,156
8,150
8,258
8,213
8,239
8,22
8,39
8,211
8,267
8,154
8,289
8,67
8,29
8,260
9,46
9,21
9,103
9,291
9,126
9,64
9,52
9,59
9,389
9,128
9,99
9,120
9,53
9,33
9,405
9,430
9,139
9,212
9,394
9,266
9,23
9,47
9,211
9,149
9,67
9,160
9,150
9,410
9,267
9,265
10,11
10,72
10,256
10,280
10,336
10,142
10,348
10,144
10,370
10,230
10,91
10,218
10,88
10,282
10,539
10,540
10,567
10,570
10,605
10,613
10,618
10,620
10,636
10,662
10,663
10,667
10,718
10,720
10,743
10,745
10,771
10,772
10,787
11,88
11,280
11,218
11,144
11,360
11,75
11,282
11,336
11,79
11,292
11,348
11,370
11,256
11,201
11,352
11,142
11,537
11,574
11,575
11,581
11,599
11,610
11,619
11,623
11,631
11,634
11,654
11,660
11,680
11,688
11,711
11,751
11,765
11,769
11,779
11,783
11,794
11,795
11,796
12,13
12,28
12,272
12,53
12,145
12,169
12,351
12,89
12,324
12,286
12,54
12,206
12,100
12,21
12,58
12,24
12,98
12,85
12,167
12,165
12,107
12,177
12,25
12,99
12,16
12,15
12,161
12,97
12,104
12,76
12,372
12,105
12,247
12,287
12,17
12,140
12,364
12,484
12,221
12,14
12,187
12,55
12,215
12,30
12,139
12,185
12,496
12,63
12,184
12,199
12,164
12,132
12,86
12,150
12,92
12,171
12,266
12,70
12,106
12,128
12,343
13,30
13,58
13,200
13,184
13,247
13,132
13,24
13,177
13,20
13,169
13,47
13,52
13,62
13,199
13,145
13,63
13,53
13,99
13,221
13,286
13,187
13,272
13,93
13,106
13,25
13,67
13,260
13,76
13,125
13,140
13,185
13,21
13,139
13,29
13,36
13,39
13,55
13,155
13,127
13,103
13,312
13,364
13,85
14,15
14,232
14,343
14,85
14,171
14,165
14,87
14,410
14,283
14,353
14,432
14,213
14,86
14,16
14,481
14,299
14,272
15,46
15,76
15,324
15,30
15,98
15,351
15,187
15,215
15,163
15,299
15,247
15,466
15,106
15,104
15,365
15,165
15,93
15,272
15,17
15,63
15,99
15,364
15,97
15,117
15,100
15,127
15,164
15,167
15,252
15,85
15,171
15,440
15,166
15,25
15,161
15,55
15,28
15,177
15,24
15,343
15,184
15,118
16,17
16,105
16,272
16,187
16,353
16,118
16,364
16,324
16,127
16,177
16,215
16,55
16,224
16,185
16,24
16,25
16,161
16,247
16,70
16,76
16,63
16,30
16,255
16,85
16,114
16,89
16,86
16,299
16,104
17,85
17,55
17,89
17,364
17,24
17,343
17,372
17,28
17,274
17,177
17,25
17,487
17,86
17,64
17,198
17,272
17,187
17,184
17,299
17,140
17,215
17,139
17,161
17,63
17,58
18,19
18,296
18,346
18,190
18,193
18,207
18,333
18,442
18,151
18,50
18,330
18,135
18,331
18,80
18,241
18,454
18,26
18,539
18,542
18,554
18,558
18,567
18,568
18,575
18,591
18,667
18,678
18,699
18,704
18,719
18,750
18,762
18,773
18,792
18,796
18,803
18,804
19,26
19,241
19,438
19,442
19,333
19,454
19,151
19,135
19,112
19,96
19,50
19,296
19,331
19,51
19,181
19,330
19,569
19,598
19,599
19,612
19,613
19,642
19,663
19,669
19,673
19,681
19,704
19,733
19,754
19,756
19,764
19,784
19,790
19,797
19,800
20,21
20,156
20,154
20,221
20,155
20,139
20,53
20,265
20,46
20,211
20,212
20,445
20,106
20,258
20,164
20,52
20,287
20,65
20,160
20,99
20,128
20,289
20,150
20,64
20,342
20,33
20,266
20,198
20,59
20,200
20,184
20,222
20,178
20,149
20,22
20,273
20,58
20,32
21,94
21,149
21,265
21,390
21,430
21,177
21,30
21,106
21,200
21,32
21,140
21,212
21,53
21,324
21,342
21,211
21,364
21,139
21,46
21,76
21,128
21,63
21,99
21,156
21,22
21,361
21,184
21,247
21,258
21,59
21,36
21,154
21,222
21,286
21,67
21,52
21,185
21,150
21,266
21,64
21,55
21,160
22,23
22,266
22,126
22,258
22,329
22,47
22,94
22,128
22,289
22,247
22,53
22,164
23,36
23,59
23,47
23,32
23,213
23,212
23,478
23,239
23,164
23,260
23,99
23,139
23,466
23,163
23,329
23,65
23,53
23,52
23,258
23,126
23,94
23,46
23,423
23,215
24,25
24,30
24,118
24,351
24,324
24,364
24,185
24,177
24,86
24,85
24,140
24,89
24,312
24,247
24,215
24,187
24,184
24,63
24,161
24,55
25,128
25,47
25,62
25,85
25,164
25,55
25,364
25,106
25,177
25,185
25,316
25,58
25,140
25,329
25,353
25,163
25,36
25,299
25,450
25,30
25,351
25,205
25,98
25,171
25,184
25,247
25,491
25,466
25,63
25,28
25,165
25,161
25,266
25,272
25,382
25,343
25,324
25,86
25,104
25,286
25,99
25,274
25,372
25,105
25,187
25,215
25,492
26,27
26,190
26,293
26,186
26,401
26,71
26,60
26,357
26,196
26,122
26,179
26,241
26,50
26,48
26,227
26,451
26,80
26,249
26,151
26,193
26,207
26,121
26,51
26,81
26,95
26,110
26,356
26,208
26,454
26,129
26,180
26,82
26,276
26,189
26,148
26,406
26,284
26,96
26,88
26,136
26,79
26,168
26,349
26,296
26,537
26,545
26,563
26,570
26,575
26,585
26,595
26,621
26,623
26,642
26,648
26,674
26,704
26,715
26,724
26,726
26,733
26,741
26,752
26,754
26,755
26,763
26,770
26,775
26,786
26,798
27,133
27,57
27,268
27,190
27,179
27,81
27,385
27,71
27,168
27,121
27,227
27,208
27,236
27,96
27,193
27,95
27,66
27,186
27,61
27,357
27,147
27,60
27,111
27,242
27,151
27,356
27,51
27,284
27,148
27,48
27,82
27,346
27,80
27,540
27,570
27,571
27,577
27,586
27,602
27,612
27,624
27,637
27,651
27,666
27,667
27,673
27,682
27,691
27,700
27,703
27,708
27,709
27,712
27,715
27,717
27,718
27,727
27,729
27,732
27,754
27,760
27,763
27,786
27,790
27,796
27,798
27,801
27,805
28,166
28,187
28,299
28,103
28,200
28,343
28,351
28,161
28,98
28,30
28,118
28,267
28,185
28,272
28,55
28,247
28,165
28,126
28,171
28,105
28,29
28,125
28,177
28,215
28,128
28,361
28,97
28,324
28,106
28,252
28,140
28,63
28,184
29,30
29,39
29,423
29,52
29,64
29,260
29,126
29,184
29,410
29,389
29,103
29,215
29,125
29,272
29,267
29,127
29,47
29,97
29,165
29,99
29,405
30,67
30,70
30,139
30,184
30,372
30,169
30,39
30,127
30,132
30,177
30,99
30,55
30,103
30,199
30,163
30,54
30,247
30,105
30,52
30,351
30,125
30,394
30,410
30,140
30,93
30,215
30,165
30,114
30,185
30,89
30,85
30,31
30,161
30,187
30,145
30,98
30,63
30,104
30,286
30,106
30,299
30,211
30,364
30,76
30,272
30,343
31,89
31,165
31,205
31,55
31,104
31,477
31,127
31,215
31,272
31,98
31,103
31,285
31,299
32,33
32,55
32,156
32,364
32,431
32,221
32,430
32,222
32,103
32,155
32,58
32,104
32,99
32,126
32,139
32,213
32,94
32,198
32,342
32,211
32,405
32,291
32,64
32,59
32,289
32,52
32,47
32,128
32,46
32,258
32,63
32,445
32,239
32,215
32,212
