ID,cluster
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,1
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,1
24,2
25,2
26,2
27,2
28,2
29,1
30,1
31,2
32,1
33,1
34,2
35,1
36,1
37,1
38,2
39,2
40,1
41,2
42,2
43,2
44,1
45,2
46,1
47,2
48,1
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,2
96,2
97,1
98,1
99,2
100,1
101,1
102,1
103,1
104,2
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,2
114,1
115,1
116,1
117,1
118,1
119,1
120,2
121,1
122,1
123,1
124,1
125,2
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,2
143,2
144,2
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,2
153,2
154,2
155,1
156,2
157,1
158,2
159,2
160,2
161,1
162,2
163,2
164,1
165,2
166,1
167,1
168,1
169,2
170,1
171,1
172,2
173,1
174,1
175,2
176,1
177,2
178,2
179,1
180,1
181,1
182,1
183,1
184,1
185,2
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,2
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,2
203,1
204,2
205,2
206,1
207,1
208,1
209,1
210,1
211,2
212,1
213,1
214,1
215,1
216,1
217,1
218,2
219,1
220,1
221,1
222,1
223,1
224,1
225,2
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,2
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,2
263,1
264,1
265,1
266,1
267,1
268,2
269,1
270,1
271,2
272,1
273,1
274,1
275,1
276,1
277,1
278,2
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,2
287,1
288,1
289,1
290,1
291,2
292,1
293,1
294,1
295,2
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,2
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,2
330,2
331,1
332,1
333,1
334,1
335,2
336,2
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,2
354,2
355,2
356,1
357,2
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,2
372,1
373,1
374,1
375,2
376,2
377,1
378,2
391,1
394,1
399,1
417,1
420,1
423,1
430,2
434,1
438,1
441,1
445,1
446,1
454,1
459,1
475,1
477,1
481,1
484,1
490,1
499,2
523,1
540,1
547,1
551,1
553,1
554,1
555,1
556,1
567,1
568,1
569,1
571,1
572,1
573,1
575,1
581,1
587,1
588,1
590,1
591,1
597,1
599,1
600,1
606,1
607,1
608,1
609,1
610,1
612,1
613,1
624,1
628,1
629,1
631,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
648,1
652,1
656,1
659,1
661,1
670,1
673,1
677,1
678,1
682,1
689,1
696,1
702,1
703,1
704,1
707,1
716,1
717,1
724,1
734,1
736,1
737,1
740,1
745,1
746,1
749,1
752,1
754,1
756,1
758,1
759,1
762,1
764,1
769,1
771,1
778,1
780,1
781,1
782,1
784,1
785,1
786,1
800,1
803,1
804,1
809,1
810,1
833,2
836,2
843,1
847,1
871,1
872,1
874,1
899,1
903,1
904,1
922,1
928,1
930,1
931,1
933,1
936,1
938,1
940,1
941,1
943,1
944,1
959,1
997,2
998,2
1029,1
1032,1
1037,2
1050,1
1053,1
1057,1
1058,1
1059,1
1060,2
1061,1
1062,1
1063,1
1064,1
1065,1
1066,2
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,2
