ID,cluster
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,2
25,2
26,1
27,1
28,1
29,1
30,1
31,2
32,2
33,1
34,1
35,1
36,1
37,2
38,1
39,1
40,1
41,2
42,2
43,1
44,2
45,1
46,1
47,1
48,1
49,1
50,1
51,2
52,1
53,1
54,1
55,1
56,1
57,1
58,2
59,1
60,1
61,2
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,2
73,1
74,2
75,1
76,2
77,1
78,1
79,1
80,1
81,1
82,1
83,2
84,1
85,1
86,1
87,1
88,2
89,1
90,1
91,2
92,1
93,1
94,2
95,2
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,2
105,1
106,1
107,1
108,1
109,2
110,1
111,1
112,1
113,2
114,1
115,1
116,1
117,1
118,1
119,1
120,2
121,1
122,1
123,1
124,2
125,1
126,1
127,1
128,1
129,1
130,2
131,1
132,1
133,1
134,2
135,1
136,1
137,1
138,1
139,1
140,2
141,1
142,2
143,2
144,1
145,1
146,1
147,1
148,1
149,1
150,2
151,1
152,1
153,2
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,2
184,1
185,2
186,2
187,1
188,2
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,2
201,1
202,1
203,2
204,1
205,2
206,2
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,2
216,1
217,1
218,1
219,1
220,1
221,2
222,1
223,1
224,1
225,1
226,1
227,2
228,2
229,1
230,2
231,1
232,1
233,2
234,1
235,1
236,2
237,1
238,1
239,2
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,2
248,2
249,1
250,1
251,1
252,2
253,1
254,1
255,1
256,1
257,1
258,1
259,2
260,1
261,1
262,1
263,1
264,1
265,1
266,2
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,2
277,1
278,1
279,1
280,2
281,2
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,2
299,2
300,1
301,1
302,1
303,2
304,1
305,1
306,1
307,1
308,1
309,1
310,2
311,1
312,2
313,1
314,1
315,2
316,2
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,2
333,2
334,1
335,1
336,1
337,2
338,1
339,1
340,1
341,2
342,1
343,1
344,1
345,2
346,1
347,2
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,2
356,2
357,1
358,1
359,1
360,1
361,1
362,2
363,2
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,2
379,2
380,2
381,2
382,1
383,1
384,2
385,2
386,2
387,1
388,2
389,2
390,1
391,1
392,1
393,2
394,1
395,1
396,2
397,1
398,2
399,1
400,1
401,1
402,1
403,2
404,1
405,1
406,1
407,2
408,1
409,2
410,2
411,2
412,2
413,2
414,1
415,1
416,1
417,2
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,2
427,1
428,1
429,2
430,1
431,2
432,1
433,2
434,2
435,1
436,1
437,1
438,1
439,2
440,1
441,1
442,1
443,2
444,1
445,1
446,1
447,1
448,1
449,1
450,2
451,2
452,2
453,1
454,1
455,1
456,2
457,1
458,1
459,1
460,1
461,1
462,2
463,1
464,1
465,1
466,2
467,1
468,1
469,2
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,2
480,1
481,1
482,2
483,1
484,2
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,2
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,2
504,2
505,1
506,1
507,2
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,2
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,2
538,1
539,1
540,1
541,2
542,2
543,2
544,2
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,2
553,1
554,1
555,2
556,2
557,1
558,2
559,2
560,1
561,1
562,1
563,1
564,1
565,2
566,1
567,1
568,1
569,2
570,1
571,2
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,2
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,2
591,2
592,2
593,2
594,1
595,2
596,1
597,2
598,1
599,1
600,1
601,1
