Source,Target,cluster
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,1
0,26,1
0,27,1
0,28,1
0,29,1
0,30,1
1,17,1
1,31,1
1,12,1
1,15,1
1,9,1
1,23,1
1,32,1
1,33,1
1,21,1
1,34,1
1,2,1
1,8,1
1,19,1
1,35,1
1,6,1
1,5,1
1,7,1
1,36,1
1,10,1
1,3,1
1,37,1
1,18,1
2,38,1
2,20,2
2,39,2
2,12,2
2,6,1
2,7,2
2,33,1
2,27,2
2,22,2
2,40,1
2,41,2
2,42,1
2,8,1
2,10,1
2,3,2
2,17,1
2,18,1
2,43,1
2,15,2
2,44,2
2,45,2
2,5,1
2,19,1
2,26,1
2,21,2
2,46,1
2,47,1
2,48,2
2,49,1
2,11,2
2,50,1
2,51,2
2,52,1
2,53,2
2,54,1
2,55,2
3,56,1
3,57,1
3,58,1
3,59,1
3,45,2
3,60,2
3,61,1
3,62,2
3,63,1
3,64,2
3,65,2
3,66,1
3,10,1
3,67,2
3,68,2
3,69,2
3,70,1
3,21,2
3,71,2
4,5,1
4,72,1
4,73,1
4,12,1
4,74,1
4,75,1
4,76,1
4,77,1
4,78,1
5,6,1
5,27,1
5,12,1
5,33,1
5,79,1
5,80,1
5,15,1
5,17,1
5,81,1
5,26,1
5,82,1
5,7,1
5,83,1
5,84,1
5,85,1
5,86,1
5,21,1
6,87,1
6,88,1
6,21,1
6,18,1
6,89,1
6,15,1
6,90,1
6,91,1
6,92,1
6,93,1
6,27,1
6,12,1
6,94,1
6,95,1
6,96,1
6,97,1
6,98,1
6,99,1
6,9,1
6,75,1
6,14,1
6,8,1
7,100,2
7,21,2
7,101,1
7,27,2
8,21,1
8,102,1
8,12,1
8,103,1
8,40,1
8,23,1
8,20,1
8,104,1
8,15,1
8,105,1
8,106,1
8,9,1
8,29,1
9,107,2
9,108,1
9,33,1
9,109,2
9,110,2
9,111,2
9,15,2
9,112,1
9,23,1
9,69,2
9,113,1
9,114,2
9,115,1
9,29,1
9,116,2
9,117,1
9,118,2
9,119,2
9,120,2
9,121,2
9,122,1
9,123,2
9,124,2
9,125,1
9,126,2
9,127,1
9,128,1
9,129,2
10,130,1
10,72,1
10,44,1
10,131,1
10,132,1
10,133,1
10,134,1
10,21,1
10,135,1
10,19,1
10,18,1
10,17,1
10,136,1
10,137,1
10,26,1
10,24,1
11,138,2
11,139,1
11,140,1
11,141,1
11,83,1
11,142,2
11,143,1
11,144,1
11,145,1
11,146,1
11,147,1
11,148,2
11,149,1
11,150,1
11,151,1
11,152,1
12,153,1
12,154,1
12,155,2
12,23,1
12,156,2
12,27,2
12,21,2
12,157,1
12,15,2
12,17,1
12,158,1
12,13,2
12,68,2
12,44,2
12,105,2
12,75,2
12,152,1
12,159,1
13,14,2
13,160,1
13,161,1
13,162,1
13,163,1
13,122,1
13,32,2
13,23,1
13,164,1
13,165,1
13,33,1
13,166,2
13,123,2
13,167,2
13,109,2
13,168,1
13,169,1
13,170,1
13,171,1
13,172,1
13,173,2
13,79,2
13,135,1
13,111,2
13,174,1
13,175,2
13,106,1
13,176,1
13,177,1
13,178,1
13,15,2
13,179,1
13,180,1
13,181,2
14,75,2
14,182,1
14,183,2
14,184,1
14,185,2
14,186,2
14,123,2
14,32,2
14,187,1
14,188,1
14,189,1
14,167,2
14,33,1
14,190,2
14,92,2
14,22,2
15,191,1
15,107,2
15,23,1
15,192,2
15,122,1
15,193,1
15,194,1
15,33,1
15,195,1
15,196,2
15,197,1
15,198,2
15,29,1
15,126,2
15,199,2
15,76,1
15,104,2
15,200,1
15,201,2
15,202,2
15,203,1
15,204,2
15,205,1
15,206,1
15,207,1
15,208,2
15,209,2
15,32,2
15,210,2
15,211,2
15,212,1
15,213,2
15,214,1
15,215,2
15,55,2
15,216,1
15,217,2
15,218,2
15,219,2
15,128,1
15,220,1
15,221,1
16,114,1
16,23,1
16,33,1
16,222,1
16,223,1
16,224,1
17,24,1
17,38,1
17,25,1
17,225,1
17,22,1
17,37,1
17,226,1
17,20,1
17,26,1
17,18,1
17,21,1
17,227,1
18,228,1
18,229,1
18,37,1
18,230,1
18,19,1
18,26,1
18,69,1
18,136,1
18,231,1
18,185,1
18,119,1
18,81,1
18,232,1
18,233,1
18,234,1
18,235,1
18,236,1
18,237,1
18,238,1
18,239,1
18,40,1
18,85,1
19,232,1
19,227,1
19,80,1
19,49,1
19,240,1
19,40,1
19,241,1
19,105,1
19,242,1
19,42,1
19,243,1
19,21,1
20,244,1
20,245,1
20,39,2
20,24,2
20,45,2
20,40,1
20,53,2
20,246,1
20,247,2
20,46,1
20,248,1
20,249,1
20,250,1
20,222,1
20,251,1
20,252,1
20,22,2
20,49,1
20,253,1
20,104,2
20,254,2
20,209,2
20,213,2
20,205,1
20,54,1
20,156,2
20,255,1
20,106,1
20,90,1
20,238,1
20,256,1
20,257,2
20,258,2
20,58,1
20,259,1
20,38,1
20,102,1
20,103,2
20,260,2
21,26,1
21,37,1
21,31,2
22,261,1
22,262,1
22,239,1
22,263,1
22,37,1
22,264,2
22,265,1
22,226,1
22,53,2
22,181,2
22,133,2
22,134,1
22,24,2
22,42,1
22,245,1
22,44,2
22,266,1
22,267,1
22,38,1
22,142,2
22,268,1
22,269,1
22,270,2
22,271,1
22,45,2
22,43,1
22,41,2
22,272,1
22,79,2
22,195,1
22,254,2
22,273,2
22,274,2
22,275,1
22,49,1
22,276,2
22,277,1
22,278,1
22,96,1
22,279,1
22,202,2
22,229,2
22,280,1
22,281,2
22,282,2
22,283,2
23,107,1
23,284,1
23,108,1
23,285,1
23,181,1
23,33,1
23,175,1
23,286,1
23,287,1
23,262,1
23,288,1
23,114,1
23,289,1
23,166,1
23,69,1
23,290,1
23,118,1
23,291,1
23,123,1
23,57,1
23,29,1
23,167,1
23,32,1
23,115,1
23,292,1
23,293,1
23,173,1
23,294,1
23,109,1
23,119,1
23,120,1
23,295,1
23,296,1
23,111,1
24,25,2
24,226,1
24,38,1
24,286,2
24,264,2
24,297,2
24,298,1
24,299,1
24,300,1
24,61,1
24,301,1
24,125,1
24,59,1
24,302,2
24,237,2
26,94,1
26,237,1
26,303,1
26,234,1
26,69,1
26,185,1
26,231,1
26,229,1
26,37,1
26,304,1
26,85,1
26,274,1
26,305,1
26,306,1
27,33,1
27,232,2
27,181,2
27,307,1
27,308,1
27,279,1
28,309,1
28,310,1
28,311,1
28,312,1
28,313,1
28,146,1
28,314,1
28,315,1
29,316,1
29,317,1
29,318,1
29,319,1
29,320,1
29,321,1
29,322,1
29,323,1
29,48,1
29,324,1
29,325,1
29,177,1
29,33,1
29,195,1
29,326,1
29,327,1
29,217,1
29,199,1
29,210,1
29,193,1
29,200,1
30,328,1
30,44,1
30,329,1
30,258,1
30,250,1
30,103,1
30,330,1
30,201,1
30,156,1
30,331,1
30,332,1
30,333,1
30,53,1
30,334,1
30,335,1
30,244,1
30,336,1
30,337,1
30,338,1
30,339,1
30,240,1
31,340,2
32,33,1
32,119,2
32,168,1
33,307,1
33,107,1
33,341,1
33,342,1
33,181,1
33,54,1
33,69,1
37,343,1
37,344,1
37,50,1
37,269,1
37,236,1
37,230,1
37,232,1
37,345,1
37,346,1
37,274,1
37,347,1
37,240,1
37,253,1
37,348,1
37,349,1
37,350,1
37,351,1
37,329,1
37,352,1
38,353,1
38,45,1
38,226,1
38,51,1
38,104,1
38,249,1
38,312,1
38,41,1
38,244,1
38,239,1
38,245,1
38,42,1
38,354,1
38,355,1
38,356,1
38,313,1
38,331,1
38,357,1
38,106,1
38,40,1
38,44,1
38,264,1
38,49,1
39,358,2
39,53,2
39,54,1
39,335,1
39,267,1
39,353,1
39,292,1
39,359,1
39,45,2
39,360,1
39,55,2
39,361,2
39,362,1
39,363,1
39,48,2
39,46,1
39,41,2
39,364,1
39,354,1
39,104,2
39,156,2
39,57,1
39,202,2
39,365,1
39,366,1
40,353,1
40,352,1
40,86,1
40,367,1
40,244,1
40,261,1
40,259,1
40,357,1
40,133,1
40,269,1
40,53,1
40,368,1
40,249,1
40,369,1
40,370,1
40,209,1
40,193,1
40,49,1
40,371,1
40,134,1
40,245,1
40,331,1
40,102,1
40,50,1
40,372,1
40,61,1
40,47,1
40,45,1
40,373,1
40,105,1
40,93,1
40,374,1
40,237,1
40,375,1
40,376,1
40,333,1
40,246,1
40,377,1
40,378,1
40,354,1
40,46,1
40,190,1
40,234,1
41,302,2
41,379,2
41,380,2
41,104,2
41,381,1
41,371,1
41,270,2
41,382,2
41,383,2
41,384,2
41,385,2
41,386,2
41,355,1
41,387,1
41,388,1
41,49,1
41,389,2
41,390,1
41,313,2
41,391,2
41,103,2
41,244,1
41,332,2
41,392,1
41,331,2
41,43,1
41,393,1
41,377,1
41,394,2
41,395,2
41,396,1
41,336,2
41,354,1
41,397,1
41,353,1
41,44,2
41,133,2
41,334,2
41,156,2
41,398,1
41,399,2
41,337,1
41,400,2
41,83,1
41,401,1
41,402,1
41,403,2
42,268,1
42,45,1
42,404,1
42,281,1
42,229,1
42,239,1
43,340,1
43,405,1
43,406,1
43,407,1
43,331,1
43,408,1
43,409,1
43,385,1
43,410,1
43,411,1
43,134,1
43,51,1
43,382,1
43,412,1
43,413,1
44,414,1
44,398,1
44,72,1
44,332,2
44,415,1
44,354,1
44,416,1
44,417,1
44,250,1
44,418,1
44,226,1
44,419,1
44,420,1
44,49,1
44,421,1
44,53,2
44,190,2
44,422,1
44,361,2
44,423,1
44,348,1
44,424,2
44,132,2
44,258,2
45,58,1
45,398,1
45,71,2
45,61,1
45,57,1
45,425,1
45,353,1
45,63,1
45,56,1
45,372,1
45,70,1
45,413,1
45,68,2
45,80,2
45,65,2
45,426,1
45,281,2
45,427,1
45,428,2
45,67,2
45,350,2
45,240,1
45,429,1
45,245,1
45,430,1
45,51,2
45,431,1
45,47,1
46,432,1
46,336,1
46,103,1
47,295,1
47,331,1
47,433,1
47,366,1
48,53,2
48,75,2
48,184,1
48,268,1
48,343,1
48,240,1
48,91,2
48,302,2
48,327,2
48,205,1
48,434,1
48,54,1
48,292,1
48,435,1
48,104,2
48,115,1
48,389,2
48,436,1
48,127,1
48,360,1
48,78,1
48,200,1
48,273,2
48,316,2
48,320,1
48,326,1
48,437,1
48,438,2
48,212,1
48,201,2
48,439,1
48,324,1
48,321,1
48,440,1
48,55,2
48,441,1
48,362,1
49,258,1
49,367,1
49,51,1
49,227,1
49,80,1
49,240,1
49,353,1
49,442,1
49,443,1
49,190,1
49,244,1
49,323,1
49,366,1
49,337,1
49,270,1
49,313,1
49,403,1
49,332,1
50,444,1
50,445,1
50,104,1
50,55,1
50,446,1
50,353,1
50,352,1
50,53,1
50,447,1
50,448,1
50,367,1
50,277,1
50,365,1
50,449,1
50,337,1
50,256,1
50,450,1
50,339,1
50,268,1
51,451,2
51,452,1
51,227,2
51,240,1
51,80,2
51,350,2
51,268,1
51,181,2
51,127,1
51,453,2
51,332,2
51,132,2
51,364,1
51,339,1
51,253,1
51,454,1
51,455,1
51,145,1
51,456,1
51,361,2
51,366,1
51,457,1
51,156,2
51,334,2
51,247,2
51,134,1
51,315,1
51,458,1
51,401,1
51,286,2
51,459,1
51,412,2
51,460,1
52,71,1
53,186,2
53,123,2
53,86,1
53,182,1
53,353,1
53,188,1
53,267,1
53,453,2
53,345,1
53,75,2
53,328,2
53,330,1
53,184,1
53,461,1
53,377,1
53,462,1
53,332,2
53,463,2
53,315,1
53,464,1
53,190,2
53,465,1
53,466,1
54,467,1
54,359,1
54,104,1
54,258,1
54,316,1
54,468,1
54,323,1
54,200,1
54,55,1
54,127,1
55,469,1
55,334,2
55,250,1
55,391,2
55,331,2
55,470,1
55,359,1
55,363,1
55,326,1
55,471,1
55,288,2
55,206,1
55,201,2
55,195,1
55,472,1
55,211,2
55,212,1
55,389,2
55,292,1
55,200,1
55,127,1
55,193,1
55,436,1
55,104,2
55,132,2
55,473,1
55,209,2
55,76,1
55,213,2
56,61,1
56,57,1
56,474,1
56,64,1
56,475,1
56,476,1
56,477,1
56,478,1
56,479,1
56,58,1
56,281,1
56,68,1
56,425,1
56,71,1
56,480,1
56,63,1
56,65,1
56,372,1
56,481,1
56,482,1
56,483,1
56,484,1
56,419,1
56,485,1
56,230,1
56,486,1
57,71,1
57,58,1
57,63,1
57,65,1
57,68,1
57,487,1
57,61,1
57,425,1
57,281,1
57,372,1
57,191,1
57,285,1
57,350,1
57,392,1
57,488,1
57,66,1
57,489,1
57,490,1
57,254,1
57,438,1
57,491,1
57,492,1
57,205,1
57,493,1
57,123,1
57,106,1
57,494,1
57,111,1
58,63,1
58,65,1
58,70,1
58,68,1
58,281,1
58,61,1
58,425,1
58,71,1
58,429,1
58,495,1
58,496,1
58,497,1
58,255,1
58,498,1
59,484,1
60,469,1
60,63,1
60,243,1
60,499,1
60,67,2
60,131,1
60,500,1
60,484,1
60,501,1
61,502,1
61,62,1
61,63,1
61,503,1
61,372,1
61,340,1
61,504,1
61,370,1
61,139,1
61,184,1
61,144,1
61,266,1
61,149,1
61,202,1
61,71,1
61,70,1
61,65,1
61,475,1
61,66,1
62,426,1
62,505,1
62,506,1
62,507,1
62,149,1
62,70,1
62,508,1
62,475,1
63,484,1
63,64,1
63,67,1
63,89,1
63,505,1
63,281,1
63,509,1
63,68,1
63,71,1
63,482,1
64,482,1
64,67,2
64,484,1
64,281,2
64,509,1
64,429,1
64,89,2
64,476,1
64,474,1
64,510,1
64,511,1
64,512,1
64,475,1
64,480,1
64,513,1
65,315,1
65,514,1
65,367,1
65,68,2
65,70,1
65,281,2
65,425,1
65,71,2
66,429,1
66,515,1
66,484,1
66,285,1
66,281,1
66,237,1
66,489,1
66,490,1
66,516,1
66,517,1
66,518,1
67,469,1
67,499,1
67,484,1
67,509,1
67,429,1
67,89,2
67,281,2
67,519,1
67,510,1
67,68,2
67,372,1
68,443,1
68,505,1
68,520,1
68,521,1
68,522,2
68,523,1
68,524,1
68,425,1
68,71,2
68,525,1
68,526,1
68,431,1
68,508,1
68,89,2
68,527,2
68,361,2
68,465,1
68,348,1
68,218,2
68,528,1
68,499,1
69,529,1
69,232,2
69,107,2
69,238,1
69,443,1
69,329,1
69,81,2
69,530,1
69,116,2
69,279,1
69,168,1
69,354,1
69,181,2
69,491,1
69,531,1
69,494,1
69,169,1
70,507,1
70,232,1
70,426,1
70,428,1
70,133,1
70,532,1
70,510,1
71,533,1
71,425,1
71,534,1
71,535,1
71,536,1
71,368,1
71,506,1
71,284,1
71,537,1
71,499,1
71,538,1
71,510,1
71,539,1
71,281,2
71,338,1
71,454,1
71,352,1
71,395,2
71,540,1
71,372,1
71,541,1
71,267,1
71,350,2
71,139,1
