Source,Target,cluster
953,1323,2
953,1370,1
953,1553,1
953,1571,1
953,1078,1
953,1551,1
953,1793,1
953,1605,2
953,1804,2
953,1604,1
953,1163,1
953,1083,1
953,1471,1
953,1621,1
953,1487,1
953,1172,1
953,1191,1
953,1590,1
953,997,1
953,1888,1
953,1675,1
953,1613,1
953,1714,1
953,1662,1
953,484,1
953,1707,2
953,1563,1
953,1056,1
953,1173,2
953,1741,1
953,1610,2
953,1589,1
953,1809,1
953,1331,1
953,1160,1
953,1559,2
953,1868,1
953,1156,2
953,1107,1
953,1086,1
953,1029,1
953,995,1
953,1040,1
953,1391,1
953,1377,1
953,1214,1
953,1256,1
953,1670,1
953,1361,1
953,1359,1
953,1663,1
953,1580,1
953,1736,1
953,1842,1
953,1609,1
953,1665,1
953,1791,2
953,1470,1
953,1201,1
953,1509,1
953,1622,2
953,1222,1
953,1409,1
953,1271,1
953,1389,1
953,1238,1
953,1243,1
953,1685,1
953,1199,2
953,1637,1
953,1722,1
953,1530,1
953,1047,1
953,1059,2
953,1826,1
953,897,1
953,1849,1
953,1330,1
953,932,1
953,1902,1
953,1520,2
953,1861,1
953,978,1
953,1289,1
953,1431,1
953,1230,1
953,1813,1
953,1124,1
953,1483,1
953,1117,1
953,1730,1
953,1280,1
953,1620,1
953,1488,1
953,1336,1
953,1688,1
953,1205,1
953,1898,2
953,1517,1
953,1135,1
953,1619,1
953,1768,2
953,1447,1
953,1800,1
953,1717,1
953,993,1
953,1456,1
953,1390,1
1323,1361,1
1323,897,1
1323,1643,1
1323,1265,1
1323,1891,1
1323,1675,1
1323,1520,2
1323,921,1
1323,1902,1
1323,1047,1
1323,1377,1
1323,1126,1
1323,1811,1
1323,1551,1
1323,1559,2
1323,1447,1
1323,1460,1
1323,1359,1
1323,1214,1
1323,1160,1
1323,1604,1
1323,1753,1
1323,1842,1
1323,1191,1
1323,1617,1
1323,1149,2
1323,1076,1
1323,1554,1
1323,1621,1
1323,906,1
1323,1243,1
1323,1255,1
1323,995,1
1323,1029,1
1323,997,1
1323,1637,1
1323,1669,1
1323,1389,1
1323,925,1
1323,1156,2
1323,1663,1
1323,1839,1
1323,980,1
1323,1117,1
1323,1799,1
1323,1868,1
1323,1570,1
1323,1146,1
1323,1835,2
1323,1610,2
1323,1199,2
1323,1173,2
1323,1768,2
