Source,Target,cluster
0,6925,1
1,6925,1
1,8905,1
2,6927,1
3,6929,1
4,6929,1
5,6929,1
5,2709,1
5,2651,1
6,6929,1
6,8830,1
7,6929,1
8,6929,1
8,7665,1
8,9782,1
8,9772,1
8,9128,1
8,7848,1
8,2465,1
9,6929,1
10,6933,1
10,5181,1
10,5019,1
11,6941,2
11,7943,1
11,5592,1
11,5077,2
12,6943,1
13,6945,1
14,6947,1
14,9514,1
15,6947,1
15,9514,1
16,6951,1
16,10287,1
17,6953,1
17,8417,1
17,8487,2
17,8508,2
18,6957,1
18,9235,1
18,9733,1
18,7646,1
18,5704,1
18,4107,1
19,6961,1
20,6963,1
20,7267,1
20,7279,1
20,7329,1
20,8187,1
20,8529,1
20,9037,1
20,10380,1
20,10116,1
20,6128,1
20,5348,1
20,4335,1
21,6967,1
22,6967,1
23,6975,1
23,8691,1
23,10189,1
23,7198,1
23,7100,1
23,6356,1
23,2155,1
24,6979,1
25,6983,1
26,6983,1
27,6991,1
27,10343,1
27,5970,1
28,7003,1
28,5249,1
29,7003,1
29,5249,1
30,7003,1
31,7007,1
32,7015,1
33,7017,1
33,7309,1
33,8089,1
33,8215,1
33,9538,1
33,8372,1
33,7916,1
33,4831,1
33,4203,1
33,3197,1
33,2393,1
33,2221,1
34,7021,1
34,7052,1
35,7039,1
35,9837,1
36,7041,1
36,7843,1
36,8387,1
36,8443,1
36,10613,1
36,10258,1
36,5750,1
36,5331,1
36,5141,1
36,3839,1
36,3535,1
36,2367,1
36,1995,1
37,7057,1
37,9634,1
38,7059,1
38,9334,1
38,8174,1
38,6422,1
38,6418,1
38,5404,1
38,2929,1
39,7063,1
39,7227,1
39,9061,1
39,9593,1
39,9661,1
39,8948,1
39,5317,1
40,7065,1
40,7439,1
41,7067,1
42,7069,1
42,4401,1
43,7069,1
44,7079,1
44,6048,1
44,2307,1
45,7079,1
45,9471,1
45,3239,1
45,2147,1
46,7079,1
46,6048,1
46,2307,1
47,7081,1
47,7622,1
48,7085,1
49,7101,1
49,8391,1
49,8689,1
49,6146,1
49,5772,1
49,5426,1
50,7103,1
51,7103,1
51,8485,1
51,5578,1
51,4315,1
52,7103,1
53,6877,1
53,7581,1
53,9056,1
53,2517,1
54,6877,1
55,6877,1
56,6883,1
57,6885,1
58,6885,1
58,7321,1
58,4603,1
59,6893,1
60,6893,1
61,6899,1
61,6983,1
61,8375,1
61,9254,1
61,8678,1
61,5690,1
61,5213,1
61,3607,1
61,2909,1
61,2513,1
62,6899,1
63,6901,1
64,6901,1
64,8233,1
64,9548,1
64,9302,1
64,5778,1
64,5586,1
64,5570,1
64,4019,1
64,2795,1
64,1649,1
64,1429,1
65,6901,1
65,7625,1
65,4771,1
65,2709,1
66,6909,1
66,8005,1
66,9780,1
66,6482,1
67,6911,1
68,6917,1
68,6937,1
68,6556,1
69,6923,1
70,6923,1
71,6923,1
72,6925,1
72,8905,1
73,7103,1
73,2141,1
73,2063,1
74,7103,1
75,7103,1
75,5812,1
75,2881,1
76,7107,1
76,7683,1
76,9958,1
76,4845,1
77,7115,1
77,8824,1
78,7115,1
78,8824,1
79,7117,1
80,7117,1
80,10241,1
81,7117,1
81,9034,1
82,7117,1
82,8956,1
82,8088,1
83,7119,1
83,8113,1
84,7121,1
85,7121,1
85,8206,1
85,8052,1
85,5818,1
85,2337,1
85,1717,1
86,7137,1
87,7137,2
87,7389,1
87,7731,1
87,7919,1
87,8273,1
87,8429,2
87,9152,1
87,4663,1
87,4025,1
87,2761,2
87,2577,1
87,2163,1
87,2131,1
87,1669,1
88,7137,1
89,7137,1
89,4603,1
90,7141,1
90,9854,1
90,5984,1
91,7141,1
92,7141,1
92,10426,1
93,6851,1
94,6857,1
94,7085,1
95,6869,1
96,6871,1
97,6871,1
97,9464,1
97,8382,1
98,6871,1
98,9402,1
99,6875,1
99,9574,1
100,6875,1
101,6875,1
102,6877,1
103,6877,1
103,10323,1
103,9794,1
104,6877,1
104,7487,1
104,10077,1
104,9697,1
104,9056,1
104,2149,1
105,6877,1
105,7581,1
105,7935,1
105,5582,1
106,6877,1
107,7141,1
107,7949,1
107,7256,2
107,4181,1
107,2537,1
107,2179,1
108,7145,1
109,7151,1
110,7151,1
110,8253,2
110,8064,1
110,2599,1
111,7151,1
112,7151,1
113,7159,1
113,8275,1
113,9509,1
113,4865,1
113,4227,1
114,7181,1
115,7185,1
115,9444,1
116,7185,1
116,9644,1
116,3849,1
116,2441,1
117,7185,1
117,8890,1
118,7187,1
119,7189,1
119,8449,1
120,7189,1
121,6801,1
121,10437,1
122,6807,1
123,6809,1
123,8649,1
123,8228,1
123,5484,1
123,5153,1
123,4879,1
124,6811,1
125,6811,1
126,6813,1
126,10614,1
127,6817,1
128,6819,1
128,8163,1
128,10365,1
128,8334,1
128,7216,1
128,6854,1
128,3457,1
128,3197,1
128,1449,1
129,6821,1
130,6829,1
130,9535,1
130,9758,1
130,7314,1
130,5904,1
130,3741,1
130,1639,1
130,1591,1
131,6831,1
132,7197,1
132,8623,1
132,8588,2
133,7203,1
133,8209,1
133,9869,1
133,9762,1
133,2709,1
134,7205,1
134,8749,1
134,8987,1
134,7836,1
134,5910,1
134,4777,1
134,2497,1
135,7205,1
135,8749,1
135,8987,1
135,7836,1
135,4777,1
135,2845,1
135,2497,1
135,2397,1
136,7209,2
136,7591,1
136,9642,1
136,8996,2
136,7914,1
136,5630,1
137,7211,1
137,2185,1
137,2017,1
138,7211,1
139,7211,1
139,7303,1
139,7833,1
139,4649,1
139,2185,1
140,7225,1
141,7237,1
141,7624,1
