Source,Target
2,3
2,5
2,7
2,9
2,21
2,24
2,28
2,41
2,47
2,63
2,65
2,86
2,92
2,93
2,180
2,197
2,209
2,243
2,423
2,455
2,563
2,579
2,631
2,653
2,801
2,858
2,874
2,923
2,932
2,936
2,938
2,1079
2,1122
2,1201
2,1209
2,1286
2,1342
2,1466
2,1481
2,1555
2,1640
2,1745
2,1777
2,1814
2,2154
2,2318
2,2572
2,2764
2,3214
2,3215
2,3465
2,3527
2,3665
2,3683
2,3968
2,3982
2,3983
2,4001
2,4004
2,4005
2,4014
2,4017
2,4020
2,4035
2,4039
3,5
3,7
3,9
3,21
3,24
3,28
3,41
3,47
3,53
3,63
3,65
3,86
3,92
3,105
3,180
3,209
3,438
3,563
3,579
3,631
3,653
3,698
3,801
3,874
3,923
3,932
3,938
3,1040
3,1079
3,1423
5,7
5,9
5,21
5,24
5,28
5,41
5,47
5,53
5,63
5,86
5,92
5,93
5,105
5,107
5,180
5,197
5,383
5,393
5,422
5,503
5,526
5,579
5,653
5,801
5,845
5,858
5,874
5,908
5,919
5,923
5,927
5,929
5,932
5,934
5,936
5,938
7,9
7,21
7,24
7,28
7,32
7,47
7,63
7,72
7,92
7,93
7,167
7,180
7,197
7,293
7,300
7,453
7,576
7,624
7,653
7,680
7,735
7,771
7,848
7,858
7,923
7,1061
7,1068
7,1072
7,1079
7,1081
7,1087
7,1251
7,1393
7,1439
7,1522
7,1528
7,1642
7,1976
7,2045
7,2111
7,2570
7,2572
7,2573
7,2577
7,2610
7,2614
7,2617
7,2643
7,2722
7,2840
7,3120
7,3462
7,3727
7,3968
7,4522
7,4529
7,4532
7,4547
7,4759
7,4837
7,4887
7,5661
7,5689
7,5985
7,5986
7,5988
7,5992
7,6001
7,6004
7,6005
7,6010
7,6019
9,9
9,18
9,21
9,24
9,28
9,41
9,47
9,63
9,72
9,86
9,92
9,105
9,114
9,119
9,167
9,180
9,182
9,207
9,240
9,267
9,283
9,326
9,438
9,579
9,586
9,612
9,631
9,653
9,659
9,663
9,696
9,698
9,753
9,771
9,785
9,820
9,848
9,858
9,874
9,938
9,1050
9,1079
9,1105
9,1188
9,1191
9,1217
9,1236
9,1279
9,1280
9,1286
