Source,Target
0,17
0,19
0,23
0,29
0,37
0,45
0,55
0,67
0,69
0,73
0,75
0,76
0,78
0,84
0,86
0,87
0,88
0,90
0,98
0,99
0,107
0,121
0,220
0,316
0,328
0,369
1,1
1,6
1,7
1,9
1,20
1,22
1,28
1,33
1,35
1,41
1,51
1,72
1,85
1,90
1,105
1,121
1,123
1,131
1,146
1,167
1,196
1,200
1,216
1,220
1,221
1,263
1,270
1,274
1,276
1,289
1,302
1,328
1,352
1,368
1,369
1,372
1,446
1,454
1,553
1,555
1,567
1,569
1,571
1,573
1,587
1,591
1,608
1,610
1,612
1,633
1,634
1,635
1,636
1,637
1,639
1,640
1,641
1,642
1,643
1,644
1,652
1,656
1,659
1,670
1,673
1,689
1,696
1,702
1,703
1,704
1,803
1,998
1,1108
1,1196
1,1574
1,1717
2,26
2,47
2,49
2,126
2,134
2,173
2,217
2,222
2,941
3,4
3,5
3,27
3,33
3,45
3,52
3,53
3,56
3,86
3,101
3,563
4,5
4,45
4,56
4,86
4,101
5,24
5,27
5,31
5,45
5,93
6,6
6,7
6,9
6,20
6,22
6,35
6,41
6,51
6,67
6,85
6,101
6,105
6,131
6,146
6,167
6,196
6,210
6,328
6,345
6,352
6,368
6,369
6,372
6,608
6,612
6,636
6,652
6,703
6,1119
7,9
7,20
7,22
7,51
7,72
7,85
7,131
7,136
7,167
7,210
7,270
7,702
7,4837
8,8
8,10
8,24
8,63
8,67
8,209
8,244
8,248
8,631
8,1121
8,3254
9,9
9,19
9,84
9,123
9,131
9,394
9,2635
10,10
10,551
10,579
10,1733
12,1396
15,98
15,116
16,16
16,18
16,28
20,47
21,24
21,100
21,540
21,551
21,857
21,1032
21,1117
21,1196
21,3254
22,261
22,289
22,372
24,600
26,47
26,173
26,230
26,332
28,30
28,41
28,100
28,252
28,843
28,1061
28,1372
28,3058
31,149
31,213
31,296
31,348
34,34
34,195
34,275
37,37
38,38
39,39
39,624
39,628
41,265
41,298
41,635
41,636
41,640
41,641
41,642
41,644
42,1091
43,856
43,857
43,901
45,45
47,47
47,49
47,134
47,173
47,359
47,372
51,571
53,53
54,54
54,551
54,857
54,1112
57,57
57,60
59,59
59,65
59,857
60,60
60,115
60,290
60,313
60,324
60,363
60,1481
62,62
62,551
62,856
62,857
62,920
63,238
63,299
64,64
65,129
65,219
65,247
65,248
65,551
65,552
65,856
65,857
65,901
65,941
65,1117
65,1119
65,1564
66,66
67,67
67,856
67,857
75,75
76,76
77,77
77,370
82,82
86,93
91,91
97,384
98,98
100,100
100,540
100,1196
107,107
110,110
114,114
116,116
118,118
129,129
129,856
129,857
134,134
149,149
173,173
182,182
183,183
209,209
209,1032
213,213
219,857
233,629
238,238
241,1112
241,1574
243,243
244,631
245,1563
246,246
247,475
247,579
248,248
248,384
248,579
248,857
250,250
256,256
260,260
263,263
264,1032
276,276
290,290
299,299
313,313
315,315
315,1032
363,363
365,2610
371,371
391,391
446,446
475,551
475,856
475,941
475,1086
475,1112
475,1120
490,905
540,540
547,547
551,551
551,579
551,856
551,859
551,1112
551,1119
551,1481
551,3254
600,631
624,624
629,629
629,1727
629,1729
631,631
642,642
803,803
803,1032
836,843
847,483
847,1371
941,856
941,857
941,901
941,941
959,1086
959,1092
998,998
1032,1032
1032,1142
1037,1037
1050,1050
1050,1092
1086,1092
1108,1108
1108,1717
1117,901
1118,1568
1118,1575
1118,1736
1137,1137
1318,1318
1396,1396
1418,1418
1418,1725
1481,856
1557,1557
1558,1558
1558,1559
1560,857
1564,857
1565,1565
1568,1568
1572,1572
1574,857
1717,1717
1720,1720
1726,476
1726,1726
1727,1727
1728,476
1728,1728
1729,1729
1733,1733
1736,1736
476,476
579,579
579,856
579,857
579,920
801,4572
801,4837
901,857
901,901
3254,857
920,920
552,857
864,864
483,483
3058,3058
3058,3774
3058,3780
3774,3774
3774,3780
2610,2610
4837,4837
3072,3072
3486,3486
3780,3780
384,384
384,3085
384,4050
