Source,Target
0,12
0,20
0,21
0,23
0,29
0,31
0,32
0,37
0,40
0,41
0,44
0,50
0,60
0,62
0,64
0,69
0,71
0,73
0,75
0,78
0,80
0,88
0,91
0,94
0,106
0,116
0,122
0,136
0,137
0,138
0,140
0,141
0,145
0,149
0,151
0,153
0,155
0,156
0,158
0,159
0,160
0,168
0,172
0,177
0,181
0,183
0,184
0,187
0,188
0,189
0,190
0,197
0,202
0,203
0,205
0,208
0,212
0,217
0,222
0,230
0,231
0,232
0,233
0,236
0,237
0,238
0,244
0,246
0,247
0,250
0,253
0,254
0,258
0,263
0,269
0,274
0,281
0,288
0,289
0,290
0,293
0,299
0,300
0,302
0,307
0,308
0,312
0,314
0,316
0,317
0,318
0,320
0,324
0,334
0,335
0,336
0,337
0,339
0,341
0,347
0,349
0,350
0,353
0,356
0,358
0,366
0,370
0,373
0,377
12,60
12,646
12,860
20,41
20,263
20,603
20,724
20,1022
20,1054
20,1150
20,1306
20,1319
21,44
21,217
21,421
21,517
21,806
21,1022
21,1190
21,1192
21,1203
21,1567
31,32
31,60
31,149
31,538
31,731
31,1016
31,1283
31,1297
32,32
37,37
40,40
41,188
41,274
41,417
41,434
41,437
41,438
41,439
41,441
41,442
41,443
41,444
41,452
41,453
41,454
41,457
41,459
41,460
41,462
41,464
41,466
41,470
41,472
41,473
41,476
41,477
41,482
41,483
41,486
41,489
41,490
41,491
60,60
60,290
60,324
60,356
60,497
60,610
60,619
60,722
60,829
60,945
60,977
60,1022
60,1054
60,1510
62,62
64,64
75,75
91,91
106,106
116,116
136,136
137,831
140,140
149,149
177,177
183,183
217,217
231,231
237,237
238,238
246,246
247,247
247,393
250,250
263,263
281,281
290,290
299,299
300,300
336,336
383,518
384,384
384,956
384,1218
384,1420
386,386
393,393
393,576
393,1028
393,1106
393,1200
417,417
421,421
421,499
421,749
429,429
434,434
437,437
442,442
452,452
462,462
473,473
473,523
476,476
499,499
499,552
499,553
499,836
513,556
517,517
517,606
517,641
517,689
517,725
517,832
517,906
517,1010
517,1051
517,1058
517,1063
517,1311
517,1333
517,1348
517,1374
517,1519
517,1520
517,1538
517,1550
517,1585
517,1586
517,1587
518,518
523,523
530,601
547,547
547,773
552,552
553,553
576,576
601,601
615,615
653,653
677,677
749,749
749,899
749,1089
749,1289
758,758
769,769
772,772
773,773
802,1419
804,804
817,817
824,824
855,855
860,860
872,872
899,899
906,906
918,918
936,936
942,942
945,945
946,946
952,952
956,956
965,965
967,967
977,977
992,992
994,994
1016,1016
1022,1022
1022,1023
1028,1028
1029,1029
1032,1032
1034,1034
1036,1036
1054,1054
1058,1058
1077,1077
1100,1100
1103,1103
1104,1104
1107,1107
1185,1185
1190,1190
1192,1192
1193,1193
1197,1197
1198,1198
1200,1200
1209,1209
1289,1289
1318,1318
1336,1336
1351,1351
1358,1358
1371,1371
1381,1381
1429,1429
1432,1432
1448,1448
1488,1488
1490,1490
1491,1491
1494,1494
1498,1498
1510,1510
1534,1534
1541,1541
1551,1551
1589,1589
1595,1595
