Source,Target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,15
0,18
0,22
0,24
0,26
0,27
0,28
0,31
0,35
0,38
0,54
0,59
0,62
0,64
0,65
0,68
0,70
0,71
0,96
0,97
0,103
0,104
0,110
0,140
0,143
0,144
0,164
0,209
0,241
0,248
0,256
0,263
0,286
0,319
0,353
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,12
1,16
1,18
1,21
1,22
1,26
1,28
1,31
1,42
1,51
1,60
1,61
1,62
1,63
1,67
1,88
1,102
1,207
1,246
1,273
1,274
1,309
1,368
1,391
1,394
1,423
1,438
1,475
1,490
1,523
1,540
1,547
1,551
1,599
1,600
1,613
1,629
1,631
1,636
1,640
1,648
1,659
1,843
1,847
1,903
1,930
1,941
1,959
1,1032
1,1050
1,1066
1,1072
1,1089
1,1092
1,1103
1,1108
1,1112
1,1116
1,1119
1,1123
1,1135
1,1137
1,1139
1,1143
1,1154
1,1166
1,1185
1,1194
1,1196
1,1197
1,1216
1,1233
1,1238
1,1243
1,1247
1,1252
1,1257
1,1278
1,1298
1,1305
1,1311
1,1313
1,1335
1,1337
1,1343
1,1346
1,1354
1,1359
1,1368
1,1377
1,1379
1,1384
1,1395
1,1400
1,1401
1,1403
1,1418
1,1455
1,1458
1,1468
1,1480
1,1481
1,1500
1,1502
1,1506
1,1510
1,1537
1,1538
1,1543
1,1547
1,1557
1,1558
1,1560
1,1565
1,1567
1,1620
1,1635
1,1641
1,1644
1,1649
1,1652
1,1668
1,1680
1,1687
1,1702
1,1737
1,1740
1,1768
1,1796
1,1804
1,1821
1,1843
1,1844
1,1858
1,1866
1,1886
1,1908
1,1914
1,1952
1,1955
1,1980
1,1981
1,1989
1,1998
1,2022
1,2051
1,2053
1,2059
1,2064
1,2072
1,2097
1,2100
1,2122
1,2165
1,2170
2,6
2,7
2,8
2,9
2,22
2,26
2,28
2,31
2,41
2,63
2,67
2,199
2,388
2,455
2,464
2,476
2,551
2,631
2,801
2,858
2,901
2,902
2,914
2,3845
2,3959
2,3967
2,3970
2,3976
2,3983
2,3985
2,3987
2,3994
2,4000
2,4011
2,4019
2,4021
2,4029
2,4030
3,28
3,822
3,3506
3,3895
4,6
4,10
4,22
4,41
4,552
4,859
4,862
4,863
4,868
4,876
4,878
4,892
5,7
5,10
5,21
5,26
5,41
5,381
5,393
5,401
5,427
5,519
5,900
5,917
6,7
6,8
6,9
6,21
6,27
6,60
6,67
6,438
6,456
6,508
6,545
6,665
6,843
6,858
6,938
6,1499
6,1588
6,1816
6,2583
6,2594
6,2787
6,2792
6,2823
6,2824
6,2915
6,3058
6,3621
6,3774
6,3932
6,4305
6,4398
6,4530
6,4536
6,4549
6,4562
6,4578
6,4606
6,4612
6,4613
6,4637
6,4651
6,4659
6,4679
6,4686
7,9
7,540
7,544
7,680
7,694
7,1579
7,2722
7,3519
7,4492
7,4530
7,5060
7,5804
7,5985
7,5993
7,6001
7,6012
7,6017
7,6019
8,9
8,3533
8,3534
8,3537
8,3542
8,3544
9,15
9,18
9,28
9,41
9,129
9,438
9,579
9,602
9,663
9,819
9,844
9,1032
9,1039
9,1119
9,1311
9,1817
9,1937
9,2141
9,2593
9,2602
9,2604
9,2610
9,2615
9,2653
9,2681
9,2684
9,2688
9,2696
9,2705
9,2708
9,2712
9,2721
9,2724
9,2752
9,2787
9,2814
9,2842
9,2855
9,2877
9,2879
9,2914
10,1042
10,3332
12,4950
15,625
15,3145
16,1045
18,1055
18,3095
18,3102
18,3161
21,550
21,551
21,4771
21,5180
21,5796
21,5800
22,28
22,1052
22,3663
22,3671
22,3673
22,3701
22,3710
22,3728
22,3734
24,5627
26,28
26,795
26,3199
26,3204
26,3235
26,3238
27,4865
28,51
28,868
28,1418
28,2187
28,2204
28,2414
28,3058
28,3486
28,3808
28,3875
28,3900
28,4334
28,4930
28,5096
28,5470
28,5785
31,711
31,5557
31,5569
38,5683
41,110
41,472
41,686
41,693
41,697
41,705
42,3170
42,3171
47,876
47,4394
51,550
51,561
51,565
51,577
51,578
51,584
51,589
51,594
51,598
54,5351
59,3924
60,1590
60,3644
60,3956
60,4472
60,4503
61,2218
62,551
62,4134
62,4338
62,6353
62,6354
63,4879
63,4900
64,4267
65,248
65,2190
65,3362
67,3939
67,4133
68,3015
97,384
102,2559
110,400
110,5970
129,2202
164,840
207,384
207,550
246,6297
248,4301
248,4915
248,4925
263,6046
391,513
391,632
394,3319
423,2548
438,2294
438,2298
438,3909
438,4955
438,5114
475,995
475,2183
475,2184
475,2192
475,2196
475,2219
475,2236
475,2240
475,2253
475,2257
475,2264
475,2269
490,489
490,3380
490,3426
490,3646
540,4435
540,4445
547,3629
551,1046
551,2202
551,3010
551,3011
551,3251
551,3254
551,3263
551,3268
551,3270
629,2499
629,6095
631,3615
843,1004
843,1008
843,1019
847,5819
903,3395
903,4054
903,4055
930,4967
938,5066
941,5452
959,4466
1032,5684
1032,5742
1050,4727
1092,2433
1103,5975
1108,2193
1108,5242
1108,5250
1108,5255
1108,5259
1108,5263
1112,3440
1112,4222
1116,3167
1119,5879
1137,5672
1196,550
1196,6401
1305,3471
1311,2320
1335,3518
1346,4767
1384,6185
1384,6294
1401,6134
1403,5605
1418,4987
1418,4995
1418,5009
1481,3363
1510,6308
1543,3771
1557,3443
1558,4103
1565,6355
388,480
476,2489
476,2501
579,2407
801,3755
801,4811
801,4820
801,4829
801,4833
858,829
858,1001
901,3000
901,5408
901,5411
902,857
902,4311
902,4314
914,5754
3254,5583
3845,6127
3959,3963
3506,5586
3895,5192
552,3050
857,2218
859,983
859,985
862,2484
868,4072
868,4322
868,5308
876,3000
876,3175
878,6200
892,3021
381,516
381,531
900,3034
900,3038
900,3040
900,3042
917,4091
2193,5457
2594,5899
2792,5700
3058,2218
3058,3912
3058,5954
3058,6237
3058,6238
3621,5179
3774,3497
3932,6313
4305,5923
4398,4748
4549,5525
4549,5534
4578,5453
2610,5194
5060,5216
5180,5221
561,536
3533,3596
3534,3601
3534,3604
3537,3597
3542,3640
663,3529
844,4726
2593,6356
2602,3789
2604,5593
1042,4724
4950,5105
1045,3820
1045,3830
536,4944
550,2196
550,2940
550,3038
550,3796
550,5336
4771,5281
2204,5321
2204,5324
2414,5703
3486,4187
3486,5429
3808,4733
4334,6055
5470,5888
472,474
3038,6223
3268,6213
5351,5466
2218,3063
2218,3066
4134,6186
4338,5883
384,4071
384,4075
384,4079
5970,5580
2202,5885
995,2961
995,2981
4915,6209
4925,6166
3085,2405
3085,3175
5119,5184
2183,3089
2183,4161
2183,4163
2183,4166
2196,3143
2253,3499
2489,5187
2489,5189
489,495
3380,6220
3426,3429
3646,5402
3646,5405
1046,2473
1046,2475
2407,3423
4435,6111
3796,5849
3010,5872
3251,2981
3251,6285
3270,5389
3615,3905
829,1034
829,2391
1008,3809
1001,2403
3000,5916
3000,6335
6200,6199
3789,3791
5324,5866
3063,6220
