Source,Target
4,57
4,58
4,59
4,46
4,62
4,63
4,64
4,66
4,67
4,68
4,71
4,72
15,183
15,184
15,185
15,189
15,93
25,300
25,62
27,306
41,353
41,87
41,245
41,262
41,260
41,54
41,369
41,250
41,370
41,371
41,50
41,246
41,103
41,373
41,62
41,48
41,46
41,374
41,375
41,377
41,247
41,379
41,47
45,416
45,50
45,54
46,59
46,72
46,62
46,58
46,64
46,57
46,373
46,71
46,66
46,429
46,68
46,351
46,246
46,48
47,433
50,245
54,87
54,183
54,189
54,454
54,185
54,464
54,316
57,62
57,58
57,476
57,59
57,72
57,64
57,66
57,373
58,72
58,59
58,64
58,66
58,62
58,373
58,351
58,67
59,64
59,66
59,71
59,62
59,72
62,503
62,63
62,64
62,504
62,373
62,341
62,505
62,371
62,140
62,185
62,145
62,267
62,150
62,203
62,72
62,71
62,66
62,476
62,67
63,150
63,71
63,476
64,68
64,72
66,316
66,71
66,72
68,373
71,429
72,369
72,353
72,373
72,351
72,140
82,306
87,183
93,454
93,189
93,622
93,624
93,625
93,626
103,246
122,429
122,543
122,252
122,687
131,703
131,704
140,150
140,146
140,267
140,504
140,300
140,152
140,505
140,145
140,149
145,371
145,416
145,146
145,736
145,267
145,185
145,150
145,152
146,371
146,150
146,185
146,505
146,149
146,316
146,239
146,152
149,267
149,371
149,185
149,505
149,150
149,152
149,692
150,152
150,183
150,243
152,267
152,371
152,300
152,243
152,185
156,687
183,625
183,189
183,341
183,185
184,185
184,189
185,371
185,300
185,416
185,736
185,267
189,454
189,464
189,622
189,774
199,687
203,503
203,371
203,416
239,504
239,243
239,306
240,306
243,373
243,504
245,246
245,250
246,250
249,306
250,687
250,252
250,429
252,711
252,306
252,433
262,377
267,300
267,503
267,341
300,371
306,311
306,687
306,898
306,899
306,900
306,749
311,899
316,532
341,736
341,937
341,416
341,371
351,687
371,416
371,503
371,736
373,704
373,429
377,429
429,454
429,898
429,1001
429,543
429,775
429,546
433,687
433,543
453,687
454,821
454,624
454,625
454,1013
454,622
454,704
454,464
464,821
464,624
464,774
464,626
464,1029
464,625
464,1013
503,505
505,736
532,687
543,687
546,1058
555,687
555,775
622,1013
624,821
661,704
687,1007
687,704
687,703
687,692
687,698
687,1067
687,1001
704,775
711,900
736,937
770,819
772,819
819,953
819,1058
819,952
899,900
900,1058
