Source,Target
2,20
2,39
2,12
2,7
2,27
2,22
2,41
2,3
2,15
2,44
2,45
2,21
2,48
2,11
2,51
2,53
2,55
3,45
3,60
3,62
3,64
3,65
3,67
3,68
3,69
3,21
3,71
7,100
7,21
7,27
9,107
9,109
9,110
9,111
9,15
9,69
9,114
9,116
9,118
9,119
9,120
9,121
9,123
9,124
9,126
9,129
11,138
11,142
11,148
12,155
12,156
12,27
12,21
12,15
12,13
12,68
12,44
12,105
12,75
13,14
13,32
13,166
13,123
13,167
13,109
13,173
13,79
13,111
13,175
13,15
13,181
14,75
14,183
14,185
14,186
14,123
14,32
14,167
14,190
14,92
14,22
15,107
15,192
15,196
15,198
15,126
15,199
15,104
15,201
15,202
15,204
15,208
15,209
15,32
15,210
15,211
15,213
15,215
15,55
15,217
15,218
15,219
20,39
20,24
20,45
20,53
20,247
20,22
20,104
20,254
20,209
20,213
20,156
20,257
20,258
20,103
20,260
21,31
22,264
22,53
22,181
22,133
22,24
22,44
22,142
22,270
22,45
22,41
22,79
22,254
22,273
22,274
22,276
22,202
22,229
22,281
22,282
22,283
24,25
24,286
24,264
24,297
24,302
24,237
27,232
27,181
31,340
32,119
39,358
39,53
39,45
39,55
39,361
39,48
39,41
39,104
39,156
39,202
41,302
41,379
41,380
41,104
41,270
41,382
41,383
41,384
41,385
41,386
41,389
41,313
41,391
41,103
41,332
41,331
41,394
41,395
41,336
41,44
41,133
41,334
41,156
41,399
41,400
41,403
44,332
44,53
44,190
44,361
44,424
44,132
44,258
45,71
45,68
45,80
45,65
45,281
45,428
45,67
45,350
45,51
48,53
48,75
48,91
48,302
48,327
48,104
48,389
48,273
48,316
48,438
48,201
48,55
51,451
51,227
51,80
51,350
51,181
51,453
51,332
51,132
51,361
51,156
51,334
51,247
51,286
51,412
53,186
53,123
53,453
53,75
53,328
53,332
53,463
53,190
55,334
55,391
55,331
55,288
55,201
55,211
55,389
55,104
55,132
55,209
55,213
60,67
64,67
64,281
64,89
65,68
65,281
65,71
67,89
67,281
67,68
68,522
68,71
68,89
68,527
68,361
68,218
69,232
69,107
69,81
69,116
69,181
71,281
71,395
71,350
73,232
73,133
73,286
73,551
73,185
73,100
74,556
74,557
75,186
75,395
75,116
75,104
75,232
75,185
75,568
75,123
75,340
75,79
75,118
79,183
79,84
79,400
79,399
79,104
79,175
79,126
79,273
79,119
80,227
80,133
80,451
80,332
80,453
80,404
81,305
81,232
81,404
81,181
81,380
81,274
81,175
81,276
84,592
84,211
84,218
84,593
84,192
84,290
84,327
84,204
84,400
84,129
87,91
87,218
87,599
87,192
87,593
87,258
89,281
89,395
89,603
91,283
91,156
91,258
92,453
92,623
92,190
100,264
100,270
100,403
103,332
103,403
103,217
103,104
104,332
104,334
104,273
104,438
104,399
104,389
104,209
104,640
104,199
104,213
104,283
104,202
104,258
104,647
104,290
104,204
104,217
104,648
104,201
104,215
105,424
105,451
105,656
105,133
105,658
107,119
109,116
109,568
109,118
109,181
109,123
111,332
111,270
111,119
111,167
111,166
114,453
114,223
114,286
114,254
116,123
116,568
116,118
116,166
116,132
116,119
118,123
118,568
119,232
119,331
119,568
119,167
119,181
119,173
119,175
120,173
120,167
121,428
121,328
121,289
121,688
121,286
123,175
123,568
124,428
124,328
124,286
124,181
124,254
124,693
126,273
126,593
126,218
126,648
126,647
126,198
129,400
129,204
132,133
132,281
133,350
133,313
133,706
137,229
142,331
142,412
142,395
142,590
142,380
142,729
142,589
156,334
156,331
156,332
175,389
175,219
175,196
175,181
181,276
181,286
181,291
183,190
185,428
186,395
190,453
190,463
192,327
192,593
192,400
192,599
192,211
192,218
196,219
196,389
196,288
196,211
198,288
198,285
198,215
198,648
198,217
199,218
199,640
199,270
199,332
199,283
199,258
199,204
201,257
201,334
201,213
202,290
202,331
204,400
204,211
204,218
204,593
204,647
204,210
204,389
204,215
204,288
204,290
204,209
204,273
208,403
208,217
209,403
209,675
209,424
209,232
209,273
209,438
209,399
209,213
210,211
210,218
210,400
210,288
211,792
211,400
211,218
211,327
211,215
213,428
213,273
215,218
215,288
215,389
215,438
215,217
217,273
217,334
217,438
218,400
218,288
219,389
227,403
227,270
227,313
229,297
229,232
232,237
232,281
232,305
232,304
232,589
232,438
232,234
232,254
234,304
234,451
247,378
247,391
254,332
254,693
254,276
254,286
258,332
258,304
264,283
270,391
270,332
270,403
270,313
273,593
273,389
273,592
273,438
276,693
283,590
283,428
283,328
285,288
286,873
286,294
286,877
288,400
289,693
297,428
297,589
302,379
302,340
302,383
302,384
302,386
302,891
302,894
302,382
302,380
302,385
302,438
304,675
305,898
313,522
313,557
319,325
328,332
328,334
328,383
328,331
331,590
331,406
331,382
331,729
331,385
331,395
331,919
331,380
331,894
332,389
332,557
332,640
332,334
332,336
332,380
332,383
336,382
336,408
340,383
340,891
340,735
340,384
340,356
340,379
340,412
346,589
346,944
356,382
361,522
378,658
379,384
379,380
379,386
380,383
380,386
380,382
380,384
380,590
380,729
380,385
380,412
380,551
380,891
382,383
382,385
382,386
383,891
383,384
383,385
383,386
383,408
383,406
384,385
384,386
385,729
385,386
386,590
395,744
395,551
395,746
395,891
404,428
406,407
406,551
406,729
407,408
408,891
408,590
412,589
412,551
424,658
428,453
451,656
451,913
453,820
453,623
453,603
453,463
463,820
463,623
522,821
522,1052
522,527
527,821
551,729
551,589
557,1053
589,746
589,944
589,590
589,729
590,944
592,744
593,599
593,647
623,820
688,693
729,944
744,944
792,1068
821,1052
894,919
906,1068
909,1068
1031,1068
