Source,Target
1,4
1,12
1,21
1,24
2,32
2,37
2,19
3,40
9,106
10,112
10,116
13,158
13,69
13,160
14,136
15,188
19,41
21,54
21,50
21,91
21,257
23,269
23,278
25,126
38,345
38,347
39,52
39,105
39,313
39,356
41,135
41,377
42,354
42,134
46,64
49,344
50,314
52,454
52,459
52,460
54,464
54,465
57,62
58,491
74,555
76,564
76,341
81,204
91,612
91,613
93,454
112,271
118,683
128,325
135,710
140,719
142,354
160,758
196,269
219,801
257,843
269,854
269,701
271,836
287,877
314,912
339,928
355,957
356,945
378,974
381,784
427,998
460,1023
464,626
560,1064
578,1068
701,1096
709,816
898,1118
1096,1133
