Source,Target
18,226
18,227
18,21
18,27
21,41
21,54
21,223
21,253
21,105
21,256
21,107
21,91
21,257
21,258
21,260
24,182
24,34
24,287
24,292
24,58
24,30
24,116
24,294
24,120
24,112
27,304
30,319
30,322
30,326
30,34
30,196
30,194
34,342
34,182
41,260
41,270
41,54
41,194
41,374
41,106
41,376
41,377
41,334
41,378
41,355
44,406
44,407
44,410
45,355
45,227
45,54
45,423
45,424
45,349
54,183
54,454
54,378
54,463
54,464
54,316
54,466
57,58
57,65
57,478
57,69
57,72
57,482
57,483
57,487
58,72
58,69
58,488
58,493
58,494
58,107
58,495
58,112
61,244
61,502
65,483
65,514
69,525
69,72
69,527
69,466
69,349
69,219
72,537
72,339
72,423
74,466
74,550
74,287
74,194
74,196
74,553
74,101
74,554
78,183
78,197
78,575
78,120
80,578
80,579
80,116
80,105
80,194
80,120
91,256
91,612
91,613
92,616
92,617
92,618
93,454
93,628
98,635
98,598
101,265
101,196
101,637
101,468
101,554
105,183
105,578
105,468
105,378
105,227
105,204
105,196
105,644
105,203
105,116
106,653
106,458
106,339
107,667
107,182
107,196
112,670
112,120
112,355
116,676
116,344
116,678
116,468
116,593
116,679
116,194
116,204
120,685
120,532
120,182
143,147
143,727
143,728
143,410
147,152
147,183
147,738
152,267
152,740
158,751
158,395
158,754
158,183
182,237
182,277
182,762
182,532
182,287
182,763
182,292
183,367
183,766
194,196
194,204
194,777
196,237
196,678
196,779
196,197
196,204
196,777
196,781
197,204
197,782
203,789
204,378
204,791
219,592
219,800
219,222
222,592
222,804
223,678
223,495
223,805
227,807
227,532
227,410
227,578
227,378
237,340
237,316
237,820
237,464
237,532
237,355
242,828
242,578
244,378
244,832
256,612
256,499
256,841
257,458
257,316
257,843
257,844
257,423
260,845
260,458
265,850
267,852
270,856
270,857
270,378
277,867
287,367
287,876
298,883
304,897
313,909
313,911
313,350
313,378
316,339
316,913
316,349
316,495
316,532
316,378
322,917
326,918
334,612
334,924
334,376
334,925
339,928
339,554
339,340
339,344
340,934
344,939
344,466
349,947
350,948
350,949
355,956
355,468
355,495
355,367
355,532
367,468
367,495
367,532
367,966
376,454
376,612
376,610
376,969
376,971
376,378
377,973
378,454
378,975
378,389
389,410
389,978
395,984
406,407
407,991
407,410
410,993
423,997
427,1000
447,482
447,1007
454,1012
454,1014
454,464
454,598
454,578
458,1015
459,1018
460,554
460,1021
460,487
464,1029
466,1031
468,1032
483,1040
483,487
483,1042
483,499
487,1044
495,1047
499,1049
514,1052
532,1055
553,1061
554,928
554,1062
554,1007
578,1071
579,844
587,1031
587,1072
592,1074
593,1075
598,1032
598,925
598,1077
598,1062
610,612
610,1079
612,1081
612,1082
617,1085
807,850
828,1062
928,1062
