Source,Target
344,53
344,156
344,217
344,1351
344,1259
344,790
344,1570
344,1602
344,1684
344,481
344,639
344,1521
344,460
344,1158
344,1580
344,1603
344,1607
344,1588
344,1319
344,1304
344,988
344,1727
344,862
344,897
344,478
344,483
344,522
344,544
344,872
344,1589
1602,40
1602,53
1602,62
1602,151
1602,156
1602,340
1602,415
1602,481
1602,544
1602,595
1602,639
1602,668
1602,741
1602,790
1602,862
1602,872
1602,978
1602,1095
1602,1259
1602,1260
1602,1293
1602,1319
1602,1351
1602,1466
1602,1580
1602,1607
1602,1603
1602,1684
1602,1614
1602,1314
1602,1617
1602,1637
1602,1640
1602,1645
1351,156
1351,639
1351,903
1351,340
1351,1319
1351,1607
1351,1589
1351,1580
1351,978
1351,741
1351,53
1351,872
1351,568
1351,1684
1351,1588
1351,1570
1351,1158
1351,790
1351,1603
1351,988
1351,1594
242,1521
242,639
242,1158
242,1645
242,1727
242,971
242,1650
242,1244
242,1046
242,1191
460,11
460,163
460,164
460,235
460,237
460,248
460,363
460,409
460,415
460,442
460,456
460,1247
460,450
460,1685
460,716
460,1412
460,515
460,747
460,1293
460,568
460,256
460,1720
460,1158
460,1089
460,478
460,619
460,722
460,812
460,855
460,875
460,944
460,1008
460,1101
460,1127
460,1135
460,1259
460,1346
460,1348
460,1408
460,1686
639,53
639,209
639,482
639,522
639,1243
639,666
639,693
639,855
639,891
639,917
639,1104
639,1108
639,1158
639,1191
639,1203
639,1244
639,1247
639,1304
639,1496
639,1570
639,1588
639,1589
639,1594
639,1612
639,1632
639,1637
639,1640
1244,971
1244,1212
1244,1650
1244,1645
1244,1521
1244,1622
1244,1569
1244,1605
1244,1570
1244,1655
1244,1614
1244,595
1244,1588
1244,1727
1244,589
1244,1364
1244,1518
1244,1612
1645,971
1645,1284
1645,1521
1645,1609
1645,1632
1645,1650
1645,1158
1645,595
1645,1605
1645,1594
1645,1603
1645,1570
151,1637
151,10
151,891
151,1719
151,1638
151,1655
151,1605
151,1245
151,1749
151,266
151,1594
151,1266
151,1649
151,1386
151,1607
151,1569
151,1211
151,1622
151,595
1570,53
1570,62
1570,741
1570,978
1570,1589
1570,1684
1570,1158
1570,1588
1570,1609
1570,1612
1521,1212
1521,1284
1521,1727
1521,1650
1580,40
1580,53
1580,156
1580,741
1580,1259
1580,1260
1580,1304
1580,1319
1580,1603
1580,1588
1580,903
