Source,Target
344,52
344,156
344,225
344,1065
344,947
344,1704
344,743
344,1570
344,1602
344,481
344,460
344,1671
344,1603
344,1588
344,544
1602,52
1602,156
1602,225
1602,481
1602,544
1602,595
1602,643
1602,743
1602,862
1602,872
1602,947
1602,1065
1602,1293
1602,1351
1602,1580
1602,1704
1602,1607
1602,1603
1602,981
1602,1637
1351,981
1351,639
1351,225
1351,1065
1351,1570
1351,1603
333,1203
333,1104
333,347
333,1559
333,1373
333,1581
333,1614
333,639
333,1065
1704,225
1704,347
1704,415
1704,544
1704,862
1704,1581
1704,1588
242,1352
242,1521
242,1158
242,930
242,1645
242,936
242,715
242,243
242,1191
460,164
460,415
460,451
460,643
460,1685
460,1089
460,1127
460,1408
639,209
639,451
639,1250
639,1243
639,649
639,693
639,917
639,1191
639,1203
639,1247
639,1632
639,1637
639,1653
1244,715
1244,930
1244,936
1244,1021
1244,1653
1244,1645
1244,1352
1244,1569
1244,1605
1244,1570
1244,595
1244,1588
1645,206
1645,506
1645,930
1645,936
1645,1352
1645,1521
1645,715
1645,1653
1645,1652
1645,1605
1645,1594
1645,1570
743,52
743,156
743,225
743,1065
743,947
743,1570
743,1580
743,862
743,481
743,1104
936,151
936,206
936,506
936,930
936,715
936,1521
936,1352
936,1650
936,1653
936,1570
981,225
981,481
981,1580
981,1589
151,1637
151,1232
151,1638
151,1626
151,1605
151,228
151,1594
151,1607
151,122
151,1211
151,595
151,1065
1570,225
1570,947
1570,1588
1521,506
1521,715
1521,930
1521,1352
1521,1650
1580,52
1580,1588
1580,1158
1580,237
1580,1614
1580,1653
791,362
791,592
791,758
791,1313
791,588
791,238
791,1024
791,816
791,243
791,1015
791,551
791,818
791,1021
1021,362
1021,1516
1021,592
1021,238
1021,758
1021,1024
1021,1015
1588,1065
1588,1589
1588,1158
1588,947
1191,595
1191,668
1191,1104
1191,1108
1191,1569
1191,1211
1191,1243
1191,1158
1191,1352
1650,206
1650,930
1650,1352
1104,209
1104,243
1104,668
1104,1108
1104,1569
1104,1211
1352,506
1352,715
1352,206
1352,1653
1352,930
1653,237
1653,930
1653,715
1158,668
1158,1203
1158,1373
1158,1589
1158,1614
1158,1637
1158,1638
506,715
506,930
816,238
816,362
816,551
816,649
816,758
816,1516
816,630
816,818
816,1313
1605,1559
1605,122
1605,1652
1605,1626
1605,228
1605,1637
1605,1250
1605,1730
1386,314
1386,1082
1386,1321
1386,1250
1386,1430
362,1516
362,1015
362,592
362,588
362,1024
362,1313
362,758
362,818
362,630
715,206
715,1065
930,206
1614,347
1614,1094
1614,1373
1614,1559
1614,1581
1614,595
1614,1730
1614,1203
1108,1243
1108,1211
481,52
481,206
481,314
481,668
481,1094
481,1239
481,1491
481,1671
1652,1626
1652,1632
1652,1637
1652,1638
1652,1250
1652,1594
1652,228
156,1607
156,1603
1203,1094
1203,649
1203,1559
1313,238
1313,551
1313,592
1313,758
1313,1024
1313,1516
1607,225
1607,1603
235,164
235,693
235,643
235,1408
235,1089
235,456
235,258
235,747
592,588
592,630
592,1516
592,1024
592,551
592,758
592,1015
1589,1671
347,1581
347,1094
551,238
551,758
551,630
551,818
551,588
551,649
551,1015
862,544
862,872
1546,917
1546,563
1546,1127
1546,1261
1546,306
52,1065
52,1603
52,947
52,258
52,544
225,947
225,1603
225,1065
1089,164
1089,237
1089,258
1089,409
1089,643
1089,693
1089,1408
1516,238
1516,1024
1516,630
1559,1094
1559,1373
1603,872
1603,947
451,1261
451,563
451,238
451,306
668,1569
668,1491
668,1211
1581,1094
1581,1373
630,238
630,588
630,758
630,1024
1247,643
1247,1408
1247,1512
1094,1373
1243,595
1243,1211
1243,1250
1243,649
1243,243
1243,1569
872,747
643,415
643,1293
643,409
643,693
643,1408
1065,97
164,1685
164,258
672,1127
672,917
238,243
238,563
238,588
238,758
238,1512
1637,1626
1637,1632
1637,1638
1637,1594
1637,1232
747,1408
1408,237
1408,415
1408,1293
1408,409
1408,1127
258,1685
1211,1569
1211,595
1211,1491
1626,122
1293,237
1293,456
1293,409
588,1024
1632,1594
1632,122
1632,1232
228,1232
228,1594
243,649
243,1250
1594,1250
1594,1638
409,306
409,415
1250,209
209,1730
209,1430
209,314
595,1569
1569,1491
314,1430
314,1730
314,1183
314,1321
563,306
563,1127
563,1261
563,1512
1261,306
1261,415
1102,393
1102,1579
1102,1474
9,1082
9,1730
9,1430
9,1321
122,1638
1512,306
1579,381
1579,393
1579,585
1579,1474
1430,1082
1430,1321
1430,1730
1082,1730
1730,1321
1183,1321
321,358
1474,585
393,585
