Source,Target
592,154
592,183
592,286
592,510
592,821
592,1025
592,269
592,593
592,1015
1015,286
1015,510
1015,593
1015,597
1015,992
1015,802
1015,1045
1015,596
310,147
310,995
183,1025
183,1045
183,510
1035,645
1035,654
1035,825
1035,974
593,617
634,510
634,1027
634,584
634,960
634,992
269,547
269,621
303,79
303,397
510,597
510,802
597,802
597,247
597,1045
597,992
279,1069
279,1003
825,972
825,1034
825,793
79,16
79,390
79,877
308,814
308,764
308,408
995,491
654,660
654,1034
1034,1055
1045,286
621,804
918,182
918,1003
385,596
468,85
468,877
821,960
821,1025
182,181
877,85
85,912
