Source,Target
344,964
344,1570
344,481
344,639
344,460
344,1158
344,383
344,1727
344,598
1602,52
1602,151
1602,347
1602,372
1602,415
1602,481
1602,639
1602,643
1602,806
1602,1354
1602,1368
1602,1542
1602,1614
1602,1645
1351,517
333,83
333,151
333,1202
333,639
333,884
333,895
333,334
333,335
333,1386
1704,203
1704,415
242,31
242,203
242,1158
242,811
460,24
460,163
460,164
460,451
460,453
460,456
460,1158
460,773
460,875
460,1546
639,53
639,63
639,209
639,243
639,321
639,640
639,641
639,693
639,855
639,917
639,946
639,981
639,1108
639,1247
639,1273
639,1546
639,1588
639,1632
1244,1021
1244,1202
1244,1570
1244,589
1244,1504
936,707
936,987
981,99
981,201
981,439
981,481
151,891
151,840
151,405
151,469
151,698
151,1470
151,1202
151,1386
151,122
151,1211
151,1622
1570,105
1570,149
1570,1004
1570,583
791,510
791,1542
791,1378
791,243
1021,238
1021,698
1021,1031
1588,1617
1588,1730
1191,141
1191,668
1191,1202
1650,1612
1104,209
1104,243
1104,510
1104,1460
1104,1386
1158,9
1158,181
1158,408
1158,891
1158,1088
1158,1102
1158,1178
1158,1315
1158,1386
816,481
816,653
816,965
816,243
1386,920
1386,1396
1386,1395
1386,1394
1386,1012
1386,1202
362,657
362,1426
481,52
481,314
481,412
481,443
481,974
481,570
481,806
481,1208
481,1625
1652,510
1652,1612
1652,1632
156,304
1203,136
1313,238
1313,939
1612,482
1612,741
1612,1559
1612,60
1612,1542
1612,1579
235,236
1067,258
1067,1186
551,238
1546,1357
1546,1256
1546,1459
1546,463
1546,811
225,948
225,1089
1089,11
1089,17
1089,312
1089,985
1089,1129
1603,1020
1603,1294
451,238
451,79
668,825
1247,478
203,1542
643,417
643,1512
1065,17
1065,601
1169,741
1703,657
1727,510
164,1380
672,570
672,855
672,911
672,1012
672,1256
672,589
672,1738
672,425
1157,209
1202,747
1202,1020
238,243
238,61
238,1032
238,1512
747,667
258,485
693,1280
1271,836
1271,684
1293,658
1640,482
1640,814
588,547
1632,1586
1632,236
228,826
243,1250
1594,273
1159,563
1159,1413
1250,209
209,314
209,1180
649,1567
948,502
314,920
1622,1564
415,476
1186,970
1214,1216
1232,215
533,520
593,716
609,1256
891,867
891,832
1102,508
1102,834
9,1081
9,438
303,1739
438,482
456,457
163,416
510,597
510,802
1579,381
1256,1199
825,972
1412,843
79,1442
918,801
408,1474
691,405
691,966
1474,1300
99,71
381,863
381,452
920,292
180,1406
24,1118
372,375
443,1303
1442,780
520,299
863,1110
939,1344
502,1059
1033,611
