Source,Target
333,83
333,1104
333,1614
333,1640
333,1311
333,772
333,335
333,1386
460,163
460,164
460,235
460,237
460,451
460,643
460,1685
460,1412
460,256
460,1158
460,1089
460,1132
460,1254
460,1546
1021,1516
1021,247
1021,1542
1021,1031
1021,1675
1021,1441
1021,969
1104,209
1104,1036
1104,1108
1104,1113
1104,1386
1158,9
1158,209
1158,366
1158,481
1158,522
1158,891
1158,1386
1158,1589
1158,1614
1158,1632
1158,1640
1386,91
1386,209
1386,314
1386,1082
1386,1180
1614,1652
1614,8
1614,1640
1108,655
1108,615
481,314
481,378
481,524
481,1652
1652,891
1652,1632
1652,228
1652,271
235,164
235,1685
235,643
235,1621
235,1089
235,237
235,258
235,1412
235,1056
235,264
1589,1413
1589,1466
1546,1357
1546,1123
1089,164
1089,237
1089,258
1089,643
1089,1040
1089,1129
1089,1254
1516,957
451,59
451,1254
451,1627
643,163
643,1039
164,4
164,1685
164,258
164,1056
164,1412
378,777
258,498
258,1056
258,1685
1542,194
1640,1018
1632,1586
228,98
228,891
745,25
209,314
209,276
209,1180
314,316
314,396
1685,1412
1685,790
1685,74
1685,642
237,1309
237,1056
891,867
891,135
891,829
9,1082
9,503
163,256
163,1118
1579,381
1579,585
1579,287
790,1411
790,1412
1412,843
1082,255
256,680
256,843
256,1040
1056,1358
1040,1039
1040,1132
1040,1130
1466,440
1113,325
321,1209
522,656
1254,554
1621,82
141,137
257,332
257,255
890,360
381,863
381,628
396,65
396,332
396,255
585,26
663,664
1180,216
721,620
561,1666
829,118
628,26
939,1362
1129,1132
1129,1130
1132,1130
1357,1666
1358,1309
867,360
1586,59
