Source,Target
0,1
0,24
0,26
0,14
0,20
0,18
0,21
0,6
0,25
0,19
0,7
0,2
0,49
0,13
0,29
1,13
1,21
1,23
1,96
1,9
1,26
1,3
1,14
1,27
1,29
1,19
1,2
1,6
2,3
2,29
2,96
2,18
2,31
2,19
2,27
2,20
2,137
2,7
2,13
2,14
2,15
2,21
2,6
2,26
2,8
2,49
2,9
3,6
3,13
3,49
3,96
3,21
3,22
3,7
3,9
3,14
3,29
3,19
3,27
3,15
4,5
4,30
5,30
5,21
5,12
5,40
5,10
5,36
6,7
6,16
6,14
6,25
6,28
6,15
6,18
6,29
6,19
6,21
6,23
6,8
6,27
6,22
6,9
6,49
6,20
7,23
7,87
7,29
7,88
7,28
7,9
7,21
7,20
7,19
7,27
7,15
7,14
7,22
7,24
7,137
7,49
8,9
8,27
8,19
9,14
9,29
9,19
9,18
9,21
9,23
9,20
9,11
9,49
9,31
9,25
10,11
10,29
10,12
10,30
10,26
10,13
11,15
11,239
11,21
11,220
11,12
11,49
11,29
11,88
11,28
11,20
12,13
12,30
12,36
13,49
13,96
13,21
13,242
13,30
13,88
13,15
13,29
13,27
14,15
14,19
14,27
14,28
14,17
14,20
14,29
14,16
14,49
14,23
14,88
14,21
14,137
14,96
15,20
15,30
15,19
15,28
16,17
16,22
16,24
16,23
16,28
17,71
18,19
18,27
18,26
18,29
18,25
18,24
19,31
19,23
19,88
19,27
19,49
19,20
19,25
19,29
19,26
19,28
20,21
20,31
20,49
20,317
20,27
20,29
20,25
20,137
21,22
21,40
21,27
22,23
22,27
22,28
22,49
23,49
23,27
23,28
23,26
23,29
24,77
24,137
25,26
25,242
25,49
25,29
26,27
26,29
26,242
27,28
27,29
28,88
29,30
29,49
29,88
29,71
29,96
30,36
30,49
31,116
31,182
33,34
33,44
44,45
44,77
44,174
44,117
44,216
45,128
45,79
45,81
45,118
45,117
45,78
49,96
49,71
71,87
71,137
75,76
75,95
76,95
77,137
78,79
78,117
78,118
78,128
79,128
79,118
79,82
79,81
79,117
81,82
81,85
81,174
82,85
82,128
82,118
85,128
85,118
87,137
88,137
110,111
110,155
110,220
110,234
111,234
111,155
111,220
116,182
117,118
117,128
118,128
155,220
155,234
155,238
174,324
191,239
215,216
215,236
215,243
216,243
216,236
220,234
236,243
238,239
249,250
