Source,Target
2,68
2,146
2,62
3,144
5,344
6,62
7,177
9,11
10,370
11,305
24,375
32,285
33,34
33,204
33,44
33,62
44,45
44,77
44,174
44,216
50,155
50,111
50,226
50,62
71,266
75,266
75,383
77,120
78,369
79,204
79,316
83,174
83,164
88,366
122,367
135,389
141,211
144,403
147,375
150,204
150,211
154,256
174,284
203,378
204,301
204,250
205,403
215,263
215,385
227,363
250,315
260,368
269,367
284,382
308,353
315,318
316,363
343,366
353,366
357,366
366,368
368,403
369,403
375,403
378,403
382,403
383,403
385,403
392,403
401,403
