Source,Target
1200,1574
1180,1001
1180,1483
1549,1412
1549,1113
1549,1228
1549,1427
1549,1035
1549,1740
1549,1010
1549,1425
1549,428
1549,1801
1549,475
1549,1763
1549,1624
1549,1294
1549,641
1549,962
1549,1778
1549,1671
1549,366
1549,1565
1549,1695
1549,1766
1549,1574
1549,171
1549,1773
1549,1625
1549,915
1549,1387
1549,1311
1549,1318
1549,1013
1549,1297
1549,1210
1549,1525
1549,1142
1549,1408
1549,1332
1549,930
1412,1010
1412,1035
1412,1228
1412,1429
1374,1574
1374,1237
1374,376
1374,1001
1374,1512
1374,1400
1374,428
1374,1320
1374,1487
1374,1790
1374,538
1374,475
1374,580
1374,1767
1374,1673
1374,1313
1374,353
1374,1645
1374,363
1374,1616
1374,651
1374,976
1374,1694
1374,517
1374,1300
1374,1358
1374,1692
1374,1179
1374,930
1374,606
1374,641
1374,1122
1374,366
1374,1349
1374,1142
1374,936
1374,484
1425,475
1425,363
1425,1574
1425,1773
1425,1545
1425,1801
1425,428
1425,1343
1425,930
1425,1625
1425,1778
1425,962
1425,1671
1425,1210
1425,1320
1425,641
1425,1358
1425,1294
1425,915
1425,353
475,348
475,1767
475,606
475,363
475,1882
475,1300
475,517
475,563
475,1155
475,1427
475,1545
475,1179
475,353
475,1313
475,1358
475,641
475,566
475,1692
475,1332
475,428
475,930
475,1645
475,414
475,484
475,1122
475,1514
475,1435
475,366
475,376
475,1320
475,1237
475,651
475,1673
475,580
366,930
366,1001
366,428
366,1514
366,1673
366,976
366,517
366,1694
366,348
366,1408
366,1349
366,1631
366,606
366,1179
366,1155
366,538
366,1490
366,1658
366,1313
366,1320
366,1790
366,1692
366,1080
366,1740
366,1512
366,1645
366,1122
366,1878
366,1801
366,1300
366,363
366,1358
366,1427
366,566
366,353
366,1616
366,1767
366,1397
366,1142
366,1882
366,484
366,1400
366,526
366,580
366,651
366,1237
366,376
366,1113
366,1574
366,936
930,1514
930,1695
930,1801
930,1671
930,1122
930,1763
930,1660
930,1679
930,1155
930,1870
930,1766
930,1349
930,1694
930,1318
930,962
930,1142
930,641
930,1882
930,915
930,1565
930,1358
930,1645
930,428
930,1408
930,1294
930,1574
930,1427
930,976
930,1616
930,580
930,1625
930,353
930,1878
930,1332
930,1113
930,1210
930,1400
930,1881
930,1080
930,1773
1801,1695
1801,1427
1801,1625
1801,1773
1801,915
1801,1766
1801,1122
1801,1660
1801,1565
1801,976
1801,1645
1801,1332
1801,1294
1801,1514
1801,1080
1695,1766
1695,1660
1695,1625
1695,1320
1695,1332
1695,1870
1695,1358
1695,1080
1695,1881
1695,1427
1695,1574
1695,1565
1695,1773
1695,1882
1695,1763
1695,1142
1695,1606
1695,538
1695,1318
1695,1113
1718,1702
1718,1465
1718,1577
1718,951
1718,1697
1718,1540
1085,1136
1085,1360
1085,1553
1085,1825
1085,1187
1085,1307
1085,1567
1085,1866
1085,1687
1085,1555
1085,1847
1085,1511
1085,1588
1085,1537
1085,1098
1085,1274
1085,1593
1085,1806
908,1537
908,1567
908,1433
908,1077
908,1698
908,1274
908,1588
908,1033
908,1866
908,1465
908,1511
908,1136
908,1687
908,1555
908,1806
908,1593
908,1325
908,1825
908,1307
908,1615
908,1360
908,1187
1537,1567
1537,1806
1740,1122
1740,1113
1740,1574
1740,1512
1740,363
1740,1318
1740,1358
1740,936
1740,1179
1740,1673
1740,1349
1740,1565
1740,1694
1740,1766
1740,484
1740,566
1740,1606
1740,1320
1740,1778
1740,353
1740,1677
1740,1514
1740,1408
1740,526
1740,1616
1740,1300
1740,1882
1740,580
1740,1645
1740,428
1740,1744
1740,1210
1740,1001
1122,1878
1122,1427
1122,1574
1122,1113
1122,1408
1122,538
1122,1358
1122,1349
1122,976
1122,1318
1122,641
1122,1677
1122,1790
1122,1400
1122,601
1122,1744
1122,1673
1122,651
1122,353
1122,1313
1122,1179
1122,1514
1122,1679
1122,1543
1122,363
1122,1692
1122,1155
1122,484
1122,606
1122,1882
1122,1645
1122,936
1122,1616
1122,1237
1122,1080
1122,1320
1122,580
1483,1074
1483,1465
1569,994
1569,1093
1569,1699
1569,1364
1569,1818
1569,1444
1569,1473
1569,1646
1569,1525
1569,1258
1569,1807
1569,1183
1569,1540
1569,1435
1569,1658
1569,1217
1569,1343
1569,1738
641,1625
641,629
641,1778
641,353
641,1763
641,414
641,962
641,1606
641,1400
641,1767
641,428
641,1565
641,1313
641,1881
641,651
641,1436
641,1300
641,1358
641,1882
641,1616
641,1766
641,1210
641,915
641,580
641,1113
641,1320
641,1179
641,1237
641,1318
641,1744
641,606
641,1114
641,1475
641,1574
641,1671
641,1332
