Source,Target
953,1323
953,1605
953,1804
953,1707
953,1559
953,1156
953,1622
953,1059
953,1520
953,1898
1323,1520
1323,1559
1323,1156
1789,1707
1789,1622
1789,1156
1789,1559
1789,1175
1789,1059
1789,1804
1707,1059
1707,1156
1707,1622
1707,1605
1707,1175
1707,1449
1707,1520
1707,1804
1175,1059
1175,1622
1175,1559
1175,1156
1175,1804
1175,1846
1175,1329
1059,1804
1059,1559
1059,1520
1059,1622
1059,1329
1329,1559
1329,1804
1559,1622
1559,1520
1559,1804
1559,1898
1804,1898
1804,1622
1804,1449
1804,1156
1804,1605
1804,1520
1898,1605
1898,1156
1622,1520
1622,1156
1622,1605
1520,1846
1520,1156
1200,1202
1449,1836
1449,1156
1836,1718
1156,1605
1549,1412
1549,1425
1549,475
1549,366
1638,942
1638,1786
1638,483
942,1786
942,483
1448,1786
1448,1044
1448,1472
1448,1279
1448,1235
1786,1279
1786,1235
1786,483
1044,1235
1044,1279
1044,1100
1235,1100
1100,1279
1366,1472
1366,1355
1366,1236
1366,944
1472,944
1472,1236
1472,1355
1374,483
1374,475
1374,366
483,366
483,1425
483,475
1355,1236
1425,475
475,366
1337,1360
1337,908
1337,1537
1337,1518
1718,1846
1097,958
1085,1518
1085,1360
1085,1317
1085,1537
1518,908
1518,1537
908,1537
908,1360
