Source,Target
0,8
0,100
0,67
0,95
0,141
0,19
0,7
0,169
0,16
0,150
0,10
0,53
0,11
0,66
0,148
0,117
0,93
0,9
0,86
4,20
4,155
4,67
4,10
4,66
4,128
4,7
4,16
4,97
4,8
4,134
4,111
4,148
4,103
4,55
4,150
4,104
4,6
4,49
6,7
6,95
6,67
6,19
6,134
6,8
6,128
6,150
6,46
6,169
6,103
6,54
6,53
6,155
6,111
6,141
6,66
6,49
6,97
6,104
6,88
7,18
7,10
7,169
7,11
7,46
7,148
7,8
7,9
7,111
7,150
7,67
7,66
7,95
7,155
7,19
7,128
7,93
7,168
7,54
7,97
7,100
7,55
7,104
7,28
7,48
7,141
7,49
7,53
8,9
8,88
8,46
8,67
8,55
8,56
8,10
8,168
8,86
8,97
8,148
8,53
8,160
8,100
8,111
8,155
8,93
8,18
8,20
8,14
8,48
8,16
8,19
8,49
8,141
8,95
8,150
8,11
8,169
9,86
9,55
9,117
9,93
9,155
9,19
9,150
9,169
9,16
9,53
9,100
9,148
9,168
10,11
10,141
10,54
10,66
10,150
10,100
10,97
10,28
10,111
10,53
10,128
10,103
10,104
10,142
10,155
10,16
10,160
10,55
10,46
10,134
10,67
10,56
10,148
10,76
10,74
10,18
10,49
10,95
11,150
11,104
11,19
11,97
11,20
11,141
11,128
11,49
11,48
11,111
11,148
11,155
11,95
11,16
11,103
11,134
11,46
11,67
14,93
14,155
14,55
14,169
14,111
14,97
14,16
14,86
14,48
14,141
14,53
14,100
14,150
14,168
16,74
16,142
16,148
16,117
16,169
16,55
16,104
16,66
16,86
16,48
16,111
16,93
16,53
16,19
16,150
16,97
16,155
18,141
18,103
18,46
18,142
18,95
18,155
18,48
18,53
18,150
18,67
18,28
18,49
18,128
18,111
18,97
18,56
18,148
18,74
19,20
19,55
19,104
19,148
19,150
19,169
19,95
19,53
19,155
19,117
19,54
20,117
20,148
20,169
20,49
20,150
28,141
28,148
28,155
28,66
28,46
28,53
46,128
46,155
46,111
46,134
46,141
46,142
46,169
46,97
46,168
46,150
46,48
46,88
46,104
46,55
46,95
46,49
46,67
46,53
48,49
48,168
48,66
48,155
48,93
48,53
48,141
48,142
48,148
48,95
48,97
48,74
48,67
48,128
48,150
48,111
49,155
49,117
49,104
49,67
49,150
49,111
49,95
49,97
49,128
49,148
49,53
49,141
49,66
49,160
49,74
49,134
49,103
49,54
49,168
53,54
53,95
53,111
53,150
53,66
53,74
53,93
53,97
53,168
53,148
53,67
53,141
53,169
53,155
53,55
53,100
53,56
53,86
53,104
53,142
54,103
54,150
54,111
54,74
54,76
54,67
54,104
54,142
54,93
54,155
55,56
55,117
55,168
55,155
55,67
55,66
55,100
55,169
55,141
55,150
55,86
55,93
55,97
56,141
56,104
56,95
56,97
56,74
56,86
56,160
56,111
56,128
66,67
66,93
66,142
66,128
66,148
66,104
66,168
66,169
66,141
66,111
66,97
66,150
67,104
67,88
67,150
67,134
67,100
67,141
67,95
67,169
67,117
67,128
67,103
67,142
67,155
67,93
67,168
67,111
67,97
74,128
74,111
74,104
74,168
74,95
74,76
74,97
74,86
74,117
76,168
76,111
76,97
76,104
76,141
76,160
76,95
76,103
86,97
86,169
86,168
86,128
86,117
86,111
86,93
86,155
86,100
86,141
88,97
88,104
88,95
88,168
91,163
93,169
93,150
93,148
93,104
93,100
93,141
93,155
93,168
93,97
95,141
95,111
95,117
95,97
95,169
95,155
95,104
95,128
95,110
95,100
95,134
95,150
97,128
97,155
97,168
97,103
97,150
97,111
97,104
97,142
97,141
97,100
98,99
98,128
98,110
99,110
100,155
100,141
100,169
103,104
103,134
103,155
103,128
103,111
104,155
104,160
104,128
104,142
104,150
104,111
111,128
111,155
111,142
111,160
111,168
111,141
111,134
111,150
117,169
117,141
117,128
117,150
128,148
128,134
128,168
128,141
128,142
128,155
128,150
134,150
134,155
141,142
141,155
141,160
141,168
141,150
141,169
142,168
142,150
142,155
148,155
148,150
148,168
150,169
150,155
150,168
155,169
155,168
155,160
