Source,Target
953,1471
953,1487
953,1173
953,1086
953,1214
953,1670
953,1791
953,897
953,1431
953,1117
953,1768
1200,1202
1202,1064
1202,1326
1202,1253
1202,1071
1173,897
1173,1431
1173,998
1173,1768
1173,1214
1173,1117
1173,1791
1173,1487
1173,1171
1173,1126
1173,1527
1173,1900
1549,1703
1549,641
1549,1695
1549,171
1549,1070
1549,1297
1549,1332
1768,1431
1768,1250
1768,1117
1768,1651
1768,1126
1768,1734
1768,897
1768,1791
1768,1900
1768,1471
1768,1835
1768,1086
1768,1909
1768,1860
1768,1399
1768,1214
1791,1276
1791,1117
1791,1214
1791,1835
1791,1399
1791,1431
1791,897
1235,1414
1235,596
1235,1591
1235,1086
1235,917
1235,641
1235,1347
1235,1680
1472,1091
1472,917
1472,1725
1472,1444
1472,1168
1472,1469
1472,1070
1472,1536
1472,1770
1472,1703
483,641
483,1492
483,596
483,1490
483,1086
483,563
483,1794
483,1473
483,1332
483,1487
483,1616
483,1695
483,1694
483,1536
483,1631
483,1122
483,1654
483,1455
483,917
483,1114
483,1680
483,1406
483,1660
1505,996
1505,1317
1505,1552
1505,1477
1505,1684
1505,991
1505,1098
1505,1593
1505,1461
1505,1445
1835,1126
1835,1117
1835,1086
1835,1399
1835,897
1835,1431
1835,1262
1835,1471
1337,1360
1337,1860
1337,1593
1337,1909
1337,1865
1337,1537
1337,1518
1695,1660
1695,1332
1695,1602
1431,1734
1431,1250
1431,1905
1431,1117
1431,1900
1431,1471
1431,1086
1431,1399
1431,1126
1734,1775
1097,1892
1097,1802
1471,1126
1471,1399
1471,1133
1471,1214
1471,1442
1471,1909
1471,1086
1471,1091
1250,1771
1250,1086
1250,1126
1250,1399
1518,1537
1518,1301
1900,1710
1537,998
1537,1498
1537,1856
1537,1220
1537,1346
1122,912
1122,641
1122,1616
641,629
641,1070
641,1616
641,1114
641,1086
641,1332
1444,1540
1444,1703
1444,1536
1444,1713
1444,917
1360,1579
1360,1593
1360,1203
1360,1098
1360,1687
1360,1307
1579,1098
1794,987
1794,1487
1794,1725
1703,1134
1703,1725
1703,1304
1703,1469
1703,1640
1703,1840
1703,1473
1703,917
1703,1536
1703,1070
1332,1660
1332,1487
1332,1147
1680,935
1680,596
1680,1591
1680,1347
1680,1086
1399,1126
1399,1117
1399,1086
1399,1473
1399,1239
1126,1562
1126,1117
1126,1086
1126,1909
1086,1022
1086,1091
1086,1214
1086,596
1086,1117
1086,1660
1086,917
1771,1710
1317,1098
1317,991
1317,1838
1473,1064
1473,1762
1473,1487
1473,1304
1473,1536
1473,1070
1473,1455
1473,1654
1064,1443
1064,1694
1064,1094
1064,1372
1760,1070
1760,1693
1070,1536
1070,1213
1070,563
1070,917
1070,1770
1070,1469
1307,1073
1307,1593
1307,1203
1307,1687
1328,1687
1328,1098
1328,1061
1328,1593
1328,1050
1213,1855
1213,1469
1213,1739
1213,1725
991,1177
991,897
991,1034
1117,1263
1117,1214
1540,1909
1540,1711
1114,1487
1114,1263
1114,1248
1114,1616
1114,1808
1487,1853
1487,1660
1487,1536
1687,1593
1687,1445
1687,1061
1687,1023
1687,563
1593,1218
1593,1098
1777,563
563,1808
1347,1755
1347,1591
1098,1031
1469,1889
1469,917
1469,1536
1469,1362
1469,1354
1469,1739
1469,1664
1469,1770
1469,1725
897,1214
897,1058
1492,1194
996,1860
596,1233
596,917
596,1022
1043,955
1043,1030
1043,1889
955,1030
955,1254
1536,1725
1536,1304
1536,917
1536,1770
1536,912
1536,1690
1214,1797
1304,1725
1304,1759
1304,1840
1304,985
1304,1785
1445,1023
1616,1490
1616,1506
1616,1694
1616,1631
1406,945
1406,917
1177,956
1177,1499
1177,1016
1177,1889
1177,979
1177,987
1177,1218
1177,1403
1694,649
1770,1510
1770,917
1134,1474
1134,1725
1134,1640
1591,1176
1591,1263
1889,1499
1889,1546
1889,1218
1889,1016
1889,1562
1889,956
1889,979
1889,1403
1499,1403
1499,1218
1499,1546
1499,1562
1499,956
1499,979
1499,1016
1499,1552
917,1785
917,1739
917,1057
917,1725
1785,1725
1785,1248
1785,937
1660,1354
1660,1430
1394,1240
1240,1203
1240,1693
1240,987
1474,1840
1909,1477
1909,1395
1909,1157
1909,1383
1171,1058
1171,171
1171,1486
1171,1297
1171,1684
956,1403
956,1016
956,979
956,1218
1725,937
1725,1248
1725,1264
1860,1558
1640,1840
1046,1586
1046,1194
1586,1194
1030,1252
1030,1254
1776,1808
1776,910
1776,912
1776,1657
1808,1657
1808,912
1808,910
910,912
910,1657
1091,1890
1050,1905
912,1657
1684,58
1684,171
1058,1552
998,1346
1254,1252
1664,1607
1664,1057
1631,1490
1023,1073
1023,649
1670,1476
1670,1527
1403,1218
1403,1016
1403,979
1654,1762
1654,1455
1562,979
1562,1218
1220,1498
1476,1527
0,171
0,58
171,1297
171,1486
171,904
171,58
1218,979
1218,1016
1840,985
1840,1759
979,1016
1208,1105
1208,1002
1105,1002
1105,1890
937,1264
937,1248
1607,1057
1797,1854
1253,1071
1739,1065
1002,1890
1711,1270
1486,1297
1890,1027
1890,1627
1157,1383
1133,1442
1133,899
899,1442
1627,1027
904,1224
