Source,Target
2694,2863
2694,2787
2951,3285
3082,3203
2754,2761
2754,3105
2754,2812
2754,2863
2872,3090
3115,2856
3115,3124
3394,2890
3087,3427
3327,2898
3327,3280
2863,3235
2863,2831
2863,3258
2863,2992
2863,3006
3296,3304
3005,3010
2738,3168
2777,3304
2787,2723
2787,2734
3101,2979
3214,3016
3090,3326
2729,3363
2729,2887
2729,2874
2729,3025
2729,2713
2729,3279
2729,3089
3085,3348
3085,2946
3033,3117
2919,2997
3046,2679
3117,3173
3117,2748
3117,3274
3117,3107
3173,58
2913,3224
3119,2821
3351,3272
3256,2816
3256,3274
3256,3376
3124,2920
2803,2881
2946,2698
2946,2862
2946,3387
2946,2952
2946,3104
2946,3380
2946,3263
2946,2748
2946,3302
3025,3010
3120,3154
1405,3304
1405,107
3182,3274
2764,3263
3248,990
2843,2812
3263,3057
3263,3308
3263,2760
2821,3413
3385,1726
2910,3345
3049,3078
3116,3306
3116,2791
3291,3177
3291,3275
2783,3028
2734,3121
3345,2685
2782,2669
3094,2765
3068,3415
2892,2995
3176,2834
3076,3279
3242,3274
2759,2836
3363,2933
3363,2806
2669,3274
3326,3279
2937,2995
2806,3309
3309,2889
3309,2699
107,1726
107,171
107,1656
2746,3304
3274,2935
3264,3196
3072,3155
3325,3383
3216,3197
3141,3105
3141,3271
3413,2766
171,2740
3038,3197
3200,2857
3276,3048
2889,3155
2885,58
3251,3105
3271,2788
