Source,Target
0,1
0,305
0,451
0,196
0,68
0,330
0,79
0,545
0,554
0,562
1,193
1,336
1,268
1,51
1,330
1,241
1,207
1,190
1,346
1,305
1,79
1,18
1,135
1,349
1,558
11,280
11,218
11,360
11,336
11,79
11,370
11,201
11,352
11,537
18,346
18,190
18,193
18,207
18,330
18,135
18,241
18,554
18,558
18,568
27,133
27,268
27,190
27,179
27,208
27,236
27,96
27,193
27,186
27,61
27,111
27,242
27,51
27,284
27,346
27,570
27,571
51,190
51,346
51,96
51,370
51,111
51,241
51,236
51,193
51,133
51,242
51,309
51,207
51,275
51,72
51,218
51,61
51,284
51,537
51,563
61,179
61,242
61,268
61,346
61,208
61,96
61,558
68,190
68,91
68,79
68,545
68,573
72,186
72,352
72,236
72,276
72,112
72,268
72,208
72,570
74,240
74,280
74,370
74,218
74,91
74,201
74,360
74,546
74,558
74,571
79,190
79,193
79,135
79,91
79,111
79,196
79,96
79,545
91,201
91,280
91,370
91,268
91,336
91,218
91,240
91,352
91,360
91,330
96,193
96,111
96,241
96,236
96,349
96,135
96,179
96,284
96,242
96,190
96,346
96,208
96,406
96,276
96,281
111,112
111,196
111,236
111,242
111,193
111,179
111,309
111,190
111,560
111,573
112,346
112,309
112,281
112,208
112,370
116,507
116,522
133,346
133,268
133,558
133,570
135,330
135,179
135,190
135,268
135,208
135,558
179,208
179,190
179,236
179,193
179,309
179,346
179,552
180,281
180,268
180,186
180,562
180,571
186,275
186,346
186,193
186,208
186,537
186,545
190,236
190,275
190,281
190,309
190,207
190,242
190,241
190,193
190,346
193,352
193,242
193,370
193,346
193,268
193,309
193,330
193,281
193,207
193,241
193,275
193,360
193,218
196,268
196,218
196,537
196,554
196,568
196,573
201,218
201,360
201,336
201,240
201,370
201,560
201,571
207,208
207,336
207,241
207,346
207,330
207,546
207,557
207,563
208,284
208,336
208,218
208,305
208,268
208,276
208,554
208,563
218,336
218,370
218,352
218,346
218,360
218,240
218,280
218,281
236,309
236,276
236,242
236,275
236,268
236,284
236,346
236,552
240,336
240,370
240,352
240,360
240,557
240,558
241,330
241,336
242,309
242,346
242,570
242,571
268,284
268,280
268,346
268,545
275,276
275,346
275,545
280,360
280,352
280,560
281,346
281,562
284,560
284,563
305,451
305,552
309,346
309,537
309,546
309,560
321,435
330,336
330,537
336,352
336,360
336,554
345,418
345,371
345,366
346,406
346,537
346,552
346,558
349,406
349,545
349,573
352,360
352,370
352,537
360,370
360,537
360,545
360,552
366,396
370,550
387,396
406,557
