Source,Target
2,253
2,244
2,408
2,226
5,12
5,342
5,25
5,187
5,17
5,364
5,76
5,63
5,533
12,107
12,25
12,76
12,17
12,364
12,187
12,496
12,63
12,86
17,364
17,25
17,487
17,86
17,187
17,63
25,364
25,316
25,353
25,450
25,63
25,382
25,86
25,187
25,492
27,168
27,208
27,666
34,344
34,210
34,376
34,439
34,173
37,325
37,228
37,237
37,502
40,41
40,83
40,84
41,219
41,84
41,90
42,507
42,407
42,115
42,158
42,146
42,522
63,73
63,187
63,416
63,175
63,414
63,364
63,498
63,461
63,511
63,174
63,465
63,460
63,475
63,249
63,158
63,413
63,107
73,175
73,174
73,413
73,414
73,416
75,352
75,142
75,292
75,144
75,88
75,79
75,543
76,224
76,86
76,364
76,84
76,516
76,187
76,278
78,387
78,371
78,345
78,158
79,196
79,333
79,129
79,90
79,83
79,710
83,84
83,87
83,313
83,524
84,224
84,238
86,353
86,450
86,187
86,506
86,224
87,313
87,353
87,250
87,238
88,208
88,142
88,292
88,352
88,144
88,541
90,249
90,590
107,515
107,187
112,309
112,208
112,300
112,168
114,429
115,146
115,158
115,407
115,531
115,507
129,249
129,399
142,292
142,352
142,144
142,584
144,292
144,547
146,507
158,269
158,320
158,482
158,488
158,228
158,520
158,528
158,532
158,344
168,742
173,449
173,488
173,228
173,439
174,175
174,413
174,414
174,416
175,414
175,416
175,413
187,364
187,492
187,409
196,249
196,547
196,694
208,737
219,529
224,239
224,238
224,530
226,244
226,358
226,246
228,422
228,443
228,325
228,237
228,378
230,231
230,458
230,504
230,503
230,499
230,457
231,457
231,504
237,494
237,325
238,239
238,250
239,505
244,246
244,501
244,408
245,246
245,253
245,517
246,358
249,333
249,650
253,408
261,262
261,325
269,308
269,320
269,435
269,532
278,279
278,453
278,301
278,516
278,300
279,301
279,453
279,426
279,300
279,497
279,499
292,742
292,788
300,301
300,426
300,453
301,453
301,426
301,497
309,519
309,652
313,526
320,321
320,435
321,488
321,435
333,352
333,555
333,584
342,474
344,482
344,400
345,418
345,371
352,541
352,549
352,555
353,514
364,469
364,526
376,439
381,382
381,409
381,492
382,409
382,492
399,400
399,439
399,452
400,482
408,493
408,517
409,492
413,414
413,416
414,416
426,497
439,482
450,506
453,499
453,497
457,458
457,503
458,503
460,461
465,515
469,526
497,499
498,511
502,519
509,510
