Source,Target
0,1
0,46
0,28
0,73
0,122
0,59
0,125
0,52
0,130
0,109
0,41
0,44
0,45
0,127
0,110
0,202
0,229
0,281
1,41
1,59
1,28
1,110
1,45
1,130
1,46
1,125
1,97
1,126
28,97
28,44
28,126
28,130
28,125
28,59
28,109
28,110
28,41
28,229
28,250
41,73
41,125
41,59
41,44
41,110
41,126
41,109
41,97
41,130
41,52
41,46
41,229
41,250
41,261
44,45
44,73
44,59
44,125
44,126
44,122
44,52
44,109
44,130
44,127
44,110
44,46
44,97
44,204
44,229
44,290
45,52
45,46
45,109
45,130
45,126
45,59
45,110
45,125
45,97
45,122
45,73
45,127
45,204
45,229
46,73
46,109
46,130
46,110
46,126
46,52
46,125
46,122
46,59
46,165
46,229
46,241
46,296
52,110
52,109
52,130
52,73
52,122
52,59
52,126
52,125
52,229
52,281
52,296
52,332
59,130
59,73
59,122
59,126
59,110
59,109
59,127
59,125
59,165
59,229
59,241
73,110
73,125
73,130
73,126
73,109
73,122
73,290
73,296
97,109
97,211
97,229
97,250
109,125
109,122
109,126
109,127
109,110
109,130
109,165
109,211
109,229
109,256
109,332
110,122
110,126
110,125
110,130
110,165
110,229
110,241
110,256
110,332
122,130
122,125
122,126
122,202
122,219
122,229
122,256
122,261
125,127
125,126
125,130
125,229
125,250
126,127
126,130
126,204
126,229
126,241
127,130
127,211
127,261
130,229
130,281
150,165
150,202
150,204
150,211
150,219
226,229
226,241
226,250
226,256
226,261
226,281
226,290
226,296
226,332
