Source,Target
540,1487
540,2616
2044,1023
2044,78
2044,750
1063,2634
1063,7015
1063,7396
1063,7656
1159,300
1159,567
1159,2379
1159,2978
1159,2418
1159,4929
2036,2582
350,49
350,78
350,837
350,1309
350,952
350,1059
350,1365
350,2019
350,2572
350,3863
350,4568
350,5065
350,5833
530,453
530,1643
530,2542
530,713
530,952
530,1059
530,1688
530,1897
530,2200
530,2758
530,3278
530,3321
530,3735
530,3760
530,3889
530,4987
530,5998
530,6079
530,6986
822,93
822,172
822,177
822,241
822,249
822,608
822,649
822,750
822,1219
822,2440
822,2929
822,1252
822,1275
822,2275
822,2695
822,2758
822,3152
822,3321
822,3760
822,3889
822,5686
822,5897
822,6079
822,6663
822,6740
822,7452
837,809
837,750
837,1309
837,1365
837,1219
837,1275
837,1615
837,4446
837,5200
837,5560
837,6663
837,6813
14,1373
14,2078
1373,1518
1373,3011
177,241
177,604
177,7328
1571,2894
1571,3624
2063,2553
2063,6898
21,22
21,27
21,30
21,31
21,4397
21,5344
30,4317
30,7403
31,270
31,2056
31,2803
1309,49
1309,722
1309,1059
1309,1264
1309,1365
1309,2019
1309,3027
1309,3224
1309,4110
1309,5560
1309,5998
1309,6740
1365,705
1365,5560
1365,6740
1365,6813
1365,7452
1365,7639
270,265
2056,2803
35,3066
42,4790
2067,3066
43,46
43,49
43,53
43,6640
46,2078
49,78
49,567
49,750
49,2315
49,5092
53,6510
53,6574
2078,300
2078,480
2078,783
2078,1122
2078,1384
2078,2580
2078,2998
2078,3194
2078,3662
2078,4015
2078,4122
2078,4128
1322,1316
1322,1736
1322,3332
1322,7101
78,77
78,2588
78,5311
78,954
78,1059
78,2248
78,2275
78,2707
78,3027
78,3760
78,3918
78,4568
78,4720
78,5686
78,5833
78,6663
567,644
567,2275
567,3854
567,6839
750,699
750,713
750,809
750,977
750,1015
750,1210
750,1231
750,1275
750,2707
750,3224
750,3760
750,3863
750,4446
750,4720
54,56
54,57
54,4662
54,4967
54,7102
54,7639
249,93
249,649
2161,5235
2162,807
2162,4199
2162,4200
66,67
66,70
66,1214
66,8067
67,923
405,2553
590,582
649,112
649,2717
649,1059
649,1252
649,1688
649,2209
649,2646
649,2695
649,2758
649,4882
649,5200
649,6079
649,6839
649,7017
649,7452
705,608
705,1384
2112,1397
2112,300
2112,1177
2112,1252
2112,2382
2112,3028
2112,4205
2116,1888
2117,7403
77,84
77,85
77,1261
77,4317
84,354
85,2570
300,328
2120,432
2120,2205
354,124
354,172
354,855
354,722
354,1002
354,1252
354,1335
354,3546
354,4249
354,4436
354,4662
354,4802
354,4967
354,5126
354,5560
354,5967
93,723
93,1059
93,1615
93,2695
93,3321
93,3760
93,5065
93,5686
93,6813
93,6986
1150,654
1150,2582
1150,2951
1150,3251
2416,2500
4188,4393
101,2298
112,644
112,645
112,650
112,651
116,1097
157,1778
157,2174
157,2177
157,2721
157,4519
157,5589
645,2691
645,2695
645,2696
273,265
2148,2224
2148,4479
2148,6795
124,2158
127,1879
127,7422
2150,1425
2150,4204
2150,3401
2158,1623
161,1261
161,4002
6712,4894
6712,6735
6712,7109
6712,6784
1520,1518
1520,2922
1520,6627
2153,7081
2154,6494
522,2498
522,4537
963,717
963,2382
963,2768
963,3028
963,3803
145,8067
435,6319
1778,5427
169,2215
169,2892
241,235
654,474
654,1097
654,1098
188,527
188,2205
188,2209
189,2200
189,2202
189,2203
527,3309
2209,1312
2209,2717
2202,2411
2202,2762
2202,6844
2202,7987
783,933
783,2560
783,6267
783,6671
196,199
208,1869
212,2224
212,556
212,6126
212,6156
1869,3043
723,719
1189,7890
2245,1431
2245,3909
2248,4098
2248,4257
2224,5908
2226,6771
2303,259
2303,1889
1729,451
1729,3975
232,1495
232,2882
232,5022
232,7890
1098,1275
1098,1569
1098,3202
1098,2721
2239,6396
2315,3828
2315,5313
1569,1357
1569,2500
2265,1174
2270,1305
2270,2361
2270,2726
2308,417
2308,604
2308,1335
2308,4397
2308,7265
2311,474
2311,3448
2260,6488
2263,1587
2263,4583
1313,556
1313,2978
2271,798
2272,474
2275,2717
642,2840
257,5745
257,5918
257,8067
2294,1097
2294,2500
2294,4292
2294,2720
2294,5471
2294,5945
2294,6249
2298,556
2298,2958
1917,456
1917,2361
1917,2462
1917,3944
1917,3945
1917,4848
2290,5021
265,266
2313,291
2313,2560
2313,2771
2313,4200
1023,481
1023,3405
1023,5313
1601,479
1601,1044
1601,2379
1601,2771
1601,2776
1601,3660
1601,3662
889,893
933,936
933,3111
1612,2514
1612,3670
1612,1623
1612,6768
289,451
5098,3332
310,7330
2344,2462
2352,2616
2352,4583
2352,7083
1344,2473
1344,6319
1344,6488
324,3094
329,333
329,338
333,2570
333,7578
2719,1806
2719,1971
855,1397
855,2427
2382,4751
357,365
365,2387
1395,1393
1395,528
1395,3409
1395,3547
1395,5543
1395,6667
1395,7109
1395,7281
1395,5592
538,2580
538,2582
944,941
944,1623
6933,7440
481,471
481,1018
481,1301
2411,1623
2411,3218
2411,4380
2411,7740
407,3094
407,4317
407,6319
1664,2570
415,798
415,1101
415,1316
415,7591
417,2491
417,2687
486,1305
420,426
420,3073
426,2019
2427,1891
2427,4392
2427,4393
429,2440
429,2442
429,2560
2440,2768
