Source,Target
0,2
0,3
0,4
3,540
3,1009
3,1544
3,2048
5,356
6,235
7,1063
7,1159
9,95
9,350
9,530
9,703
9,751
9,822
9,823
9,837
581,1720
581,2153
2044,78
2044,90
2044,91
2044,356
2044,703
2044,750
2045,382
2045,2103
2046,1274
671,79
671,226
671,351
671,352
671,534
671,751
671,1042
671,1309
671,1821
1159,2379
1159,2418
1572,60
2004,224
2004,2161
2034,163
2034,1274
2034,379
2034,2298
2035,346
2036,2582
2036,2583
2037,2624
95,25
95,87
95,249
95,750
95,752
95,1042
350,49
350,52
350,78
350,176
350,752
350,837
350,1074
350,1309
350,1365
350,2057
530,90
530,752
703,52
703,565
703,351
703,356
703,563
703,564
703,705
703,707
703,1309
703,1365
751,89
751,352
751,353
751,354
751,750
751,1041
751,1042
751,1237
751,837
822,73
822,93
822,249
822,649
822,750
822,1074
822,2070
823,49
823,84
823,1074
837,565
837,88
837,90
837,387
837,707
837,750
837,752
837,1309
837,1365
837,2057
837,2075
237,1910
2038,2132
2041,1770
2041,2321
11,13
11,15
11,1048
14,2049
14,2052
19,2060
20,1910
20,1911
2051,589
2051,1169
2051,3158
2052,2470
177,241
177,694
177,2197
347,339
347,1704
589,306
589,4353
2060,231
2061,4071
90,25
90,52
90,87
90,93
90,351
90,531
90,565
90,752
90,750
90,1042
90,1365
90,2057
90,2075
356,91
356,824
356,2070
531,52
531,73
531,1042
531,2070
1436,157
1436,766
1909,71
1911,789
21,24
21,26
21,27
21,30
21,31
25,534
25,752
25,824
25,1237
26,2081
31,2056
534,93
534,565
534,649
534,752
534,1365
534,2070
752,387
752,565
752,649
752,1656
752,1042
752,2057
824,49
824,52
824,93
824,249
824,351
824,352
824,750
824,1042
824,1365
824,1074
1643,166
1643,239
564,84
564,649
707,84
707,91
707,565
1042,84
1042,565
1042,353
1042,563
1042,1365
1042,2057
1073,1074
1309,49
1309,88
1309,89
1309,825
1309,1365
1365,565
1365,705
1365,825
1365,2075
1765,1767
1765,1770
2053,830
2053,2597
2054,1484
2055,1094
2057,750
2057,825
2058,1165
32,39
36,2404
39,1169
39,2094
39,2097
40,2067
1169,306
1446,569
2094,306
2097,309
2098,2243
2099,2250
2100,2134
2070,352
2070,387
2070,565
2070,649
2070,825
43,49
43,51
43,52
46,1625
46,1720
46,2015
46,2077
47,1902
47,2079
47,2082
49,78
49,176
49,563
49,567
49,750
49,1236
51,91
51,249
51,649
51,750
52,78
52,352
52,825
52,1821
1625,306
1625,2322
1625,2881
1720,4189
2015,527
2075,91
2075,93
2075,750
2078,298
1322,961
1902,2079
2084,130
78,87
78,91
78,565
176,387
563,73
563,93
563,649
750,89
750,1074
825,73
54,61
55,1284
55,1464
55,1697
55,2090
60,180
60,2162
249,93
249,353
249,649
1697,2341
2090,569
696,2223
938,933
66,69
66,72
69,1716
71,2101
71,202
71,2439
72,405
72,656
72,964
72,1409
72,1866
72,1867
72,135
73,351
73,387
73,565
73,649
73,705
73,1074
76,2113
219,216
923,2430
2358,1418
2103,167
2103,2167
2105,2325
405,135
405,964
405,1409
656,135
656,2149
657,226
657,351
657,353
657,565
657,1074
964,135
964,962
964,1866
1409,962
1409,1601
1409,1799
1866,700
351,84
565,93
565,88
565,91
565,1074
1074,91
1074,79
1074,89
1074,353
2109,2414
2112,300
2116,256
2116,1561
77,83
77,163
80,611
80,737
80,2120
82,111
83,163
83,260
84,88
84,226
84,353
84,354
84,1041
159,161
159,163
159,168
284,276
284,281
5310,102
5310,260
300,673
300,670
737,2409
2120,432
2120,2205
