Source,Target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
2,330
2,1274
2,2407
3,1009
3,1356
3,1544
3,2044
3,2045
3,2046
3,2047
3,2048
4,11
5,314
5,356
5,2034
6,235
7,671
7,1063
7,1159
7,1562
7,1572
7,2004
7,2034
7,2035
7,2036
7,2037
9,92
9,95
9,96
9,350
9,751
9,822
9,823
10,237
10,430
10,1164
10,1574
10,2038
10,2039
10,2040
10,2041
10,2042
10,2043
1009,448
1009,779
1009,1012
1009,1014
1356,175
1356,589
1356,2214
1356,3158
1544,2035
2044,1023
2044,78
2044,96
2044,356
2044,706
2044,750
2044,1558
2045,382
2045,2103
2046,694
2046,1274
2046,4573
671,670
671,79
671,226
671,351
671,352
671,534
671,706
671,751
671,1821
1159,300
1159,567
1159,1379
1159,2379
1159,2418
1562,300
1572,60
2004,224
2004,751
2004,2161
2004,2501
2004,4010
2004,2078
2034,163
2034,1274
2034,379
2034,2082
2034,2298
2035,802
2035,445
2035,2177
2035,2901
2036,503
2036,1479
2036,2084
2036,2466
2036,2425
2037,119
2037,802
2037,2156
2037,4044
2037,2078
2037,2518
92,87
92,453
92,652
92,661
92,713
92,749
92,750
92,824
92,853
92,1074
92,1786
92,1916
92,2057
92,2324
92,4446
95,25
95,87
95,421
95,1722
95,2124
95,2125
95,2126
95,2127
95,2128
95,2129
95,2130
95,175
95,215
95,249
95,661
95,750
95,784
95,819
95,1463
95,1617
95,1647
95,1838
95,1897
95,1916
95,2198
95,2209
95,2255
95,2507
95,3224
95,3721
95,3983
95,4864
95,4882
95,5023
95,5998
96,87
96,351
96,352
96,354
96,532
96,534
96,564
96,708
96,826
96,147
96,175
96,503
96,713
96,723
96,945
96,952
96,1617
96,1654
96,1838
96,1916
96,2057
96,2247
96,2283
96,2507
96,3072
96,3224
96,4096
96,4114
96,4446
350,49
350,52
350,147
350,215
350,78
350,176
350,533
350,836
350,1074
350,1126
350,393
350,396
350,532
350,652
350,945
350,952
350,1365
350,1838
350,2057
350,2283
350,3514
350,4096
350,4114
350,4294
350,4497
350,4566
350,4591
350,4606
350,5297
350,5482
751,652
751,749
751,89
751,352
751,354
751,533
751,750
751,753
751,1041
751,853
751,952
751,954
751,1234
751,1801
751,2157
751,2324
751,3072
751,3514
751,4096
751,4399
751,4446
751,4497
751,4591
751,4626
751,5560
822,73
822,109
822,172
822,175
822,177
822,241
822,249
822,396
822,649
822,652
822,750
822,784
822,2440
822,1014
822,1074
822,1275
822,1463
822,1523
822,1632
822,1647
822,2070
822,2133
822,2198
822,2221
822,2247
822,2255
822,2275
822,2421
822,3438
822,3500
822,4399
822,7452
822,8024
823,49
823,84
823,115
823,117
823,124
823,376
823,661
823,713
823,723
823,1074
823,1275
823,1916
823,2157
823,2198
823,2507
237,235
237,1910
237,2469
430,428
1574,766
2038,250
2038,766
2038,2112
2038,2132
2041,1770
2041,2321
2041,2402
2041,2250
2041,2299
11,12
11,13
11,16
11,17
11,19
11,20
11,246
11,633
11,1048
12,444
13,458
16,2509
19,347
19,589
19,1459
19,1557
19,1571
19,2060
19,2061
19,2062
19,2063
19,2064
20,356
20,1909
20,1910
20,1911
20,1912
1373,1366
1373,1799
2050,325
2050,429
2051,589
2051,1169
2051,2102
2051,2612
2051,3158
2051,4060
2052,284
2052,2470
177,170
177,241
177,694
177,1639
177,2192
177,2193
177,2194
177,2195
177,2196
177,2197
2355,84
2355,260
2355,2328
2355,2529
347,339
347,1704
347,2149
347,2436
589,4353
1459,2234
1557,1555
1557,2474
1571,2302
1571,3625
1571,2375
2061,122
2061,153
2061,158
2061,188
2061,4071
2061,4072
2064,2124
356,117
356,205
356,215
356,327
356,658
356,1774
356,2247
356,2377
356,2378
356,2379
356,2380
356,2381
356,2382
356,376
356,824
356,853
356,1664
356,1836
356,2070
356,2249
356,2282
356,2527
356,3514
356,4967
356,5297
1909,71
1909,3958
1910,166
1910,453
1910,482
1910,1138
1910,3931
1910,3933
1911,789
21,22
21,23
21,24
21,25
21,26
21,27
21,28
21,30
21,31
25,534
25,824
25,1643
25,2091
25,2092
25,2093
26,2081
28,564
28,1073
28,1365
28,1656
30,153
30,207
31,270
31,1765
31,1975
31,2053
31,2054
31,2055
31,2056
31,2057
31,2058
31,2803
534,205
534,247
534,407
534,421
534,445
534,393
534,2334
534,2487
534,2550
534,565
534,649
534,661
534,1095
534,1365
534,1406
534,1654
534,1686
534,1916
534,2070
534,2198
534,3500
534,5786
534,7452
534,8024
824,49
824,52
824,172
824,249
824,421
824,453
824,661
824,777
824,351
824,352
824,750
824,1365
824,2482
824,1074
824,1615
824,1664
824,1916
824,2133
824,2237
824,2247
824,2370
824,2474
824,3438
824,3500
824,4882
824,5466
824,7452
1643,163
1643,166
1643,239
1643,2223
1643,3158
2091,1916
2093,1763
564,84
564,172
564,205
564,580
564,649
564,2247
1073,109
1073,336
1073,453
1073,1074
1073,1364
1073,1479
1365,149
1365,393
1365,499
1365,532
1365,945
1365,1024
1365,1364
1365,565
1365,705
1365,825
1365,836
1365,1558
1365,1406
1365,1523
1365,1555
1365,1647
1365,1654
1365,1836
1365,2255
1365,4096
1365,4294
1365,4566
1365,4591
1365,4606
1365,5466
1365,5482
1365,5560
1365,7452
1656,396
1656,453
1656,1615
1656,1654
1656,1801
1656,2221
1656,2370
1656,4566
1656,4626
270,265
270,964
1765,421
1765,1767
1765,1768
1765,1770
1765,1771
1975,538
2053,682
2053,1369
2053,2300
2053,2347
2053,6250
2054,1382
2054,1484
2054,2530
2055,57
2055,168
2055,4063
2056,2448
2056,2803
2057,750
2057,825
2058,1165
33,405
35,459
35,3066
36,54
36,339
36,1729
36,2404
37,312
39,510
39,1169
39,1446
39,2094
39,2095
39,2096
39,2097
39,2098
39,2099
39,2100
39,2143
40,1447
40,2065
40,2066
40,2067
40,2069
40,2070
40,2071
40,2073
40,140
510,124
510,502
1169,78
2094,78
2094,2372
2096,1717
2096,2478
2097,309
2098,2243
2099,2250
2100,892
2100,2134
1447,1024
1447,2245
2066,673
2067,201
2067,1824
2067,2519
2067,3066
2070,352
2070,355
2070,387
2070,565
2070,649
2070,825
46,1029
46,1625
46,1720
46,2015
46,2074
46,2076
46,2077
46,2078
47,1058
47,1322
47,1902
47,2079
47,2080
47,2081
47,2082
47,2083
47,2084
49,78
49,176
49,567
49,750
49,1236
49,2315
51,77
51,172
51,206
51,247
51,249
51,396
51,499
51,649
51,750
51,952
51,992
51,1014
51,1463
51,1686
51,1801
51,2209
51,2255
51,2322
51,2474
51,2507
51,3072
51,4399
51,4967
51,5482
51,8024
52,78
52,352
52,750
52,825
52,1821
52,766
1029,94
1625,964
1625,2322
1625,2881
1720,259
1720,1918
1720,4189
2015,651
2015,487
2015,527
2015,3064
2074,436
2076,78
2076,161
2076,2344
2077,2470
2078,155
2078,298
2078,300
2078,393
2078,401
2078,480
2078,783
2078,1799
2078,2264
2078,2293
2078,2332
2078,4114
2078,4115
