Source,Target
530,1424
530,2515
530,6121
823,920
823,5132
177,2196
177,5116
531,4126
531,4986
25,752
25,2092
752,977
752,1333
752,3721
752,3776
1042,8017
39,1713
2099,1326
2099,2250
1902,3721
1902,3942
2079,961
176,170
176,387
176,493
176,3026
563,649
563,4879
54,63
54,7351
63,1401
1401,2773
71,97
72,4154
72,4554
923,4522
923,3586
405,579
405,5134
387,4110
649,5912
1074,907
1074,533
1074,5251
2109,2440
2109,4136
737,3722
89,977
1389,1929
1389,3192
2134,4165
2134,4169
532,429
532,760
97,102
97,6057
775,7100
645,684
645,2691
125,3148
125,3480
161,4546
161,5134
1520,2539
1520,2922
961,3026
158,5121
215,4276
215,5192
1778,3030
1778,4304
163,309
163,2469
166,5131
166,5430
170,178
694,2759
694,4639
1639,3684
1639,5318
2206,4232
786,2855
786,5640
212,556
2250,1341
1098,3199
1098,3203
2235,4245
1873,3033
2261,713
2261,4262
1313,7191
257,5745
257,8067
259,986
2302,3909
2302,3030
2302,3684
1917,1920
1917,4848
271,2319
276,280
279,2326
279,2327
2327,1358
3158,3736
309,2825
762,754
2367,2767
2367,3014
1395,7754
1494,1427
1494,4958
2388,4407
2388,6926
380,2469
392,1473
1473,4038
398,404
398,407
407,3094
579,1341
415,798
415,1323
1471,1382
1471,2616
420,3073
790,793
790,798
429,2444
2440,4407
2506,6365
446,1404
446,2462
448,618
1516,7135
2462,916
1606,1312
1606,6710
618,830
2479,2539
2479,4441
450,990
450,2471
990,7780
528,1889
528,991
2484,846
480,2922
493,497
497,2511
570,4958
570,7793
2628,4407
2628,4573
952,5047
1929,7492
2609,1258
2609,3312
2616,3922
830,827
623,628
628,4165
628,754
2691,1139
2704,6021
1360,693
1360,1276
1144,1332
977,975
2787,1772
2787,3192
693,991
2767,3232
2759,5121
713,1850
2773,4686
1424,6781
754,760
754,763
2812,6337
2825,4725
796,1726
798,903
798,2874
798,2877
798,3586
903,2995
2874,5213
2907,5000
2895,3722
827,828
1068,1312
890,3081
905,907
916,3007
920,1495
3008,4825
3008,4276
1357,1139
3014,4830
3021,4845
3021,4848
3079,4878
3079,4879
3094,1943
1050,1206
1206,6017
3148,4966
3177,4986
3177,4988
1690,2029
1690,3736
3192,4999
3192,5000
3197,6320
3197,6359
3202,7243
3202,6850
3203,3714
3232,5026
1146,4154
1146,7197
3275,5062
3275,5066
1231,1427
1231,3307
3343,3776
3343,7573
3479,1399
1358,1699
3377,5130
3377,5132
1326,5448
1332,1340
3401,6356
1382,5640
3442,5170
1399,3480
5543,7812
1442,3515
3584,5251
3584,5254
2029,2024
1678,3714
1678,7920
3895,1850
3895,5488
1676,4264
1699,3794
3790,7402
1772,3831
3909,5502
3942,5512
3991,5949
3992,5395
2024,2033
4264,5707
4304,5736
4407,6704
4407,6707
4407,7100
6365,6017
4501,6747
4538,6320
4554,5907
4639,5950
4753,5707
4820,5078
4830,6037
4899,5131
4985,6130
4985,5984
7243,7076
5066,6859
5078,5109
5109,7409
5116,6219
6356,6954
5192,6261
5278,6290
5278,6292
5314,6305
5318,6312
6761,6359
5430,6398
5745,6631
5683,6218
5683,6355
6429,7803
6502,5991
6502,7604
5707,6580
6704,5984
5907,6692
5912,6698
5949,6733
5991,6759
6256,6631
6292,7780
6355,7350
6444,7000
6710,7057
6750,7141
6781,7162
6850,7199
7754,7866
7350,7566
7351,7570
6985,7280
6985,7282
7057,7330
7209,7409
7282,7604
7330,7529
7334,7515
7492,7680
7649,7780
7668,7789
7680,7950
7866,7939
