Source,Target
7835,7156
8251,1177
8381,1358
8563,1652
7316,4386
7316,4733
7316,7313
7313,2679
7313,7150
8724,1888
8725,1888
7210,2720
7210,3450
7210,4882
7210,6185
7210,6699
7210,9197
8823,2054
7185,3499
8850,3361
7156,866
7150,1904
7150,2679
7150,5287
8874,6377
7067,5832
6948,6336
6925,8
6925,5545
6925,5802
9100,4897
9197,2720
9197,3450
9197,4882
9197,6185
6766,5585
9284,5463
6699,3450
6699,4882
6694,494
6694,5281
6672,909
9351,3011
9547,3450
9548,3450
6462,4556
6377,2054
6377,3225
6242,651
6189,3225
6185,3450
6185,4882
6145,2262
6145,4801
6121,3450
9915,4372
6049,4182
6049,4890
5952,5378
10075,4765
5802,5545
5796,2164
5772,3305
5585,3073
4937,866
4927,4882
4890,1982
459,1499
4882,2720
4882,3450
537,2846
626,3570
781,3092
866,1432
1177,1982
1252,3273
1328,2840
1502,1546
1546,3225
3450,2720
1904,1982
