Source,Target
7990,6656
7990,6685
7993,6778
7995,5420
7995,5501
8003,5957
8005,813
8005,4947
8005,5337
8005,5843
8008,819
8008,4461
8008,4833
8008,6933
8013,5386
8018,6412
8018,6814
8021,5345
8021,5440
8021,6243
8021,6827
8021,7013
8024,5352
8029,6857
8030,6391
8032,872
7970,5709
7973,5404
7973,6207
7973,6556
7973,6754
7977,6656
8038,6979
8050,6842
8052,5998
8052,6722
8052,6929
8052,6945
8054,5709
8058,5920
8061,6711
8064,5897
8067,6086
8067,6790
7940,732
7949,6140
7949,7191
7949,7215
8073,6656
8079,6918
8082,5425
8082,6973
7939,732
8083,963
8084,4947
8084,5337
8084,5843
8085,6390
8087,6881
8088,5288
8088,5769
8090,5258
8098,5611
8098,6205
7916,5560
7916,6684
7916,7075
7920,6587
7921,6177
8114,6263
7901,5242
7901,5870
7901,5959
7901,6573
7904,872
8120,5929
8121,5912
8121,6574
8127,4848
7888,6336
7888,6706
7888,6948
7888,7074
7888,7112
7888,7169
8136,5759
8139,5192
8139,5830
8144,1027
8145,6374
8146,4993
7868,6556
7868,6680
7868,6892
8153,6373
7866,5762
7866,6841
8159,5923
7857,6672
7852,6875
8167,5485
7850,5921
7850,5943
7845,6000
7845,6573
7845,6909
7846,6000
7846,6573
7846,6909
7847,624
7847,6228
7847,6628
8176,6763
8184,6210
8184,6305
8186,6030
8191,5640
8191,6955
7824,5381
7824,6851
7819,5288
7819,5671
7819,5769
7819,6859
7819,6864
7821,5546
7821,6840
7821,6892
8202,5432
8203,5890
8206,6728
8206,7087
8206,7115
7814,6268
7801,5178
7801,5607
7801,5628
7801,5680
7801,5806
7801,6592
7796,6380
7796,6723
7796,7077
7796,7095
7796,7099
7796,7127
8227,6856
7793,6751
8228,5722
8231,6786
8231,7264
7788,6485
8232,6202
8232,7233
8234,5628
8234,6805
8234,6807
7785,6656
8236,6656
8236,6769
8236,7062
7772,5906
7772,6769
8249,7325
7770,6596
7770,6797
8253,6916
7768,6725
7764,5325
7764,6963
8257,5111
8257,5352
