Source,Target
42,7069
53,2517
128,8334
136,7209
136,8996
345,3439
486,6361
487,6361
537,6355
537,2225
583,6361
583,3439
680,6725
680,6847
680,7069
680,8449
680,4607
862,7881
862,6162
862,1777
862,1667
932,8595
932,2433
932,2025
1067,6598
1181,6626
1181,3355
1185,9000
1195,8109
1195,2865
1208,8781
1260,6728
1260,4631
1281,1507
1313,5387
1313,8063
1313,7592
1423,3617
1423,2807
1443,8807
1443,1489
1489,8807
1493,3323
1509,3519
1569,2079
1569,1643
1575,1693
1579,3355
1603,6508
1603,3747
1633,7790
1633,5972
1643,4009
1643,2079
1663,5616
1667,7881
1667,6162
1667,1777
1681,6792
1691,7447
1691,2285
1691,4366
1693,2923
1777,7881
1777,6162
1843,7069
1843,8423
1843,7786
1843,5337
1843,5333
1871,7277
1871,6958
1887,8593
1887,2283
1887,1997
1917,7403
2077,7790
2095,6171
2095,7069
2095,7375
2095,7824
2095,5506
2095,2433
2173,2557
2205,6459
2205,6996
2205,6208
2205,3519
2220,7172
2223,4513
2223,2658
2225,6355
2239,7878
2239,7660
2239,2311
2250,6744
2250,5778
2255,7069
2255,8167
2255,8449
2255,4395
2279,7786
2283,8593
2285,7447
2285,4366
2311,6419
2311,7878
2311,7660
2311,7172
2311,2403
2357,8539
2357,8328
2403,7660
2403,7172
2433,8595
2433,5506
2485,6725
2519,8513
2658,4513
2664,3953
2685,7786
2865,8109
2885,6180
3029,8021
3029,7526
3037,6588
3051,6391
3176,5452
3355,6626
3439,8777
3461,6602
3519,6459
3519,6656
3519,6262
3519,6208
3525,7015
3525,8069
3525,7526
3525,6052
3617,7619
3617,6088
3655,5548
3804,7296
3804,6140
3867,4414
4389,7478
4389,7312
4595,6426
4607,6725
4607,6769
4607,8167
4607,7786
4631,6728
4679,6491
4833,6995
4855,7069
4855,7913
4863,6807
4863,6821
5333,8423
5333,5337
5337,7069
5337,8423
5387,8063
5429,8446
5506,6171
5506,7824
5571,6508
5716,7363
5778,6153
5778,6744
5780,7533
6052,8069
6088,7619
6122,7790
6137,7824
6137,7913
6137,6171
6140,7296
6153,8069
6162,7881
6171,7824
6171,7069
6262,6656
6353,8316
6355,7913
6388,6508
6419,8423
6507,8848
6591,7153
6723,8216
6723,7908
6725,6847
6769,8675
6807,6821
6839,8333
6958,7277
6963,8187
7015,8021
7015,7438
7015,8048
7069,7786
7069,7375
7069,8270
7069,8387
7069,7913
7069,8423
7069,7529
7172,7878
7172,7660
7209,8996
7363,8063
7363,7592
7403,8546
7438,8048
7526,8021
7592,8063
7660,7878
7786,8270
8021,8069
8048,8069
8273,8429
8328,8539
8423,8675
8423,8449
8423,8654
8936,8944
