Source,Target
7990,796
7990,6656
8008,4833
8008,6933
8018,1439
8018,3825
7968,773
7976,1448
7976,5122
8039,883
8050,892
8050,3908
8064,1469
8064,3256
7947,6282
7947,7286
7949,2211
8090,971
8090,3545
7920,3831
7920,6587
8113,1000
7904,693
7888,1407
7888,1668
7888,7169
7886,660
7886,1198
7887,660
7887,1012
8144,2367
7872,648
7873,648
7873,2548
8151,1038
8151,4242
8153,2047
8153,6373
7865,639
7866,639
7866,5461
7856,637
8187,1086
8187,3990
7828,5044
7821,2855
7821,4997
7812,4101
8210,1117
8210,1998
7810,5273
7810,6285
7801,3832
7799,549
7789,536
7787,525
7787,4993
8252,1177
8253,6323
8253,6916
7758,488
7748,477
7748,1496
7743,942
7743,2349
7734,5122
7734,6784
7734,6972
8297,1238
8297,3361
8306,1254
7712,4309
7707,3234
8316,1264
8316,1728
8325,1282
8325,4943
8329,1286
8354,1332
8354,1570
8354,5937
7662,3494
7659,356
7659,1144
7659,1254
7660,358
7660,6229
7658,355
7645,348
7645,472
8376,5110
8377,3022
8377,5448
7641,370
7641,6965
7642,2673
7642,6288
7640,347
7640,1286
7632,5652
8394,1379
7617,324
7615,322
8406,1404
8430,3294
8430,3376
8431,1439
8431,1691
7590,295
8432,2499
8432,3514
7586,1228
7586,6099
7586,6849
8441,5824
8446,1469
8446,1712
7575,3692
7575,6784
7557,257
7549,521
8475,1496
8477,5164
8477,6998
7537,3837
8490,1525
7530,2806
7530,3225
7530,4906
7530,7291
7530,7298
8493,6556
8493,7148
8503,1546
8504,1547
7511,189
7507,3638
7480,158
8542,2392
7462,139
7462,189
7457,1783
8565,1655
8565,5652
7451,129
7422,94
7422,6468
7416,362
7416,6363
7414,4815
8608,5652
7412,79
7410,77
8613,1717
7405,307
7405,2380
8619,1730
8619,5384
7400,68
7394,60
7394,2584
7392,60
7383,53
7383,2116
7383,2719
7383,7266
8640,1774
7381,5127
7371,2749
7370,1406
7370,2221
7370,2806
7370,4390
7370,4441
7370,4591
7370,5086
7370,5458
7370,5973
7370,7257
7355,25
7347,17
7347,6035
7343,6640
7343,6933
7339,192
7339,4467
7339,4488
7339,7141
8685,1827
8685,6728
7325,253
7325,1671
7325,2221
7325,2257
7325,4595
7325,5409
7325,6012
7325,6220
7325,6285
7325,6947
7325,7324
7324,6640
8699,1847
7322,106
7322,1904
7322,2457
7316,1444
7316,3514
7316,4532
7316,6745
7316,6969
7314,7089
7306,5410
7306,6545
7298,425
7298,973
7298,1144
7298,1206
7298,1814
7298,2817
7298,3831
7298,4993
7298,4997
7298,5508
7298,6556
7298,6606
7298,6775
7298,6933
7298,7006
7295,207
7295,6745
7291,6663
7287,2288
7287,6225
7286,1144
7286,5050
7286,5633
7282,9162
7281,118
7281,3093
7281,7266
7279,4202
7279,4390
8747,3092
8747,4705
7272,1690
7272,9608
7266,564
7266,2631
7266,4454
7264,10
7264,6487
7263,4698
7263,6745
7261,3695
7261,4612
8761,4899
8762,1959
8762,5673
7257,2102
7257,4141
7245,4047
7245,7243
7243,2536
7241,4250
7241,10454
8783,1998
8783,4278
7237,4047
7237,4871
7233,1141
7231,4488
7231,6539
7231,6999
8791,2010
8791,3070
8798,2015
7218,1783
7218,7037
7217,180
7217,570
7217,2116
7217,4488
7217,6124
7190,6111
7190,10662
7189,139
7189,618
7189,637
7189,2290
7189,6658
8837,2076
8840,2076
8840,2320
7165,5160
7165,6670
7156,1690
7156,3021
7156,4118
7156,5291
7156,5343
7156,6728
7156,6848
7156,7043
8871,2116
8877,2126
7133,1443
7133,7000
8889,2148
8889,4507
7130,1144
7130,3191
7129,998
7129,1427
7129,1469
8896,2165
7124,514
7124,654
7124,2680
8901,2175
7111,2349
7111,10229
7089,5342
7085,5157
8943,2250
7077,5478
7077,7025
7075,2809
8950,2259
7062,605
7062,778
7062,815
7062,1144
7062,1282
7062,1299
7062,1436
7062,3115
7062,3636
7062,5063
7051,1427
7050,1588
7050,3157
7050,3294
7050,5508
7045,1427
7037,3151
7037,6624
7036,9338
8995,2349
8995,2528
7025,6920
7006,1679
7001,1570
7001,6676
7001,10052
7000,2614
6999,1849
9027,2408
9027,5332
6991,1436
6991,3323
6991,5122
6991,6661
6991,6769
9037,3888
9045,4595
9045,4728
6972,326
6972,3502
6972,6606
6972,6912
6969,5875
6963,866
6963,3213
6951,4347
6951,5004
6950,3225
6947,6239
6933,355
6933,899
6933,937
6933,1685
6933,1771
6933,2259
6933,2600
6933,3361
6933,3832
6933,3855
6933,5937
6933,6009
6933,6162
6933,6468
6933,6633
6933,6916
6932,3695
6932,5605
6926,703
6926,5122
6925,436
6925,3112
9097,2536
6923,1951
6923,3937
6920,3598
6916,370
6916,425
6912,5739
6910,825
6910,5570
9117,2572
6892,5190
6892,6556
6885,436
6885,5608
6885,5728
6873,1016
6873,1144
6868,98
6868,4780
6868,5160
9156,2665
6864,1436
6864,5166
6864,5570
6864,5723
9162,2680
6859,5166
6859,5484
6856,4536
6856,6282
6848,866
6848,1660
6848,3865
6843,325
6843,2936
6838,3785
6836,406
6836,1144
9191,2719
9195,2719
6824,180
6824,4732
6822,2396
6822,10011
6814,2516
9215,4906
6802,1167
6802,1394
6801,522
6801,2974
6777,522
6777,528
6776,325
6776,6775
6775,355
6775,1144
6775,6620
6769,384
6769,605
6769,739
6769,1088
6769,1144
6769,5122
6763,5403
9261,2855
9263,2855
9268,2874
9273,2889
9273,3316
6745,267
6745,370
6745,436
6745,1896
6745,2259
6745,2576
6745,4467
6745,4899
6745,5849
6745,6099
6745,6487
6745,6606
9284,2903
9284,4021
6728,512
6728,5652
6728,6187
9297,2918
6720,1071
6720,5050
6720,5751
6706,370
6706,3070
6702,2652
6702,4672
6697,1144
6697,10582
6694,1299
6694,1632
9329,2957
6692,1228
6692,3852
6684,703
6684,3669
9338,2988
9341,2993
6680,6556
6667,4662
6666,1730
6666,10318
6665,1547
6665,2259
6665,6556
9358,3029
6661,3225
6661,3278
6658,1982
6658,5166
6656,436
6656,522
6656,1496
6656,1660
6656,2349
6656,2964
6656,3157
6656,3177
6656,3410
6656,3530
6656,4938
6656,5398
6656,5894
6640,1406
6640,2665
6640,3138
6640,3484
6640,5044
6640,5932
6634,691
