Label,anomalous,neighbor,clustering,degree,closeness,betweenness,community,density,in,out,bi
344,1,92,0.139513,0.071651,0.361844,0.036228,1,1.923077,0.464,0.536,0.264
1602,1,99,0.109874,0.077103,0.381599,0.079307,1,3.9,0.709402,0.290598,0.153846
1351,1,100,0.121616,0.077882,0.345736,0.030467,1,1.173913,0.092593,0.907407,0.074074
333,1,69,0.111253,0.053738,0.33703,0.040002,1,1.610169,0.494737,0.505263,0.273684
1704,1,74,0.140318,0.057632,0.350845,0.028556,1,1.727273,0.578947,0.421053,0.221053
242,1,59,0.246639,0.04595,0.340127,0.012777,1,0.721311,0.465909,0.534091,0.329545
460,1,75,0.099459,0.058411,0.336039,0.054489,1,1.16,0.747126,0.252874,0.137931
639,1,80,0.078481,0.062305,0.400934,0.113672,1,0.488506,0.905882,0.094118,0.058824
1244,1,62,0.192491,0.048287,0.359569,0.034025,1,0.583333,0.404762,0.595238,0.261905
1645,1,58,0.22444,0.045171,0.342815,0.013188,1,2.27027,0.47619,0.52381,0.309524
743,1,60,0.20452,0.046729,0.354703,0.014805,1,1.238095,0.487179,0.512821,0.230769
936,1,56,0.241558,0.043614,0.347454,0.014889,1,0.857143,0.538462,0.461538,0.282051
981,1,58,0.139746,0.045171,0.344222,0.021997,1,0.361111,0.448718,0.551282,0.25641
151,1,74,0.07886,0.057632,0.356613,0.050171,1,1.55102,0.026316,0.973684,0.026316
1570,1,62,0.151772,0.048287,0.354303,0.021956,1,5.846154,0.618421,0.381579,0.184211
1521,1,51,0.307451,0.03972,0.331087,0.008222,1,25,0.52,0.48,0.32
1580,1,51,0.169412,0.03972,0.332136,0.010146,1,23,0.507246,0.492754,0.26087
791,1,59,0.181181,0.04595,0.290427,0.015843,1,0.723404,0.279412,0.720588,0.132353
1021,1,62,0.125331,0.048287,0.297571,0.030105,1,0.790698,0.132353,0.867647,0.088235
1588,1,57,0.159148,0.044393,0.352319,0.017677,1,2.193548,0.588235,0.411765,0.161765
1158,1,59,0.070719,0.04595,0.382178,0.083586,1,3.157895,0.95,0.05,0.016667
362,1,49,0.192177,0.038162,0.277427,0.012232,1,0.470588,0.160714,0.839286,0.125
481,1,49,0.044218,0.038162,0.364148,0.063167,1,0.617284,0.84,0.16,0.02
235,1,39,0.17004,0.030374,0.287968,0.005029,1,1.121951,0.195652,0.804348,0.152174
1546,1,43,0.060908,0.033489,0.325856,0.04123,0,0.375,0.044444,0.955556,0.044444
1089,1,43,0.099668,0.033489,0.299199,0.018614,1,21.5,0.976744,0.023256,0
1603,1,41,0.185366,0.031931,0.313905,0.008521,1,2.263158,0.930233,0.069767,0.046512
1094,1,37,0.285285,0.028816,0.316591,0.007166,1,0.909091,0.15,0.85,0.075
872,1,37,0.22973,0.028816,0.322598,0.004734,1,0.557143,0.076923,0.923077,0.051282
490,1,34,0.092692,0.02648,0.351139,0.010567,1,0.644068,0.842105,0.157895,0.105263
672,1,34,0.023173,0.02648,0.289825,0.031596,0,3.272727,0.055556,0.944444,0.055556
1202,1,36,0.080952,0.028037,0.365736,0.03638,1,0.20904,0.918919,0.081081,0.027027
378,1,30,0.331034,0.023364,0.313124,0.00439,1,1.5,0.194444,0.805556,0.166667
544,1,31,0.245161,0.024143,0.300127,0.002647,1,0.423529,0.138889,0.861111,0.138889
53,1,33,0.304924,0.025701,0.336039,0.003574,1,0.17801,0.058824,0.941176,0.029412
1542,1,32,0.145161,0.024922,0.332575,0.029814,1,0.666667,0.911765,0.088235,0.058824
1632,1,31,0.150538,0.024143,0.329699,0.006809,1,0.372093,0.03125,0.96875,0.03125
745,1,27,0.307692,0.021028,0.303091,0.002453,1,0.382716,0.16129,0.83871,0.129032
209,1,28,0.095238,0.021807,0.325772,0.024098,0,0.100346,0.068966,0.931034,0.034483
1684,1,26,0.350769,0.020249,0.309885,0.001329,1,0.076923,0.928571,0.071429,0.071429
663,1,6,,0.004673,0.263097,0.001914,1,0.064748,0.333333,0.666667,0.333333
561,1,5,,0.003894,0.191701,0.003167,0,0.09589,0.285714,0.714286,0.285714
443,1,5,,0.003894,0.270508,0.002812,0,0.052174,0.166667,0.833333,0.166667
614,1,6,,0.004673,0.260591,0.005362,0,0.6,0.5,0.5,0
1673,1,6,,0.004673,0.239462,0.000539,0,0.166667,0.333333,0.666667,0
489,1,5,,0.003894,0.2534,0.005096,1,0.104167,0.2,0.8,0
581,1,5,,0.003894,0.24825,0.000037,1,0.0625,0,1,0
628,1,5,,0.003894,0.181392,0.003117,0,0.016077,1,0,0
935,1,5,,0.003894,0.246789,0.003873,0,0.01938,0.6,0.4,0
1639,1,5,0.3,0.003894,0.239964,0.000021,1,0.454545,0.8,0.2,0
1362,1,3,,0.002336,0.18383,0.000004,1,0.1875,0,1,0
1630,1,3,0.666667,0.002336,0.256709,0.000006,1,0.142857,0.333333,0.666667,0
392,1,1,,0.000779,0.248987,0,1,0.013699,0,1,0
894,1,1,,0.000779,0.221697,0,1,0.058824,0,1,0
952,1,1,,0.000779,0.191993,0,1,0.076923,1,0,0
1072,1,1,,0.000779,0.20934,0,1,0.026316,0,1,0
1533,1,1,,0.000779,0.215877,0,1,0.016129,0,1,0
1386,1,40,0.037179,0.031153,0.324094,0.050684,0,2.590909,0.473684,0.526316,0.298246
1426,1,11,0.381818,0.008567,0.254271,0.001131,1,0.076389,0.727273,0.272727,0
972,1,6,0.333333,0.004673,0.233636,0.000785,1,0.064516,0.375,0.625,0.25
934,1,2,,0.001558,0.163649,0.001542,1,0.176471,0.333333,0.666667,0.333333
933,1,1,,0.000779,0.140448,0,1,0.028571,0.5,0.5,0.5
1141,1,2,,0.001558,0.195971,0.003081,1,0.023529,1,0,0
19,1,2,,0.001558,0.227634,0.001542,1,0.034483,0.666667,0.333333,0.333333
774,1,2,,0.001558,0.224306,0.001542,0,0.375,0.666667,0.333333,0.333333
20,1,1,,0.000779,0.185101,0,1,0.5,0.5,0.5,0.5
65,1,2,,0.001558,0.184612,0.001542,0,0.046512,0,1,0
207,1,2,,0.001558,0.192699,0.001542,0,0.026316,0,1,0
775,1,1,,0.000779,0.182895,0,0,0.090909,0.5,0.5,0.5
839,1,2,,0.001558,0.184938,0.001542,1,0.043478,1,0,0
1312,1,2,,0.001558,0.224466,0.001542,1,0.071429,1,0,0
168,1,1,,0.000779,0.155844,0,1,0.009901,0,1,0
449,1,1,,0.000779,0.183001,0,1,0.011494,0,1,0
492,1,1,,0.000779,0.155613,0,0,0.008333,1,0,0
1324,1,1,,0.000779,0.184558,0,0,0.01,1,0,0
1434,1,1,,0.000779,0.16132,0,0,0.009804,1,0,0
1191,0,49,0.151361,0.038162,0.332575,0.018567,1,0.426667,0.390625,0.609375,0.234375
1650,0,47,0.319149,0.036604,0.320298,0.004202,1,0.822785,0.476923,0.523077,0.276923
1104,0,47,0.150786,0.036604,0.343189,0.033646,1,1.169811,0.629032,0.370968,0.241935
1352,0,46,0.349758,0.035826,0.327553,0.004646,1,0.759036,0.333333,0.666667,0.269841
1653,0,51,0.247843,0.03972,0.343283,0.012662,1,3,0.349206,0.650794,0.190476
506,0,44,0.339323,0.034268,0.30027,0.00172,1,4.916667,0.288136,0.711864,0.254237
816,0,48,0.14539,0.037383,0.315321,0.030866,1,0.374194,0.586207,0.413793,0.172414
1605,0,51,0.136471,0.03972,0.336129,0.018565,1,0.353659,0.362069,0.637931,0.12069
715,0,43,0.291251,0.033489,0.323427,0.01121,1,2.391304,0.654545,0.345455,0.218182
930,0,38,0.311522,0.029595,0.314376,0.003375,1,2.347826,0.574074,0.425926,0.296296
1614,0,48,0.183511,0.037383,0.340036,0.018037,1,2.304348,0.603774,0.396226,0.09434
1108,0,25,0.2,0.01947,0.30552,0.006594,1,0.704545,0.290323,0.709677,0.193548
1652,0,45,0.167677,0.035047,0.344977,0.018975,1,8.166667,0.408163,0.591837,0.081633
156,0,37,0.256757,0.028816,0.313514,0.003859,1,1.230769,0.333333,0.666667,0.229167
1203,0,40,0.167949,0.031153,0.325435,0.010796,1,0.48,0.583333,0.416667,0.166667
206,0,34,0.411765,0.02648,0.311959,0.003198,1,4.272727,0.489362,0.510638,0.276596
1313,0,39,0.194332,0.030374,0.278471,0.006729,1,0.559524,0.765957,0.234043,0.170213
1607,0,35,0.314286,0.027259,0.321855,0.003375,1,0.271676,0.617021,0.382979,0.255319
1612,0,38,0.102418,0.029595,0.350552,0.039731,1,1.27027,0.340426,0.659574,0.191489
592,0,36,0.303175,0.028037,0.265597,0.003456,1,0.285714,0.521739,0.478261,0.217391
1067,0,32,0.405242,0.024922,0.323344,0.005848,1,2,0.630435,0.369565,0.304348
1485,0,36,0.369841,0.028037,0.296449,0.00437,1,0.278788,0.434783,0.565217,0.217391
1589,0,38,0.241821,0.029595,0.335502,0.006692,1,0.094456,0.5,0.5,0.173913
347,0,39,0.307692,0.030374,0.318999,0.010288,1,3.75,0.266667,0.733333,0.133333
551,0,39,0.183536,0.030374,0.300773,0.011919,1,1.666667,0.688889,0.311111,0.133333
862,0,37,0.244745,0.028816,0.30397,0.003664,1,0.441176,0.288889,0.711111,0.177778
52,0,39,0.282051,0.030374,0.318192,0.004327,1,1.571429,0.522727,0.477273,0.113636
225,0,32,0.354839,0.024922,0.320298,0.003074,1,0.149153,0.409091,0.590909,0.272727
1516,0,31,0.260215,0.024143,0.26935,0.002705,1,1.047619,0.363636,0.636364,0.295455
1671,0,33,0.234848,0.025701,0.320461,0.006946,1,6.285714,0.545455,0.454545,0.25
1559,0,34,0.367201,0.02648,0.303237,0.004336,1,1.075,0.348837,0.651163,0.209302
451,0,32,0.092742,0.024922,0.319891,0.018716,0,0.251497,0.261905,0.738095,0.238095
668,0,32,0.207661,0.024922,0.324344,0.013672,1,0.313433,0.309524,0.690476,0.238095
1212,0,35,0.193277,0.027259,0.307988,0.004972,1,0.247059,0.261905,0.738095,0.166667
1581,0,33,0.393939,0.025701,0.313749,0.004026,1,0.617647,0.357143,0.642857,0.214286
630,0,38,0.263158,0.029595,0.279337,0.003033,1,0.82,0.902439,0.097561,0.073171
1247,0,36,0.163492,0.028037,0.313905,0.010509,1,13.333333,0.7,0.3,0.1
1243,0,31,0.232258,0.024143,0.324847,0.007462,1,1.392857,0.384615,0.615385,0.205128
