Label,anomalous,neighbor,clustering,degree,closeness,betweenness,community,density,in,out,bi
2,1,45,0.384848,0.036855,0.393744,0.002441,1,0.071322,0.104167,0.895833,0.0625
35,1,59,0.453536,0.048321,0.392857,0.001004,1,0.1,0.9,0.1,0.016667
55,1,277,0.139957,0.226863,0.498367,0.034194,1,1.206897,0.751429,0.248571,0.208571
65,1,34,0.238859,0.027846,0.365788,0.001945,1,0.829268,0.970588,0.029412,0
82,1,41,0.373171,0.033579,0.39489,0.003204,1,0.28,0.119048,0.880952,0.02381
88,1,5,,0.004095,0.332698,0.000033,0,0.011364,1,0,0
90,1,41,0.503659,0.033579,0.387127,0.000332,1,0.088235,0.166667,0.833333,0.145833
99,1,133,0.344725,0.108927,0.430384,0.002473,1,0.350674,0.472527,0.527473,0.269231
100,1,32,0.516129,0.026208,0.392352,0.000104,1,0.397849,0.162162,0.837838,0.135135
101,1,62,0.382337,0.050778,0.42993,0.003953,1,0.171429,0.060606,0.939394,0.060606
102,1,65,0.259615,0.053235,0.400459,0.001088,1,0.097345,0.939394,0.060606,0.015152
114,1,30,0.282759,0.02457,0.381086,0.000262,1,0.037288,0.878788,0.121212,0.090909
124,1,29,0.359606,0.023751,0.381921,0.001974,1,0.045886,0.034483,0.965517,0
137,1,30,0.641379,0.02457,0.385417,0.000033,1,0.042272,0.0625,0.9375,0.0625
144,1,130,0.324627,0.10647,0.427971,0.003725,1,1.219178,0.404494,0.595506,0.269663
155,1,351,0.086479,0.287469,0.518692,0.088355,1,0.620746,0.879896,0.120104,0.083551
159,1,28,0.386243,0.022932,0.384809,0.000247,1,0.148515,0.9,0.1,0.066667
170,1,93,0.080879,0.076167,0.445946,0.015833,1,0.17148,0.947368,0.052632,0.021053
180,1,147,0.295965,0.120393,0.45885,0.005039,1,0.231051,0.624339,0.375661,0.222222
181,1,43,0.394241,0.035217,0.392226,0.000235,1,0.067282,0.156863,0.843137,0.156863
208,1,1,,0.000819,0.2556,0,0,0.00129,0,1,0
215,1,1,,0.000819,0.274505,0,0,0.001335,1,0,0
223,1,36,0.280952,0.029484,0.431144,0.00094,1,0.105114,0.027027,0.972973,0.027027
238,1,51,0.363922,0.041769,0.420455,0.003237,1,0.079882,0.055556,0.944444,0.055556
241,1,51,0.249412,0.041769,0.431449,0.005245,1,0.106061,0.178571,0.821429,0.089286
256,1,41,0.446341,0.033579,0.396043,0.000211,1,0.074266,0.186047,0.813953,0.046512
259,1,55,0.360943,0.045045,0.408088,0.002399,1,2.904762,0.180328,0.819672,0.098361
297,1,111,0.268468,0.090909,0.445295,0.004109,1,0.157682,0.931624,0.068376,0.051282
301,1,81,0.269753,0.066339,0.436227,0.004065,1,0.133871,0.963855,0.036145,0.024096
312,1,27,0.336182,0.022113,0.403236,0.00051,1,0.303371,0.888889,0.111111,0
317,1,41,0.428049,0.033579,0.393617,0.000321,1,0.238889,0.069767,0.930233,0.046512
323,1,170,0.154125,0.13923,0.455257,0.014854,1,0.308511,0.948276,0.051724,0.022989
363,1,171,0.235982,0.140049,0.440476,0.012325,1,0.392015,0.467593,0.532407,0.208333
371,1,29,0.463054,0.023751,0.373852,0.000244,1,0.156566,0.870968,0.129032,0.064516
387,1,138,0.252407,0.113022,0.473072,0.0144,1,1.683168,0.229412,0.770588,0.188235
