Label,neighbor,clustering,degree,closeness,betweenness,community,density,in,out,bi
8,6,0.266667,0.098361,0.363095,0.022366,0,0.214286,0.833333,0.166667,0
3,3,0.333333,0.04918,0.308081,0.002374,0,0.115385,1,0,0
9,7,0.52381,0.114754,0.252066,0.020894,0,0.466667,0.714286,0.285714,0
5,4,0.5,0.065574,0.238281,0.00438,0,0.2,1,0,0
6,6,0.533333,0.098361,0.267544,0.029373,0,0.545455,1,0,0
10,5,0.4,0.081967,0.312821,0.016092,0,0.416667,0.6,0.4,0
0,6,0.333333,0.098361,0.346591,0.019083,0,0.315789,1,0,0
2,4,0.166667,0.065574,0.282407,0.009073,0,0.166667,1,0,0
13,8,0.5,0.131148,0.271111,0.052846,0,0.285714,0.625,0.375,0
14,12,0.257576,0.196721,0.376543,0.061972,0,0.666667,0.833333,0.166667,0
15,7,0.238095,0.114754,0.338889,0.033292,0,0.304348,0.857143,0.142857,0
16,6,0.6,0.098361,0.32973,0.003305,0,0.545455,0.833333,0.166667,0
17,9,0.222222,0.147541,0.309645,0.1143,0,0.818182,0.555556,0.444444,0
1,8,0.142857,0.131148,0.371951,0.213324,0,0.4,1,0,0
18,7,0.52381,0.114754,0.337017,0.014855,0,0.205882,0.857143,0.142857,0
19,4,0.5,0.065574,0.316062,0.013314,0,0.16,0.5,0.5,0
7,5,0.2,0.081967,0.365269,0.118239,0,0.185185,1,0,0
20,9,0.138889,0.147541,0.391026,0.102646,0,0.409091,0.666667,0.333333,0
21,6,0.533333,0.098361,0.333333,0.012701,0,0.2,0.833333,0.166667,0
22,1,,0.016393,0.237354,0,0,0.058824,0,1,0
24,6,0.533333,0.098361,0.312821,0.007383,0,0.176471,0.5,0.5,0
25,3,0.666667,0.04918,0.25523,0.001644,0,0.103448,0.666667,0.333333,0
26,3,0.666667,0.04918,0.277273,0.004362,0,0.3,0.333333,0.666667,0
27,5,0.4,0.081967,0.316062,0.029237,0,0.25,0,1,0
28,5,0.3,0.081967,0.365269,0.066757,0,0.178571,0.4,0.6,0
29,9,0.25,0.147541,0.322751,0.065529,0,0.75,0.555556,0.444444,0
30,5,0.3,0.081967,0.322751,0.03305,0,0.454545,0.4,0.6,0
31,1,,0.016393,0.237354,0,0,0.052632,0,1,0
32,3,0.333333,0.04918,0.216312,0.032787,0,0.115385,0.333333,0.666667,0
33,10,0.333333,0.163934,0.365269,0.057166,0,0.333333,0.6,0.4,0
12,1,,0.016393,0.268722,0,0,0.0625,1,0,0
34,5,0.3,0.081967,0.316062,0.032695,0,0.5,0.6,0.4,0
35,1,,0.016393,0.24498,0,0,0.1,0,1,0
36,7,0.047619,0.114754,0.417808,0.248237,0,0.225806,0.571429,0.428571,0
23,3,0.333333,0.04918,0.333333,0.042183,0,0.125,1,0,0
37,11,0.236364,0.180328,0.398693,0.13857,0,1.1,0.363636,0.636364,0
38,8,0.285714,0.131148,0.32973,0.045352,0,0.222222,0.5,0.5,0
39,2,,0.032787,0.335165,0.070517,0,0.057143,0.5,0.5,0
40,8,0.25,0.131148,0.403974,0.14315,0,0.296296,0.125,0.875,0
41,5,0.6,0.081967,0.297561,0.023252,0,0.294118,0.4,0.6,0
42,6,0.333333,0.098361,0.32973,0.029158,0,0.166667,0.333333,0.666667,0
43,7,0.238095,0.114754,0.337017,0.062831,0,0.388889,0.285714,0.714286,0
44,4,0.166667,0.065574,0.311224,0.012038,0,0.190476,0,1,0
45,11,0.309091,0.180328,0.346591,0.04067,0,0.366667,0.272727,0.727273,0
46,2,,0.032787,0.256303,0.003008,0,0.090909,0.5,0.5,0
47,6,0.4,0.098361,0.338889,0.023201,0,0.193548,0,1,0
49,2,,0.032787,0.246964,0.000929,0,0.2,0,1,0
50,7,0.238095,0.114754,0.350575,0.033411,0,0.318182,0.142857,0.857143,0
51,10,0.244444,0.163934,0.32973,0.084677,0,1,0.1,0.9,0
4,1,,0.016393,0.24898,0,0,0.125,1,0,0
11,1,,0.016393,0.24898,0,0,0.028571,1,0,0
52,4,0.333333,0.065574,0.342697,0.019234,0,0.16,0,1,0
53,2,,0.032787,0.259574,0.001193,0,0.076923,0.5,0.5,0
54,7,0.380952,0.114754,0.324468,0.099122,0,0.7,0.142857,0.857143,0
55,2,,0.032787,0.271111,0.000877,0,0.095238,0,1,0
56,2,,0.032787,0.213287,0.000137,0,0.133333,0,1,0
57,9,0.361111,0.147541,0.30198,0.084205,0,1.125,0,1,0
48,1,,0.016393,0.232824,0,0,0.05,1,0,0
58,1,,0.016393,0.24898,0,0,0.111111,0,1,0
59,5,0.3,0.081967,0.342697,0.020333,0,0.227273,0,1,0
60,1,,0.016393,0.178363,0,0,0.25,0,1,0
61,3,,0.04918,0.30198,0.014195,0,0.176471,0,1,0
