Label,neighbor,clustering,degree,closeness,betweenness,community,density,in,out,bi
1,12,0.439394,0.105263,0.413043,0.017621,1,0.193548,0.916667,0.083333,0
0,12,0.348485,0.105263,0.423792,0.03249,1,0.210526,1,0,0
3,12,0.333333,0.105263,0.420664,0.02307,1,0.230769,0.916667,0.083333,0
2,12,0.378788,0.105263,0.407143,0.013122,1,0.2,1,0,0
4,11,0.418182,0.096491,0.402827,0.010664,1,0.203704,0.909091,0.090909,0
5,12,0.363636,0.105263,0.383838,0.010661,1,0.26087,0.833333,0.166667,0
6,12,0.318182,0.105263,0.425373,0.019681,1,0.190476,0.916667,0.083333,0
7,12,0.393939,0.105263,0.401408,0.014563,1,0.218182,0.916667,0.083333,0
8,11,0.472727,0.096491,0.360759,0.005009,1,0.289474,0.909091,0.090909,0
9,11,0.472727,0.096491,0.397213,0.011831,1,0.229167,0.727273,0.272727,0
10,10,0.444444,0.087719,0.381271,0.006908,1,0.232558,0.9,0.1,0
11,10,0.311111,0.087719,0.402827,0.0114,1,0.188679,0.7,0.3,0
13,11,0.381818,0.096491,0.420664,0.017291,1,0.229167,0.818182,0.181818,0
12,10,0.333333,0.087719,0.390411,0.010144,1,0.163934,1,0,0
14,10,0.377778,0.087719,0.385135,0.007074,1,0.243902,0.8,0.2,0
15,12,0.348485,0.105263,0.423792,0.020895,1,0.193548,0.75,0.25,0
16,11,0.418182,0.096491,0.423792,0.022213,1,0.174603,0.727273,0.272727,0
17,11,0.345455,0.096491,0.411552,0.016602,1,0.2,0.818182,0.181818,0
18,11,0.4,0.096491,0.38,0.008493,1,0.25,0.909091,0.090909,0
19,11,0.436364,0.096491,0.390411,0.009759,1,0.234043,0.909091,0.090909,0
20,11,0.363636,0.096491,0.402827,0.023046,1,0.215686,0.909091,0.090909,0
21,11,0.454545,0.096491,0.397213,0.022127,1,0.22,0.727273,0.272727,0
22,11,0.509091,0.096491,0.367742,0.006733,1,0.282051,0.636364,0.363636,0
23,11,0.454545,0.096491,0.385135,0.007589,1,0.255814,0.545455,0.454545,0
24,10,0.222222,0.087719,0.423792,0.0207,1,0.149254,0.9,0.1,0
25,11,0.509091,0.096491,0.413043,0.017783,1,0.189655,0.818182,0.181818,0
26,10,0.333333,0.087719,0.398601,0.017003,1,0.192308,0.7,0.3,0
27,11,0.363636,0.096491,0.38255,0.01066,1,0.23913,0.727273,0.272727,0
28,9,0.333333,0.078947,0.408602,0.018172,1,0.163636,0.666667,0.333333,0
29,11,0.490909,0.096491,0.4,0.009029,1,0.229167,0.909091,0.090909,0
30,11,0.472727,0.096491,0.410072,0.015087,1,0.2,0.818182,0.181818,0
31,11,0.381818,0.096491,0.378738,0.008418,1,0.261905,0.909091,0.090909,0
32,11,0.381818,0.096491,0.410072,0.014877,1,0.2,0.545455,0.454545,0
33,10,0.644444,0.087719,0.387755,0.007354,1,0.227273,0.6,0.4,0
34,11,0.381818,0.096491,0.376238,0.008026,1,0.261905,0.636364,0.363636,0
35,11,0.436364,0.096491,0.397213,0.015476,1,0.211538,0.545455,0.454545,0
36,8,0.142857,0.070175,0.401408,0.013206,1,0.140351,0.5,0.5,0
37,11,0.527273,0.096491,0.394464,0.009131,1,0.215686,0.636364,0.363636,0
38,11,0.309091,0.096491,0.404255,0.025187,1,0.207547,0.454545,0.545455,0
39,11,0.418182,0.096491,0.407143,0.010704,1,0.211538,0.545455,0.454545,0
40,11,0.345455,0.096491,0.398601,0.013983,1,0.22,0.818182,0.181818,0
41,10,0.533333,0.087719,0.395833,0.006439,1,0.192308,0.3,0.7,0
42,7,0.142857,0.061404,0.37013,0.00779,1,0.155556,0.428571,0.571429,0
43,11,0.290909,0.096491,0.395833,0.013595,1,0.207547,0.363636,0.636364,0
44,11,0.363636,0.096491,0.4,0.014372,1,0.207547,0.727273,0.272727,0
45,11,0.527273,0.096491,0.397213,0.011443,1,0.207547,0.454545,0.545455,0
46,11,0.527273,0.096491,0.393103,0.010353,1,0.229167,0.909091,0.090909,0
47,11,0.381818,0.096491,0.405694,0.015102,1,0.196429,0.363636,0.636364,0
48,11,0.363636,0.096491,0.410072,0.017789,1,0.2,0.909091,0.090909,0
49,11,0.545455,0.096491,0.404255,0.009785,1,0.215686,0.727273,0.272727,0
50,9,0.388889,0.078947,0.398601,0.014372,1,0.18,0.555556,0.444444,0
51,11,0.472727,0.096491,0.394464,0.014905,1,0.229167,0.545455,0.454545,0
52,10,0.422222,0.087719,0.397213,0.009851,1,0.2,0.7,0.3,0
53,12,0.454545,0.105263,0.411552,0.016561,1,0.206897,0.583333,0.416667,0
54,10,0.488889,0.087719,0.37377,0.003906,1,0.25,0.4,0.6,0
55,11,0.418182,0.096491,0.393103,0.011734,1,0.22,0.363636,0.636364,0
56,10,0.422222,0.087719,0.381271,0.00954,1,0.217391,0.9,0.1,0
57,10,0.377778,0.087719,0.397213,0.01038,1,0.192308,0.5,0.5,0
58,10,0.111111,0.087719,0.436782,0.028823,1,0.138889,0.6,0.4,0
59,8,0.214286,0.070175,0.397213,0.010866,1,0.153846,0.75,0.25,0
60,11,0.381818,0.096491,0.411552,0.015203,1,0.2,0.272727,0.727273,0
61,11,0.327273,0.096491,0.404255,0.020755,1,0.203704,0.363636,0.636364,0
62,11,0.363636,0.096491,0.391753,0.014198,1,0.22,0.454545,0.545455,0
63,9,0.138889,0.078947,0.419118,0.018286,1,0.145161,0.555556,0.444444,0
64,11,0.381818,0.096491,0.417582,0.020365,1,0.186441,0.272727,0.727273,0
65,11,0.363636,0.096491,0.395833,0.010095,1,0.22,0.454545,0.545455,0
66,11,0.345455,0.096491,0.401408,0.0107,1,0.211538,0.545455,0.454545,0
67,12,0.484848,0.105263,0.401408,0.01181,1,0.235294,0.583333,0.416667,0
