Label,neighbor,clustering,degree,closeness,betweenness,community,density,in,out,bi
1,0.08209,0.6,0.082707,0.278783,0.011318,1,0.472222,0.647059,0.352941,0.352941
55,0.067164,0.694444,0.067669,0.26949,0.01089,1,0.548387,0.529412,0.470588,0.470588
205,0.089552,0.636364,0.090226,0.300175,0.055808,1,1.642857,0.478261,0.521739,0.478261
272,0.126866,0.330882,0.12782,0.307794,0.092044,1,0.764706,0.576923,0.423077,0.346154
494,0.059701,0.892857,0.06015,0.26306,0.000257,1,0.941176,0.5,0.5,0.5
779,0.074627,0.555556,0.075188,0.284006,0.041087,1,1.125,0.5,0.5,0.444444
894,0.08209,0.745455,0.082707,0.271299,0.00154,1,1.176471,0.45,0.55,0.45
3,0.052239,0.52381,0.052632,0.26306,0.004574,1,0.5,0.363636,0.636364,0.363636
28,0.074627,0.355556,0.075188,0.280071,0.036025,1,0.75,0.555556,0.444444,0.444444
147,0.074627,0.355556,0.075188,0.27499,0.023814,1,0.5,0.230769,0.769231,0.230769
407,0.104478,0.285714,0.105263,0.28137,0.05383,1,0.862069,0.48,0.52,0.44
674,0.044776,0.4,0.045113,0.252122,0.02728,1,1.090909,0.5,0.5,0.5
884,0.029851,0.833333,0.030075,0.248505,0.000213,1,0.3125,0.6,0.4,0.2
27,0.022388,0.333333,0.022556,0.256929,0.029346,0,0.357143,0.6,0.4,0.4
63,0.022388,0.333333,0.022556,0.250043,0.023386,0,0.208333,0.4,0.6,0.4
173,0.022388,0.333333,0.022556,0.248505,0.01196,0,0.227273,0.4,0.6,0.4
202,0.037313,0.4,0.037594,0.274368,0.018129,1,0.421053,0.375,0.625,0.375
327,0.067164,0.388889,0.067669,0.266529,0.038503,1,0.4,0.428571,0.571429,0.357143
353,0.059701,0.321429,0.06015,0.255845,0.036129,1,0.611111,0.545455,0.454545,0.272727
429,0.052239,0.619048,0.052632,0.246485,0.002586,1,0.521739,0.416667,0.583333,0.416667
441,0.059701,0.357143,0.06015,0.27499,0.038925,1,0.365854,0.533333,0.466667,0.466667
492,0.067164,0.194444,0.067669,0.280719,0.095465,1,0.75,0.4,0.6,0.4
545,0.022388,1,0.022556,0.242541,0,1,0.4,0.5,0.5,0.5
32,0.029851,0.666667,0.030075,0.215784,0.000585,1,0.285714,0.333333,0.666667,0.333333
440,0.037313,0.3,0.037594,0.24014,0.013011,1,2.666667,0.375,0.625,0.375
624,0.089552,0.393939,0.090226,0.273749,0.039731,1,0.5,0.411765,0.588235,0.294118
797,0.074627,0.4,0.075188,0.234113,0.025397,1,0.9375,0.666667,0.333333,0.333333
920,0.022388,1,0.022556,0.205544,0,1,0.238095,0.4,0.6,0.4
34,0.037313,0.8,0.037594,0.218113,0.000244,1,0.228571,0.5,0.5,0.375
151,0.097015,0.423077,0.097744,0.271299,0.056034,1,0.5625,0.277778,0.722222,0.277778
277,0.044776,0.8,0.045113,0.239193,0.001274,1,1.5,0.333333,0.666667,0.333333
502,0.052239,0.761905,0.052632,0.243515,0.001509,1,0.846154,0.545455,0.454545,0.363636
866,0.074627,0.577778,0.075188,0.26306,0.007263,1,4.666667,0.357143,0.642857,0.285714
45,0.059701,0.464286,0.06015,0.261924,0.020033,1,0.535714,0.533333,0.466667,0.466667
48,0.037313,0.3,0.037594,0.261359,0.028717,1,0.666667,0.625,0.375,0.375
79,0.059701,0.464286,0.06015,0.261924,0.020033,1,0.681818,0.533333,0.466667,0.466667
335,0.044776,0.666667,0.045113,0.258023,0.004845,1,0.346154,0.666667,0.333333,0.333333
496,0.059701,0.357143,0.06015,0.285343,0.034039,1,0.681818,0.466667,0.533333,0.466667
601,0.059701,0.214286,0.06015,0.260238,0.070061,1,0.733333,0.363636,0.636364,0.272727
765,0.044776,0.666667,0.045113,0.258023,0.004845,1,0.257143,0.666667,0.333333,0.333333
46,0.037313,0.5,0.037594,0.243515,0.006751,1,0.3,0.555556,0.444444,0.444444
117,0.119403,0.325,0.120301,0.290121,0.077763,1,0.627907,0.407407,0.592593,0.407407
196,0.044776,0.6,0.045113,0.235021,0.00103,1,1.222222,0.545455,0.454545,0.454545
257,0.029851,0.833333,0.030075,0.231433,0.000064,1,0.636364,0.571429,0.428571,0.428571
268,0.037313,0.8,0.037594,0.231875,0.000092,1,0.357143,0.5,0.5,0.5
170,0.067164,0.694444,0.067669,0.268298,0.002073,1,1.272727,0.571429,0.428571,0.357143
252,0.059701,0.5,0.06015,0.277507,0.013146,1,1.555556,0.5,0.5,0.428571
883,0.11194,0.457143,0.112782,0.308577,0.114641,1,1.5625,0.48,0.52,0.4
61,0.007463,,0.007519,0.188309,0,1,0.052632,0,1,0
125,0.08209,0.272727,0.082707,0.262491,0.103424,1,1.777778,0.4375,0.5625,0.3125
70,0.037313,1,0.037594,0.216942,0,1,0.3125,0.5,0.5,0.5
101,0.067164,0.527778,0.067669,0.244497,0.031518,1,0.85,0.470588,0.529412,0.470588
132,0.052239,0.857143,0.052632,0.219693,0.000292,1,0.40625,0.461538,0.538462,0.461538
240,0.052239,0.714286,0.052632,0.230115,0.002813,1,1.181818,0.461538,0.538462,0.461538
425,0.074627,0.466667,0.075188,0.248505,0.028362,1,0.947368,0.444444,0.555556,0.444444
447,0.067164,0.527778,0.067669,0.261359,0.060115,1,0.73913,0.529412,0.470588,0.470588
