Label,neighbor,clustering,degree,closeness,betweenness,community,density,in,out,bi
1,23,0.656126,0.116751,0.429194,0.000851,1,0.18254,0,1,0
8,21,0.742857,0.106599,0.461358,0.000576,1,0.33871,0.047619,0.952381,0
24,29,0.480296,0.147208,0.484029,0.006629,1,0.432836,0.137931,0.862069,0
35,43,0.635659,0.218274,0.461358,0.002208,1,0.494253,0.116279,0.883721,0
42,12,0.515152,0.060914,0.442697,0.000856,1,0.074074,0.166667,0.833333,0
46,23,0.648221,0.116751,0.431072,0.000805,1,4.6,0.217391,0.782609,0
60,96,0.311623,0.48731,0.58982,0.057539,1,0.57485,0.291667,0.708333,0
74,20,0.515789,0.101523,0.429194,0.001436,1,0.13245,0.35,0.65,0
78,26,0.461538,0.13198,0.482843,0.004032,1,0.169935,0.307692,0.692308,0
81,42,0.483159,0.213198,0.498734,0.013289,1,0.297872,0.404762,0.595238,0
95,40,0.512821,0.203046,0.503836,0.004314,1,0.264901,0.35,0.65,0
98,46,0.64058,0.233503,0.511688,0.003418,1,0.310811,0.434783,0.565217,0
99,60,0.464972,0.304569,0.536785,0.014079,1,0.594059,0.5,0.5,0
100,49,0.595238,0.248731,0.515707,0.004381,1,0.310127,0.510204,0.489796,0
101,49,0.592687,0.248731,0.515707,0.004793,1,0.620253,0.489796,0.510204,0
103,23,0.462451,0.116751,0.445701,0.002019,1,0.2875,0.521739,0.478261,0
104,20,0.515789,0.101523,0.412998,0.001804,1,0.17094,0.65,0.35,0
108,60,0.485876,0.304569,0.532432,0.009455,1,0.335196,0.583333,0.416667,0
131,56,0.512987,0.284264,0.525333,0.00864,1,0.331361,0.678571,0.321429,0
132,75,0.403964,0.380711,0.55493,0.017638,1,0.462963,0.68,0.32,0
154,43,0.635659,0.218274,0.461358,0.002208,1,0.914894,0.860465,0.139535,0
159,10,0.466667,0.050761,0.412134,0.000687,1,0.063694,0.9,0.1,0
168,74,0.362088,0.375635,0.581121,0.0396,1,0.513889,0.878378,0.121622,0
171,45,0.462626,0.228426,0.507732,0.006242,1,0.277778,0.888889,0.111111,0
2,3,1,0.015228,0.358834,0,1,0.039474,0,1,0
14,25,0.706667,0.126904,0.474699,0.002261,1,0.19685,0.12,0.88,0
54,46,0.447343,0.233503,0.522546,0.011206,1,0.484211,0.217391,0.782609,0
150,39,0.522267,0.19797,0.518421,0.009363,1,0.357798,0.692308,0.307692,0
3,4,1,0.020305,0.372401,0,1,0.027027,0,1,0
115,7,0.380952,0.035533,0.375954,0.028317,1,1.4,0.142857,0.857143,0
153,41,0.286585,0.208122,0.522546,0.068292,1,0.29078,0.853659,0.146341,0
167,45,0.442424,0.228426,0.511688,0.039381,1,0.290323,0.822222,0.177778,0
172,40,0.529487,0.203046,0.497475,0.014695,1,0.296296,0.875,0.125,0
4,16,0.825,0.081218,0.397177,0.000235,1,0.172043,0,1,0
5,46,0.421256,0.233503,0.509044,0.027238,1,0.343284,0.021739,0.978261,0
13,25,0.673333,0.126904,0.41649,0.004149,1,0.170068,0.08,0.92,0
26,31,0.690323,0.15736,0.449772,0.002203,1,0.462687,0.096774,0.903226,0
77,29,0.679803,0.147208,0.461358,0.002635,1,0.245763,0.310345,0.689655,0
85,19,0.877193,0.096447,0.402863,0.00016,1,0.206522,0.368421,0.631579,0
102,19,0.894737,0.096447,0.387033,0.0001,1,0.140741,0.421053,0.578947,0
138,23,0.667984,0.116751,0.452874,0.005106,1,0.184,0.608696,0.391304,0
147,39,0.573549,0.19797,0.493734,0.005161,1,0.272727,0.692308,0.307692,0
156,22,0.805195,0.111675,0.40535,0.000899,1,0.134146,0.681818,0.318182,0
169,23,0.814229,0.116751,0.407025,0.000402,1,0.174242,0.826087,0.173913,0
173,24,0.797101,0.121827,0.407867,0.000472,1,0.192,0.833333,0.166667,0
176,24,0.731884,0.121827,0.439732,0.001885,1,0.1875,0.833333,0.166667,0
189,31,0.492473,0.15736,0.478155,0.029551,1,0.62,0.967742,0.032258,0
19,24,0.655797,0.121827,0.487624,0.001612,1,0.303797,0.166667,0.833333,0
21,1,,0.005076,0.337907,0,1,0.005618,1,0,0
27,13,0.974359,0.06599,0.401222,0.000021,1,0.086093,0.076923,0.923077,0
28,28,0.748677,0.142132,0.426407,0.000926,1,0.195804,0.107143,0.892857,0
29,31,0.658065,0.15736,0.473558,0.001946,1,0.22963,0.16129,0.83871,0
51,19,0.719298,0.096447,0.454965,0.001873,1,0.106145,0.210526,0.789474,0
53,42,0.505226,0.213198,0.523936,0.006255,1,0.241379,0.285714,0.714286,0
57,37,0.551051,0.187817,0.510363,0.003809,1,0.256944,0.351351,0.648649,0
73,31,0.56129,0.15736,0.510363,0.010319,1,0.202614,0.290323,0.709677,0
75,17,0.772059,0.086294,0.442697,0.000493,1,0.097701,0.117647,0.882353,0
76,16,0.875,0.081218,0.447727,0.000291,1,0.121212,0.3125,0.6875,0
79,20,0.621053,0.101523,0.459207,0.001291,1,0.135135,0.25,0.75,0
86,40,0.528205,0.203046,0.502551,0.008711,1,0.239521,0.375,0.625,0
90,33,0.545455,0.167513,0.491272,0.013787,1,0.22449,0.393939,0.606061,0
96,52,0.371795,0.263959,0.51436,0.028027,1,0.393939,0.423077,0.576923,0
97,18,0.784314,0.091371,0.445701,0.000732,1,0.136364,0.5,0.5,0
124,16,0.833333,0.081218,0.398785,0.000148,1,0.120301,0.5625,0.4375,0
126,17,0.867647,0.086294,0.451835,0.000336,1,0.106918,0.470588,0.529412,0
128,40,0.552564,0.203046,0.501272,0.006224,1,0.251572,0.55,0.45,0
136,100,0.237172,0.507614,0.648026,0.151056,1,0.564972,0.62,0.38,0
140,31,0.707527,0.15736,0.484029,0.002918,1,0.24031,0.548387,0.451613,0
144,17,0.801471,0.086294,0.448747,0.000634,1,0.097701,0.647059,0.352941,0
149,54,0.349406,0.274112,0.530997,0.045179,1,0.3,0.648148,0.351852,0
155,20,0.568421,0.101523,0.426407,0.013309,1,0.120482,0.7,0.3,0
163,12,0.742424,0.060914,0.445701,0.002351,1,0.099174,0.75,0.25,0
191,25,0.806667,0.126904,0.472422,0.001349,1,0.141243,1,0,0
194,56,0.451948,0.284264,0.548747,0.011375,1,0.448,0.946429,0.053571,0
196,45,0.482828,0.228426,0.525333,0.005946,1,0.333333,0.977778,0.022222,0
197,36,0.603175,0.182741,0.509044,0.003308,1,0.258993,1,0,0
6,2,1,0.010152,0.21768,0,1,0.014184,0,1,0
152,3,0.666667,0.015228,0.27514,0.004669,1,0.018293,0.666667,0.333333,0
157,4,0.333333,0.020305,0.277465,0.005672,1,0.027397,0.75,0.25,0
7,57,0.442356,0.28934,0.52815,0.009055,1,0.377483,0,1,0
10,27,0.678063,0.137056,0.45814,0.000827,1,0.167702,0.037037,0.962963,0
11,23,0.494071,0.116751,0.465721,0.004818,1,0.179688,0.130435,0.869565,0
36,26,0.735385,0.13198,0.462441,0.000699,1,0.141304,0.038462,0.961538,0
49,42,0.473868,0.213198,0.522546,0.008202,1,0.265823,0.142857,0.857143,0
